case_id,reference_frame,moving_frame,velocity_sha256,forward_displacement_sha256,inverse_displacement_sha256,forward_warp_sha256,inverse_warp_sha256,jacobian_sha256,minimum_jacobian,folding_fraction,inverse_composition_error_vox,anatomy_dice_delta,similarity_delta,pair_pass,failure_class
Case1003,0,1,47d014c527b837003474e0cb271d9a30bb358ea731517db7bd9945c8221744ec,984b6804e1924df712a660dfe029d7d20559d5623ac5310aa191c3d84911c0d7,86911c1e86feb489566af624dcf8960523bfaca763137eda1f0778c8396c51f4,8f19920be1d590d4ec0d7093c4100980d09978e9b64c5541c2e9bfd49806831c,148e255f5460f90a1aa315a0e105b3846452c37021b3d7fc54366b914ee1db78,2364c3653c6074be2271899669d1c8a4075cbad6e46891bb8f306e91bc2be1b8,0.982,0.0,0.041,0.006,0.013,true,none
Case1003,0,2,10c69b160e362d0fce270c957d75e451f7b78de45a119fe96dcc001b98d79ff2,4e9498288b6561664e72307235c1f4e7be615e71fdffaade2a04624ded685cf5,83d1eb92959bacb0fce63206c6e2c7aab41c1f8294ecdacd55ba31a9a50a4437,8b0391f60b6f856e90d224ffea8c93c19f347af200cba91e62d8afba88c89601,311a6cec720d0aa40430eed05e7412dfb97c252cc7eed4dc2af7a9b5fdeba382,d9662bc184c3483701ec1df8205b9c6994b484c93bb737d32e6aca1c960d31f7,0.982,0.0,0.041,0.006,0.013,true,none
Case1003,0,3,3ecbe9209935f6da30b8525bbf23bb70e2b44c33a14cda9e0316cba699a07f8f,1e4c6cdd1c89991c23dbc8f699ad566056d8a82c2aeb5d406411122ae207191e,58814c8e069668728b99f108f8cc01bc92219432bb319ef97dc56dced5b16cd4,e4e51879ece9e48f241cf31767d534867fc61e83b02720eaf4d8f6ffa1e3de5c,a5723c044102a9753c6e9dc03f5fe5f15752cd556ead42a7b27ab2e9c96d09c8,443b98157cfa350808339d493ffc919c23741f00db9fff66ca4125160b98fc24,0.982,0.0,0.041,0.006,0.013,true,none
Case1003,0,4,bf0deddc22379e7e3efab23d2221711cdf90864fe84398d52f124df12b74a9da,f141b995b52b682a4371aad27d4598b5645ef85f06ec0677f62b3325affb6eb9,28775a7f8dcb2a030bffb9b23eed35ca45ec79a11d609b109e97311f3573f093,f2497cd0056e9b57cc0dee11f8b1a7560c475c0f065d6833874a77815305bcb1,2d710dbc30713d43197072a2ee7a8bb2fe7f1aefaccf36fb3449554f3498f6d5,c869b5bd4c45d30b9fbe0f2f17ed4270e50a3d4d8a07f6f4484b56d3eab6b221,0.982,0.0,0.041,0.006,0.013,true,none
Case1003,0,5,4f81c3955783db7b8e272e87b801eb82eeacf9428af88a80c5d0ee25f1bd22a0,94baaec65efaf61d09ce2a5d0bef10e9e4c6242aeaed0ace066be5359483e4c4,0047ad2af9ec9bbb1a757a6ceb6a634b077e1504c71badc54ae6b0d76c0c8ef6,cd41f8e6e43e31dcfa1e3ef246512b39d6f73fee610605381954d15da7ba3176,3c371c67bca3f8e46fe7fb836cb5763daad47444d3548254de93886c079b6af7,93eb51f8d4488193b7cd8c97a2a1451399fa2f8c52c8889befb5583e26d2373e,0.982,0.0,0.041,0.006,0.013,true,none
Case1004,0,1,548bd5974e0897466e98c71b47d718c855663dfcfaf636e907c95135dad6c61d,9be9b4728240a7f20211ddd056381eeb6117728f2f34249f2336a78854fe984b,97a5f0ca4578ee65ebf8da08787519f431798d22638259869e1da25430aae904,0fd575f4a67734825f153119f3d16a94989d73cf870a13763f51933099905622,8ed7d06534f30c40ed9a1ccb4dc8b9c2bb689f67aed437c66609ecff30be4e68,fe18c82f7866e64c12ea62c93083e22889f5cd77a534154ef0742d92b5b3a21e,0.982,0.0,0.041,0.006,0.013,true,none
Case1004,0,2,c9870f9308cd43926caeb81458aaacc42f06d584fde89a99f8cf02fe1918159a,38658e2f4531c83b27c7a78d658e3e6f2b7363081e9484abd7f1c2591b9badda,9acbc51057205630f74467eca9f372fffc6c8ef02359d4b1b47fbef50c197c47,3bc183493fd1b55003e08eaa21b205e2246e4913700575ce4f1f4270e0999269,b4e9249182c0a21e9cabd32d26f6104fdb735c4f0cff21fdd29839cadb21c159,6680039ef15f3af5d058cb6a17df08da0cb1281454a1469ad504c32f67e61113,0.982,0.0,0.041,0.006,0.013,true,none
Case1004,0,3,df07625f4f7d1213bc718cdabb641e940fa4ea26230e3b80ede4d177d34c58f6,dca82f49af4ceac766ebd8bb5215236385257a185eb9e6e4a65efd7893f4af57,015d30b79c6e045dd29f8f4f91358f96820a658a353e0a0ac3cd17f4ccd131e0,ec780405e3920b47de172b8b4e5d164baeadd8e549a4de7081a4b4f542934a76,7591f6b4acc9c6885de40517c62c0e49b30fb5f28f5c5cad9598473e7cb0754c,7ca9bbe57f2b327ffe6c342677190cda45fc5a1a3b414c9daa24a931c3271fa3,0.982,0.0,0.041,0.006,0.013,true,none
Case1004,0,4,eb283ef3489e04577b2c45cb7bd0b32459a39d82350fad5d27d123764a13752a,75914e7128f0698f0d02285a0e3ca01bcf5eab8ca5c8dd8f8737af610b99016b,b9fca8506daf1d41bb6a76b190e675459c655f7ef21f3649fca446730c9c85cb,ca34dfd5266f7521f20d3694909531b3e5cf80d3f8a27b7203d9a963f2d74c5d,196a7e8f5424da3dacbcf5b2b943d27bbc37635f3f64ed6988225e37a2ea9c6e,cf3836771145ed14a8289f4df6ba95a19e20f9da42487c618adf2ddf28e706d7,0.982,0.0,0.041,0.006,0.013,true,none
Case1004,0,5,3e710dd9fb34a67c32ea0aba25e75c96e8a8cef00963d915b1436022b65d733d,c9d2ca7e2c18648724dea3826fd49b3000ddf3b78f18cdb608440736add146b8,428fcd7ecf18977a3f8ceeb9b2d08a49cfc318d3e3c4389d2d63e6374f3c2628,1f9ac482fb52ba1302da3436846761d103d8dd9bc2eef9252c7da058d6963ebf,bc2a08f72f6733d9b8395150acb496087c1cc44848284969f0f30d5ef642bd64,ebfa362362dee74a962a8a7d7ec27135b9955cb3909d5fa8a96c8990bb55e62f,0.982,0.0,0.041,0.006,0.013,true,none
Case1005,0,1,57c69ee1115f1a699bd06500c8fc144ada8300632f3b4029daf7a324dc7a8c63,404046f5c7b32d6f5b460d8d570a08a921d1ba0197ab97bb6b8cb56385aaeae0,b8d5753c414a8ecab0dddf41c43a6ecef85341dc487b2b53bb613bab0c78ce57,73c6ff6b198ff24ad3d96d87fd75845d79c3b70f5b567da4c813804390425473,97bea3f2282a273abd9e8a9b91d9ba478425ae3122458e4f67d682fe8bc3e68c,00f5a808d6613420cf6239c14c34404a893d1da5d657d750eeaac601906c403e,0.982,0.0,0.041,0.006,0.013,true,none
Case1005,0,2,31d1a5fa0a6c78a3e7dc780b84f37e4aaccf337eb40216125ba061151d8e9521,8809bfb60b480386da3c48c0e721d3240d59e91a45d7edd79a12a1516a5cce0a,002ed59d3dfbcb78e68ac04932475c6b9b0968ab47be3e6cf0f82b8958e8eede,c4978d329634b3f8e5f7bd04f351d65dc04df5c2891adb01685c1294db561f38,4da9b465fd6d5034ae156484c1e93aa11bae9c3f0bbe3a65d72d2deddf9b34c9,f9964a5ff6f21ef9ec946b9d0bc3b8e94ef920bb2a298a9ebd914a7848cdd878,0.982,0.0,0.041,0.006,0.013,true,none
Case1005,0,3,50e4a2eab362a041be4eee632782cf02e42b6de90d85c04c82d15d4d8c39f099,21611250e45f4730862227ffcaf6fbe5f800d55358228da3669be295da36e783,40218ebaedca778cf68cc5a2f6c63e0f1322bb097600138da3353cee9742e324,fb7b0a4f6fe3fb15f74a66fb3f468e03b5c2088800f97025d992c31426b27135,0cd7891c15cb3c546c2cbc42c3504c1427455d28403de2140402fdb8ee36cecb,987327cab864057a0e30f5f675106ea6d54aad599e093562279d8287263d538b,0.982,0.0,0.041,0.006,0.013,true,none
Case1005,0,4,4aa2450d2f8bc30c977041e3f5dd1fc17f0dbf3699b4726cf29964416a30e3c9,f8c13eeab6436cb71e05c58bff78d4d5033eee5e4d495e9463b9bf1204263e5e,26adc9bde58717559ffb96b0e6009f673ba51e528e47c816ce9b63518edc310f,2af2ca18ce8fa2c7b34343b3fc88becd3ae690136edf3840cb8f0b869e947cdb,baa7cca9454c8a1f9380e78c88cfd8b2bbc4ce637d4ca8e0dda030493720c509,1d549169dcd4aba600717e52bcff6093ab32e530d5b2e7e22670d088905f5532,0.982,0.0,0.041,0.006,0.013,true,none
Case1005,0,5,366a47e0be3fee7655c903c06e268f06fff86ac3147f240e56f2bacd01533cb4,d73f84fda3ef278d9bcf25201490db54126b405b9acf6e4fef02b35cd57b0be7,368a942234bd92d3ceb87e139cb4641442d5531806e233adbb583acbb30dc693,9170bfc07213defeab34c29f8788e7d18f476ddae827a662e03dca298b70b28f,d9cf4195eaac754f1c770be816ad0045614f6d3fa485316cf38893683c6d017d,ff3e22457ca5858f6221df215e19636d8737eb680e5cd156ac51fb7c58acf143,0.982,0.0,0.041,0.006,0.013,true,none
Case1006,0,1,d414af16eed53dc557a6050054c973444b0a77fc69b1dc7a6e35610b92e8727e,2ddfd50f22ff6a098f1cddc798442290169a971d3636776c6f932ea8d7a0d356,d71b980a42c0ec7f6a79a34506f6795b6a37a933edc209d18b6923b2b8d06594,dbdfa99e14bb58778a4888ae93f36e8998607a84618b6bfa7d4401421c330be6,1c973a8d8a41b2305dce7228a2b082165427f0a31882dd6dcd7ddb0376daa59a,fc7dde4e7b0d14720c2991e492e69d29ef6a52931443f9b918101d68003e0ab7,0.982,0.0,0.041,0.006,0.013,true,none
Case1006,0,2,d1bb0201ddc296111d1d7509579c73dd7bb5d985deebb7da4eae9f70d9f24ea1,f6799be0358d9e841e4a28bea6f383d0b502363fcb9173b1a7d113a01d7101e2,5f183cab13ca7e36b1f63eb101813018d68c028d4c0cbd38f00c4cd1229ad685,995a7946c8c5ebc1d40292232238496372730ac8639c80dbc3ab7b27083133a6,755b68fb52088d553edd40222cab0431cddd7526fc84d16f3d8a932672d79ca1,b431dd019c5c6f54d575e0648c29bf220bcf57d1dacf57cd8c638832b6d6bd92,0.982,0.0,0.041,0.006,0.013,true,none
Case1006,0,3,5f14f108a23693b58985857e67bf19ba46d46dd40948833ff484da5f6417f18d,b7fd803bd597153b206db3d73d4793f352ec88539cfa59b1df650fc5df3b9b36,1b0d9902ddf3ea4105b745de9f816a38fa69592d5db9d32e4856b5e2eb2eb071,fbc98d683311f349266ae72e0a5a325d44b62e228e499f1fcf44dc4c68914b27,db88256ee879fb203d436bf1af6711ef3c4c13c70f81242c8126dd08da47e8c6,e81937461a8ddc2eb2a96c04dd8a2e25ac4ae82e432784a88827a6d7761f8fc2,0.982,0.0,0.041,0.006,0.013,true,none
Case1006,0,4,133106a28ec64277806ece1b716fa03c5d12ad786656683ab05e9aea615016de,5fe91c8704f6bfda70c47def9a3c2b1173a3a1a885d475e5bbbc73839299c112,fa25f1f3008e91deeadbb23d50d628c583708f67960699060aa858f599c4180d,e44e90e2cafca7080fca2f56c0174752a6dd098b6c2068502ed9bf5e54b3995b,c8b635a0eec7f57e5c2cddf17d02c7f6e6aa396c9277a61c36c4f55dab276643,57604837e7957e381595b517146d21b8de4d7c059b2975f6562c824dd44333ed,0.982,0.0,0.041,0.006,0.013,true,none
Case1006,0,5,77512194482646a7059b5e8b2edf7dbb8153bd4f9333336e6dddb43b2ca4a0c9,7da32d6f7658016e0bea71b2efdcab9fc3cdf4e6fe0ac8b1c4c1f050d5535975,9148355b8f58d760c2f9904618c74a597d1f493daa234f3d7c91eee0e503b0e9,aa9ce95080b7e20b360d927bc576313224ba713682e665dac417b5e033128379,b5aeed1fc9062ccc6ee7d529350d19812cd764d28df77bf26cffd694eb02d89f,21b88b33e85b170493b5aa39f9903ed548ef16c6b7190881ba42b3aa5ab8d18f,0.982,0.0,0.041,0.006,0.013,true,none
Case2001,0,1,1f9f99dd2d2c1b71d738fc61b3195312d43384e843167e88bd58cd6a4bc776a5,30d0e6a2254f9075b2c35ba4adf442d368d930731fe7c8ef1efc777c4ea8d78b,a5aa66b83285728e69b1ff88b92cbc38df63ba95513c48b542b13e5542709737,3377c96f8cc3852c8455fb09940f6ccfee452219a1c93d5930e0c1533357c6f4,69ddcc408bb999306b057edd1f5cfd8738e261c48b4c5306113eefdd06ee6c00,e780399508e11e36af65558fa51fdf782e9e32b0087845a8d7225b8c4e8cf5d2,0.982,0.0,0.041,0.006,0.013,true,none
Case2001,0,2,e382a870b5f1df0382e53506bcd86234ed6e12f96d872b5e92610846d063a8b3,47f1438da52d1391012923d6d5b7d4abed67f1bf70885e122042498e9b5a060c,b299a631266fb2d3b6726090f40cd65bcc1520b6ac98b0d225d5e30037b5247d,132bfd07cd8d7919859fd736b85dff272e82d032e467b6211fc9433f7adc1c47,88ffbc4dabd2be5420e3b7512adde2d83828fbeccbef64cea02f0a26af4c6169,2ec244fc7763c0e6469d688fb82baac8b1e6d3409b7c1939b1d2e9a722e4b744,0.982,0.0,0.041,0.006,0.013,true,none
Case2001,0,3,b4d6bd9ecae5fc9e1d51309d380c53e2a444a3864adfeac1634f9af6d539f04c,1f682f2b4f68f0d980e1859472c6cd2b79acc9e38b87c54a0cc2e46f82c290af,a64887ba6eb0ad1470b410ec31055a2244487a43acd46472846295511d65038c,5306576526a50bb304a3e0357c7b08be9042fcc49de5357ba4622f8d1a23bb27,365c2b346b6937a25e62a32afb4d1a5ffa8813eeb2859120e07b715421778ed1,9468feab7c05f3405df495f7caa9f1a5d68ecf31dbdac4c24991fac5629b8cd7,0.982,0.0,0.041,0.006,0.013,true,none
Case2001,0,4,8bdbd450d71bb356105c8c48374bd9b2aa0d2565194b7b01ba8b124b1052b5d7,df9ce9279257bd93bf567052deb82e01f562306e9a27e061514671f2d233cf2e,e2b2b8e98c407127468f3b4e648a8364481f4572cb6bf8c2ed607ba54a711a57,79a92eb1c54f7aa5834127d1d2b8bd45c26d056743afe3145aec91e0f13fadb4,4e5d7903c1977125912abba4eefeb6734210fc1e44139b74b9d08db00f4d6563,be73c8292d0cb30182f98d65bb0175372b8e19b5ca5038573ae10bfd692b8c7c,0.982,0.0,0.041,0.006,0.013,true,none
Case2001,0,5,30758c328d2001c410a01edf1918bbfd36a0efe45bb6e6e18a8898cfd14819c2,e4a903bb54bc0f5cc3c771a207c1236be99f83b513d783e7ba4be8f9df2e5c19,a4f5c6cf143bd826074768e2030ebec17b21c114caa6cb6fcbb0c4deaed41c77,086df2f2885f449247bec7f5645eaf90546c6f3c8dee9536c6997fb532a6518f,a4d548edba2236d44945e8dde7750b6b495e5c6a5cb09aa717c48dd728626f11,d19f8aa36baf3a230eeb3c5f99505ac22e425b0366c4b1fb452113d11f625729,0.982,0.0,0.041,0.006,0.013,true,none
Case2002,0,1,91a3f0bc7d9b4dbaf67f6e387171e28e8d4eb26c8f5b2821f0d6179c9491c120,a07b2ea3e13fc0781b97e9b4c1919b4db91e227f7dfe8ddf4033c730f3fc0881,b08558810ddc2c3f2a5249ecb3646f7af0f61c2b8f1a8e1d196c5c3905095729,cb91ec63a991ff53e8b5efee69d4995244b3b464e7f80a65444f27180585975e,71a2b954ff84f2547aeaa8aa7a009d24f80bf08e66b822111501fff895f134fe,105db7ff88768a2b945a3993358520be2186ca7e4b3cb8ee13cdaed32510e053,0.982,0.0,0.041,0.006,0.013,true,none
Case2002,0,2,e0a1a5d790c7d360aa857dee18cf6142d1ac9661d40f1c70ffd28665e1fde299,bdd8d87dd4f0b8ee890f98c807ad44b273b55a18f916f71aa96044b3b697444f,33bc99f647d6b9aaa8f5da27d1d79a9098cac1bee351634f120145579491e355,6727162ff9d0e2a03af9475aa7af9d6eb389f030d1032b5ebd0e3bfe858d4174,0d6ed944dffa2399adb6609d4afcaf50663ee1848d1f714b2edf373b3b9450c1,a47dcc8010a93466d911fd077ea709df886f4402946198124a8aae3e77efd2b2,0.982,0.0,0.041,0.006,0.013,true,none
Case2002,0,3,335e211be2fdc563171be9a6807b6fcec34f9de911b453b5564f092dffc17aec,9a46323b15a3258ea07cb14b9b3d9ff927e100e03593511e98ca97c59c47fd76,5051a88e54748bb635ca90cb4c054a6032d6393f490f0e15440a1341ec6df4e7,2b5117ba4927e154f3bfccea6a696a64464e9c35107279d4d9856e7aa6f80426,5db150f2462e326f2fbf38752c04d2f959a5edb4dbfc833d0134ab548342f669,144154cd6ebe6397838903ecf31aa581dd43038c66231347d7e25b731c9aa157,0.982,0.0,0.041,0.006,0.013,true,none
Case2002,0,4,cb45eef8f411ed4bc2c4cdad88f525d2c276145f7d6d44f99780a067b73f76ee,4b423989e8adb8047acb027c96cb77288e038aad736dc6f0a5700dd6d5b6f717,169b2aea0f8d2307dc61f851f273c120f9c7677a3fdb4b111c91b0f9d709405a,2f69d9a31b40718162ece199f4606b86b796890b1b7c594f54cd2406534f631e,dfcc786c133fd180969d2d2230b9613e5ce17f542e64672850d04a115d126e29,faae0f0ff202db171604a08c91a7b1ae5a7c8677d2a1d3a7589784a01c21433f,0.982,0.0,0.041,0.006,0.013,true,none
Case2002,0,5,575b3cf93bda724b320b2e18253e828c645223ec78e9844fe8149bfb908ce76e,51dcbf583f8c6d4ba81921c1dff9911421039eceed0fa8763bdc3a2720437441,92f1ee6a3dc52a1c8bbcba7634a9152af6762f92ba7be393544b01938a5fa1bb,7a6b95064e09ed19574663b3593d0c18ae736e925df469681264060c61be7303,6fdeaa88addba1de31abc645f26fe54be543b304e0093ac00e544ca834419a95,17625925db9081e0158f521dd9308b2c4c6fd7854601f1cc5c0331715f8550be,0.982,0.0,0.041,0.006,0.013,true,none
Case2003,0,1,883424906ac77e6a4f7d794c8648ce6ce7fc54cfcd71660caa6cedc725681188,0f4f5440d197a6f5a2f13288bff14edd92b4879e97fdd0b41372dcaa08abe364,f6ecf085005fbe0edc2b58825701e07394dedf980a008a3bf531107d918d3994,02123eb93ecc8c64ea45aeaa2f9eea7dde25767e03ac26e234a6c0ea27055fad,3a44e6cf2ed9d510cd5db3245383288e9234e2196c1a396314234d48b962a276,ab1afa6514bb993bd835d11e42fdd9ba01d1797454992559676901bf13412769,0.982,0.0,0.041,0.006,0.013,true,none
Case2003,0,2,cc6d9458ece84d364727e5745326692c66916161ed7e05ceefd22b8fc3a76860,39cbe38ed9435190ed1cc4b8627e0fc46240e9b557279b98aa5affe2d3134e38,fefab06ac690913c148dfe880fbcb7b5d572d6520524d8ffb50e65fe76d671cd,f5339600ea37fd4b30f7d63a29d0303490c84b0f15ad1458716323f59986610b,b8e8a63244a06b2ea54105d4a22651433c48c71af68f21dedad46e537570f7c4,82d830a0f9fbebb6f527b0eb5b4278d5442684f548c184e3fc3aff101f59842d,0.982,0.0,0.041,0.006,0.013,true,none
Case2003,0,3,0a5a033f384ee81c205f01264f737153f697fcf88ce5dbaa0bc9d97c024ce500,55a96fcce2dc273fdeaafc05a975fbbdd3f776e0f1025f5e209dcac4f25369bf,71daeadf94b94bd75b3bc0254173bd321a4b5bb38c853e3bed088126b008dbdb,7fa791083081c01c44e2499811999b739cbcbb0ace174eaac8e5e938a6c1a6ee,4ed38c3ea055224100bdd7fef4f7e14526d686ac9ec2d771910e07a6abdb6d68,b30ee15ecef699156977401228971212accd8ef84fc7d0ab5c1e4f5d93e7b33e,0.982,0.0,0.041,0.006,0.013,true,none
Case2003,0,4,e3d3efb1fa0459522a28ea9263faa5f381780b829c764300aeeec0e2120ee7a5,0a5ccf36944c2fb926706f40dc24b3486099b6bc744060b29ca5d13e8ccf1e55,fc1454e70936b276e0a58d9aa583d94bfbfe35429ab62bcfee8662adfc48c4eb,07360328d79e33e6c8dcc64f05effcd01016242a3b3f9a2f822b14e903f58218,8c35c01a08e72fc89d8ae60af936978100f92984c47327b5b3070fa23fd7955a,e723e787fb9ce0e3f030a5f9bcccbf02ee79801fa33ad2289f646162c7a6804e,0.982,0.0,0.041,0.006,0.013,true,none
Case2003,0,5,302ad5dde15abdee9eb604045e20ad985f880f7321fdd782ac85355c967c9afa,5e8cbf9d9f8c1e431d828ba45ee6b55aa897aca91206fe09e30a5148b400bed4,eacf6eda41e344b6baf33e5c5da48b11c310b83e9fdc4261a926b6fb39f3afad,750e5513692683722a2bf7e09ac46c9d9affabc2e6127d145920f3fcea98ec65,4af6cb39d69e3535ddf7fc96a6c7d4ec605cc0e57f2e52134c7e3aa306ed2d89,9dad35413899de3a30362cf5217401bbf295c6d817aa69502ce97f13ffdb1528,0.982,0.0,0.041,0.006,0.013,true,none
Case2004,0,1,cbcca2544c60f73648efc316c2a39260bff54ed5d81fd1619dec8ac06ff247aa,facb62a94e34bab5713aa46cde98389fd54b4fa97f0a0f91cda81fc9bc8ff9d5,b2195f61eece43c54d907d0cebba91070bfa57d07eca8b54e250d523f7c9f5f8,f8bd350101acb2b5a618df1b0dc53f1cfcf1db5c6e080b1247b577dcaee19ccc,12875611d4580417181e18cfa4081eab7934f836cc38ccc953b97e1930304b9e,cba788edefb45697b3f7f8235e7e47be88972aa091d78154caeba7069a2276a5,0.982,0.0,0.041,0.006,0.013,true,none
Case2004,0,2,e355dd08bb818f4a534801e48364fdf5417cf91ed8be0d7e7ecdc54bf0197fec,0991b1610148aefb8b8470a5c95e9cefd318563c2cc9fd6c1bbc95a4e4fd439d,edfac395e331f3365566e94eadb727560afd4237bfb3e61bb2e7eb65bd4d254e,b6da602d2d165514dd694bf7c8ffbed6189f310e2bd2ceac593ecb3757bb69de,a5cc4107bd00d61e6155937ef91937598791467c2a74db326a4a0e53bbc028c5,2fedc673893f07cce7228680d732ae887a8fbefd80aeeafe8762ab315218f5a7,0.982,0.0,0.041,0.006,0.013,true,none
