证据分组,模型或路线,训练设置,评价人群,Scar 结果,Edema 结果,Cine 结果,典型病例/帮助伤害,主要结论,仍可保留的思想,可比性等级,证据路径
Block C 最新完整三模态目标域训练,M0R outer deterministic replay,fold-specific stock anatomy + M0R scar step3500 + M0R edema step4000 + scar priority,fold2+fold3 outer deterministic replay 32 cases,"Dice 0.6500, SEN 0.7264, remote FP 21","Dice 0.4340, SEN 0.4124, remote FP 13",N/A,Case3008 edema SEN 0.0885；Case2021 未破坏；Case2019 表现可用。,最终本地结论是 scar-only candidate ready，不是完整 target-domain candidate。,保留冻结 source、outer replay、sentinel atlas；edema 需另行机制修复。,SAME_TASK_DIFFERENT_POPULATION,results/20260801_care_target_domain_race_gap_closure/outer_replay/summary_metrics.csv; results/20260801_care_target_domain_race_gap_closure/outer_replay/casewise_metrics.csv; results/20260801_care_target_domain_race_gap_closure/outer_replay/sentinel_case_atlas.md
Block D 历史失败路线,SRR Batch0-6,historical SRR/anchor interventions；pre-Batch7,diagnostic subset / historical reconstruction,anchor scar 0.5602；SRR scar 0.5602,anchor edema 0.3944；SRR edema 0.3944,N/A,用于机制复盘，不代表当前 active candidate。,早期 SRR 基本没有改变 anchor final mask，属于模块存在但未产生有效输出。,保留 anchor-relative replay 和 final-output delta 审计。,DIAGNOSTIC_ONLY,results/20260730_care_failure_forensics_deep_research_packet/v4_batch0_7_casewise_metrics.csv
Block D 历史失败路线,SRR Batch7,pathology-specific candidate supervision；多 mode intervention,Batch7 diagnostic casewise 968 rows,full learned scar 0.5552 vs anchor 0.5602,full learned edema 0.7818 vs anchor 0.7798,N/A,用于机制复盘，不代表当前 active candidate。,模块可见不等于 final-mask 有效；scar 反而轻微伤害。,保留 scar/edema 分开监督、help/harm、remote-FP 审计。,DIAGNOSTIC_ONLY,results/20260730_care_failure_forensics_deep_research_packet/v4_batch7_casewise_metrics.csv; results/20260730_care_failure_forensics_deep_research_packet/v4_batch7_reusable_experience.md
Block D 历史失败路线,MMRD direct,reliable-label direct student,matched diagnostic rows,Dice 0.2903 vs nnU-Net 0.5602,Dice 0.2431 vs nnU-Net 0.3944,N/A,用于机制复盘，不代表当前 active candidate。,直接 student 明显低于 baseline；decoder/残差能力不足。,保留 reliable-label 和 no-T2 hygiene。,DIAGNOSTIC_ONLY,results/20260730_care_failure_forensics_deep_research_packet/v4_mmrd_casewise_metrics.csv; results/20260730_care_failure_forensics_deep_research_packet/v4_mmrd_reusable_experience.md
Block D 历史失败路线,MMRD distillation,student reliable distillation,matched diagnostic rows,Dice 0.0831；remote FP 3865122 mm3,Dice 0.0803；remote FP 150072 mm3,N/A,用于机制复盘，不代表当前 active candidate。,distillation 未恢复能力，且出现严重 remote FP/体积失控。,保留 modality dropout 作为待测训练策略，不保留该实现。,DIAGNOSTIC_ONLY,results/20260730_care_failure_forensics_deep_research_packet/v4_mmrd_casewise_metrics.csv; results/20260730_care_failure_forensics_deep_research_packet/v4_mmrd_reusable_experience.md
Block D 历史失败路线,SRR-Cascade,teacher-cache / bounded correction / ROI refiner,44-case diagnostic subset,best scar +0.0028 over anchor,best edema +0.0019 over anchor,N/A,用于机制复盘，不代表当前 active candidate。,bounded correction ceiling 极低，prototype control 未隔离。,保留 teacher-cache provenance、ROI coverage、安全边界审计。,DIAGNOSTIC_ONLY,results/20260730_care_failure_forensics_deep_research_packet/v4_cascade_casewise_metrics.csv; results/20260730_care_failure_forensics_deep_research_packet/v4_cascade_reusable_experience.md
Block D 历史失败路线,CARE-DG,domain generalization / DR / DPR diagnostics,fold0 diagnostic / compact-pathology rows,N/A,N/A,N/A,用于机制复盘，不代表当前 active candidate。,DG/DR/DPR 主要留下数据域与可用模态审计，未形成主指标候选。,保留 center/modality 分层和 no-T2 语义约束。,DIAGNOSTIC_ONLY,results/20260730_care_failure_forensics_deep_research_packet/dg_dr_dpr_casewise_metrics.csv; results/20260730_care_failure_forensics_deep_research_packet/cascade_dg_dpr_forensics_report.md
Block D 历史失败路线,CARE-ARC,single encoder/context/no-T2 safety；fold0 development,fold0 diagnostic / clean fold1 implementation evidence,raw scar often below nnU-Net；ARC W3 delta -0.1805,edema-zone delta -0.1554；pure edema not official comparable,N/A,用于机制复盘，不代表当前 active candidate。,实现性质存在，但 decoder restoration 和同折初始化闭环不足。,保留输入合同、availability/no-T2 exact zero、安全检查。,DIAGNOSTIC_ONLY,results/20260730_care_failure_forensics_deep_research_packet/v4_arc_casewise_metrics.csv; results/20260730_care_failure_forensics_deep_research_packet/v4_arc_reusable_experience.md; wiki/README.md
Block D 历史失败路线,PRISM W3,fold0 W3 6500-step；inner selected step3000；outer once,fold0 outer once 44 cases,Dice 0.4196 vs nnU-Net 0.5341,edema-zone Dice 0.2472 vs nnU-Net 0.5592,N/A,用于机制复盘，不代表当前 active candidate。,outer gate 同时伤害 scar/edema-zone，calibration 失败。,保留 pathology retrieval + soft cascade 的设计问题清单和 outer lock。,DIAGNOSTIC_ONLY,results/20260729_care_prism_v2_backbone_repair_and_resume/evaluation/fold0_w3_outer_once_formal_v2/case_metrics.csv; results/20260729_care_prism_v2_backbone_repair_and_resume/w3_strict_validator_report.json
Block D 历史失败路线,MyoWall-IF,fold1 stock parity + pilot_inner geometry gate；未训练 C0/W1-W3,pilot_inner 32；fold1 outer 未读取,N/A,N/A,N/A,用于机制复盘，不代表当前 active candidate。,hard geometry tail 不可靠：valid rate 0.8438，5th percentile Dice 0.7069。,可保留 stock parity adapter；geometry 不可靠前禁止正式训练。,DIAGNOSTIC_ONLY,results/20260731_care_myowall_if_mechanism_pilot/geometry_gate_report.json; results/20260731_care_myowall_if_mechanism_pilot/controller_terminal_packet.json
Block E 关键研究判断,decoder reset diagnostic,D0-D3 stock/decoder reset inner-select diagnostic,fold0 frozen inner-select 12 cases,D0 0.9224；D1 0.5470；D2 0.7108；D3 0.9227,D0 0.9231；D1 0.0000；D2 0.2664；D3 0.9225,N/A,D1/D2 显示 decoder 能力损失会快速毁掉 edema。,重复失败的核心不是 encoder 没信号，而是 decoder/final-output 能力被破坏。,保留成熟 decoder 或严格 decoder restoration parity。,DIAGNOSTIC_ONLY,results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_summary.csv; results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_report.md
Block E 关键研究判断,alignment evidence,complete-trimodal alignment V3/V4 diagnostic,bound casewise diagnostic rows,N/A,N/A,N/A,alignment 可作为安全/诊断，不是主机制。,现有证据支持 optional diagnostic，而不是主要 Deep Research 机制。,保留 soft anatomy context 和 alignment safety checks。,DIAGNOSTIC_ONLY,results/20260730_care_failure_forensics_deep_research_packet/v4_alignment_conclusion.md; results/20260730_care_failure_forensics_deep_research_packet/v4_alignment_casewise.csv
Block E 关键研究判断,selector/oracle gain ceiling,case oracle / voxel oracle / feature probe bounds,clean OOF proxy pools,case oracle +0.0220；voxel oracle +0.2375,case oracle +0.0023；voxel oracle +0.1730,N/A,large-gain error budget 指向 selector 不足。,仅靠选择器/recipe reuse 很难稳定拿到约 0.1 Dice；需要新机制。,保留 case-wise oracle/error-budget，但不把 oracle 当部署结果。,DIAGNOSTIC_ONLY,results/20260730_care_failure_forensics_deep_research_packet/v4_large_gain_bounds.csv; results/20260730_care_failure_forensics_deep_research_packet/v4_large_gain_conclusion.md
Block E 关键研究判断,current scar-only candidate status,M0R frozen source + outer replay；无 hosted upload,fold2+fold3 outer deterministic replay,outer Dice 0.6500,outer Dice 0.4340,N/A,Case3008/3009 CenterC edema 是最大否决点。,本地可以把 scar line 作为 candidate 继续讨论，但 edema line 不能随 scar 一起宣称 ready。,病种独立 fallback、edema-specific mechanism、negative-space accounting。,SAME_TASK_DIFFERENT_POPULATION,results/20260801_care_target_domain_race_gap_closure/scientific_decision.json; results/20260801_care_target_domain_race_gap_closure/outer_replay/summary_metrics.csv
Block F 复盘型研究判断,SRR retrospective,未训练；只读本地论文可用性、SRR 历史包、当前方向文档,presentation retrospective / evidence synthesis,N/A,N/A,N/A,原论文 PDF 未在本地找到；SRR 只能作为历史动机、受控基线和 ablation reference。,科学教训是：跨源整合可能有用，也可能抹掉局部临床病理；当前主问题应转向 pathology-preserving transportability。,保留 availability/no-T2 safety、shared/private 思路、final-output delta、help/harm 和 remote-FP 审计；不复用旧 SRR 主架构。,RETROSPECTIVE_ONLY,docs/retrospectives/SRR_RETROSPECTIVE.md; figures/conceptual/srr_to_transportability_diagram.md
