case_id,formal_inference_never_calls_whole_volume_shortcut,input_shape,mirror_axes,padded_shape,patch_size,steps,tile_count,tile_step_size,use_gaussian
Case1080,True,"[20, 278, 233]",[],"[20, 278, 256]","[20, 256, 256]","[[0], [0, 22], [0]]",2,0.5,True
Case2002,True,"[12, 244, 255]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case2007,True,"[12, 214, 207]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case2008,True,"[10, 249, 219]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case2017,True,"[10, 333, 321]",[],"[20, 333, 321]","[20, 256, 256]","[[0], [0, 77], [0, 65]]",4,0.5,True
Case2020,True,"[12, 207, 207]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case2031,True,"[6, 330, 320]",[],"[20, 330, 320]","[20, 256, 256]","[[0], [0, 74], [0, 64]]",4,0.5,True
Case2033,True,"[14, 240, 219]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case3004,True,"[14, 255, 252]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case3011,True,"[9, 263, 258]",[],"[20, 263, 258]","[20, 256, 256]","[[0], [0, 7], [0, 2]]",4,0.5,True
Case3012,True,"[14, 254, 251]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case3023,True,"[14, 254, 255]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case3026,True,"[14, 239, 252]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case3034,True,"[18, 244, 246]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case3038,True,"[8, 244, 269]",[],"[20, 256, 269]","[20, 256, 256]","[[0], [0], [0, 13]]",2,0.5,True
Case3040,True,"[14, 261, 260]",[],"[20, 261, 260]","[20, 256, 256]","[[0], [0, 5], [0, 4]]",4,0.5,True
Case3044,True,"[14, 266, 261]",[],"[20, 266, 261]","[20, 256, 256]","[[0], [0, 10], [0, 5]]",4,0.5,True
Case5005,True,"[12, 256, 254]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case6001,True,"[16, 263, 234]",[],"[20, 263, 256]","[20, 256, 256]","[[0], [0, 7], [0]]",2,0.5,True
Case6010,True,"[14, 253, 263]",[],"[20, 256, 263]","[20, 256, 256]","[[0], [0], [0, 7]]",2,0.5,True
Case7005,True,"[10, 261, 205]",[],"[20, 261, 256]","[20, 256, 256]","[[0], [0, 5], [0]]",2,0.5,True
Case8003,True,"[18, 256, 192]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case8011,True,"[18, 278, 208]",[],"[20, 278, 256]","[20, 256, 256]","[[0], [0, 22], [0]]",2,0.5,True
Case8015,True,"[16, 256, 206]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case8019,True,"[18, 278, 208]",[],"[20, 278, 256]","[20, 256, 256]","[[0], [0, 22], [0]]",2,0.5,True
Case8021,True,"[19, 278, 208]",[],"[20, 278, 256]","[20, 256, 256]","[[0], [0, 22], [0]]",2,0.5,True
Case8022,True,"[16, 256, 192]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case8023,True,"[19, 278, 208]",[],"[20, 278, 256]","[20, 256, 256]","[[0], [0, 22], [0]]",2,0.5,True
