decision,git_head,job_states,next_action,phase,task_hash,timestamp_unix
B10_WAVE2_REPLACEMENT_SUBMITTED,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,submitted job_id=60365708 partition=htzhulab after source_prefix runtime repair,monitor replacement to terminal accounting; aggregate after completion,B10_WAVE2_REPLACEMENT_RERUN,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784873064
B10_WAVE2_ATTEMPT_CANCELLED_MISSING_COMMON_SPACE_LOGITS,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,60365708 CANCELLED by controller after 00:03:56; zero completion credit,patch inference to save preprocessed logits and rerun Wave2,B10_A09_COMMON_SPACE_EVIDENCE_REPAIR,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784873065
B10_WAVE2_PREPROCESSED_LOGITS_REPAIR_TESTED,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,py_compile PASS; fair inference supports --save-preprocessed-logits; Wave2 passes flag,submit replacement Wave2 full44/TTA rerun with preprocessed logits,B10_A09_COMMON_SPACE_EVIDENCE_REPAIR,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784873066
B10_WAVE2_REPLACEMENT_COMPLETED_VALIDATED,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,60366356 COMPLETED 0:0 elapsed=00:44:08; Wave2 receipt PASS; selection provenance audit PASS,run repaired Wave3 common-space ensemble/postprocess and validate A04-A06/A09,B10_WAVE2_FULL44_TTA_RERUN_VALIDATED,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784876750
B10_WAVE3_A04_A06_A09_REVALIDATED,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,local Wave3 rerun exit 0; manifest 264 all common_preprocessed_logits inverse_export_count=1,repair A05 calibrated pathology compositor then rerun Wave3,B10_WAVE3_COMMON_SPACE_SOURCE_POSTPROCESS_REVALIDATION,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784882373
B10_A05_COMPOSITOR_REPAIR_TESTED,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,py_compile PASS; compositor uses anatomy logits base plus scar/edema residual margins shared temperature,rerun Wave3 full44 with calibrated compositor,B10_A05_CALIBRATED_COMPOSITOR_CODE_REVIEW,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784882373
B10_WAVE3_A05_RERUN_VALIDATED,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,local Wave3 rerun exit 0; compositor grid 27 rows calibration_only; provenance audit PASS event_count=4,do not start Wave4 because near_baseline_gate FAIL; proceed to remaining A08/A12/final decision evidence,B10_WAVE3_CALIBRATED_COMPOSITOR_REVALIDATION,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784882373
B10_A11_NEAR_BASELINE_GATE_FAILED,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,near_baseline_gate.json FAIL training_authorized=false selected=distill_epoch25_two_seed_mean/raw_argmax,skip Wave4 training unless new authorized same-scope repair changes gate; continue fiducial and Docker feasibility before final stop/candidate decision,B10_WAVE4_AUTHORIZATION_GATE,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784882373
B10_A08_FIDUCIAL_CHECK_VALIDATED,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,local fiducial audit exit 0; paired_spatial_fiducial_receipt PASS row_count=36,finalize no-Wave4 STOP route and Docker no-candidate evidence,B10_A08_PAIRED_SPATIAL_FIDUCIAL,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784882666
B10_A12_DOCKER_PROBE_NOT_TRIGGERED_NO_CANDIDATE,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,near_baseline_gate FAIL; docker_feasibility_probe SKIPPED_NO_ADVANCED_COMPLEX_CANDIDATE; no upload/build run,run terminal validator and prepare STOP packet,B10_A12_DOCKER_FEASIBILITY_BOUNDARY,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784882666
