case_id,center,checkpoint_path,checkpoint_sha256,direction,modality_group,origin,prediction_path,prediction_sha256,seed,shape,source_prefix,spacing,variant
Case1045,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1045.nii.gz,b3a8c1ccb6b41fa976d520f7d878507c545cf7f8f93e9bc54e9ad76c28eab7e6,20260723,"[9, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.4844000339508057, 1.4844000339508057, 12.5]",student_direct_reliable
Case1047,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1047.nii.gz,13c0ea418d3c39e5529a2aeeb57af9759b5c61bc2dd4ce80e49ffdcbce296e20,20260723,"[24, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.4452999830245972, 1.4452999830245972, 5.0]",student_direct_reliable
Case1053,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1053.nii.gz,fae422fdaf8c5639a8d9db0d63a77629972aa2f519af3fb66f0d97e096bc3940,20260723,"[9, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.5625, 1.5625, 13.0]",student_direct_reliable
Case1062,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1062.nii.gz,ea66ec25514118ab9fbee820166a664a13961e36fc70ffe7662363acd788387e,20260723,"[20, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.3280999660491943, 1.3280999660491943, 5.0]",student_direct_reliable
Case1070,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1070.nii.gz,f68ff5a1c0c5bad4d2a3cc03130e8041119c6fec0781b84a9131fe2110f88b8e,20260723,"[20, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.25, 1.25, 4.5]",student_direct_reliable
Case1073,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1073.nii.gz,31cb8b96e6b4edee9ee63b22c798a81684e2ce7f75bd4099e3499ae4a2cef85b,20260723,"[10, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.3672000169754028, 1.3672000169754028, 10.5]",student_direct_reliable
Case1080,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1080.nii.gz,e1e385c4c6539a3f528814289c1bc068bba84be5d5c1c8eff42a2b8aa8f2dde1,20260723,"[9, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.4844000339508057, 1.4844000339508057, 11.0]",student_direct_reliable
Case2002,CenterB,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",C0+LGE+T2,"[0.0, 0.0, 10.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case2002.nii.gz,9b12e5d9274d97ae49e2cee80b28e4f8171ecb3bcfb19421fe0a9bdaaa191462,20260723,"[6, 251, 264]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.328125, 1.328125, 10.0]",student_direct_reliable
Case2007,CenterB,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",C0+LGE+T2,"[0.0, 0.0, 10.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case2007.nii.gz,2e76f9636226e95b3ed6e403ef9ab2dec7e4c276326e536f6be67b045dbca4cf,20260723,"[6, 166, 160]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.7708333730697632, 1.7708333730697632, 10.0]",student_direct_reliable
Case2008,CenterB,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",C0+LGE+T2,"[0.0, 0.0, 10.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case2008.nii.gz,58d5ff4a788d3d57b77ad5c25bedc25a5db5e472229c7cc4041945d341155a75,20260723,"[5, 257, 225]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.328125, 1.328125, 10.0]",student_direct_reliable
Case2017,CenterB,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",C0+LGE+T2,"[0.0, 0.0, 10.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case2017.nii.gz,c89446540314272c9656bd40699ac0610f28d810649a6be8bf26b358468e6dfb,20260723,"[5, 257, 248]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.7708333730697632, 1.7708333730697632, 10.0]",student_direct_reliable
Case2020,CenterB,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",C0+LGE+T2,"[0.0, 0.0, 10.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case2020.nii.gz,ae3533836c81e07f552b8c6e57691719c4b2b05b2005224de500387a721f5530,20260723,"[6, 160, 160]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.7708333730697632, 1.7708333730697632, 10.0]",student_direct_reliable
Case2031,CenterB,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",C0+LGE+T2,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case2031.nii.gz,b730f363386f2e4799795135ce84a9250bcb3db7ee7ebb5498a7f3c677f60cdf,20260723,"[3, 255, 247]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.7708333730697632, 1.7708333730697632, 10.0]",student_direct_reliable
Case2033,CenterB,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",C0+LGE+T2,"[0.0, 0.0, 10.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case2033.nii.gz,6a5222311e1f5f036354646f257d1c047baad159d64b0fb80c6a8dd1ce50f14e,20260723,"[7, 247, 225]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.328125, 1.328125, 10.0]",student_direct_reliable
Case3004,CenterC,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[0.5896656031172621, 0.5631731723245503, -0.5789045695125195, 0.7486972656129314, -0.11234420285571717, 0.6533231810310259, -0.3028974759948901, 0.8186664510401144, 0.4878917098342887]",C0+LGE+T2,"[-132.58396911621094, -193.31329345703125, -153.46054077148438]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case3004.nii.gz,7d1b3a5e4711155993dc1a3938c6e00ffb4cff933370d2cf4003eba02879a036,20260723,"[6, 478, 481]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[0.7290666699409485, 0.7290666699409485, 12.000001907348633]",student_direct_reliable
Case3011,CenterC,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[0.7355171643616474, 0.4221775740602169, -0.5298873396525531, 0.6721438047584298, -0.3564917440312127, 0.6489501722461508, -0.08507177354600708, 0.8334744941497696, 0.5459698537626697]",C0+LGE+T2,"[-154.72134399414062, -100.63591003417969, -222.80125427246094]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case3011.nii.gz,c2afce0effa17fa2cab27b2c3333e3f2ea350141160dda4852b1762a0a019af7,20260723,"[2, 498, 489]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[0.7290666699409485, 0.7290666699409485, 23.000001907348633]",student_direct_reliable
Case3012,CenterC,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[0.5310482986632602, 0.43084671628000437, -0.729629218976875, 0.7925761951480587, 0.0519739274746017, 0.6075538584369924, -0.29968429950780406, 0.9009271990197666, 0.31387818005321483]",C0+LGE+T2,"[-103.74781036376953, -210.4540252685547, -94.82025909423828]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case3012.nii.gz,91e3cf7644186ee92beb80378bc879807e3535561a9b738e45865ded837e5319,20260723,"[5, 477, 477]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[0.7290666699409485, 0.7290666699409485, 13.999999046325684]",student_direct_reliable
Case3023,CenterC,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[0.625392020830252, 0.1868996679171403, -0.7575970580026776, 0.773985172336436, -0.025206617607824403, 0.6327018368834146, -0.09915529882558569, 0.9820555689782711, 0.1604215799387365]",C0+LGE+T2,"[-59.7354736328125, -210.60658264160156, -130.4244842529297]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case3023.nii.gz,425f2123a67011b1aa474f00cf2c0e60f17218193d70559cdfc3c839e9ab4e49,20260723,"[3, 479, 481]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[0.7291666865348816, 0.7291666865348816, 23.0]",student_direct_reliable
Case3026,CenterC,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[0.7252914558777445, 0.07255419755220803, -0.6846081107883737, 0.6806933950710812, -0.22435602535340227, 0.6973670442994252, 0.10299905794397776, 0.9718025840185746, 0.21211067905189807]",C0+LGE+T2,"[-39.60476303100586, -172.83050537109375, -220.1192626953125]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case3026.nii.gz,e3ed6f93bec2c46dadde45229a6f17f31e35fa14da061361bd4687f6895ee7f0,20260723,"[5, 471, 474]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[0.7290666699409485, 0.7290666699409485, 14.00000286102295]",student_direct_reliable
Case3034,CenterC,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[0.5859175564718718, 0.32937966284568093, -0.7404118020185919, 0.7981866136020547, -0.0767277530634065, 0.5975039620813288, -0.13999552451601863, 0.9410748586661459, 0.3078625971577183]",C0+LGE+T2,"[-67.88310241699219, -162.7578125, -177.7248077392578]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case3034.nii.gz,c18bde597bfca4b8336b5e12fc3bd112abc0ee64963b1c273756b084b934df85,20260723,"[4, 458, 462]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[0.7290666699409485, 0.7290666699409485, 23.000001907348633]",student_direct_reliable
Case3038,CenterC,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[0.7777000590165278, 0.444800135033682, -0.44422458824105515, 0.5818294145845596, -0.24173466023005047, 0.7765557627345737, -0.23802762556030704, 0.8623903953068357, 0.4467948775062101]",C0+LGE+T2,"[-163.87860107421875, -154.21568298339844, -173.9169921875]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case3038.nii.gz,a049d00672183926d026bf5d8aa6605376ce62389190eff7fdc1f1e988731b92,20260723,"[3, 508, 506]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[0.7421875, 0.7421875, 13.999996185302734]",student_direct_reliable
Case3040,CenterC,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[0.6492576568531518, 0.21545779416436095, -0.7294123905734631, 0.7603728700155971, -0.16212529296593212, 0.628926455814769, -0.017250900318499022, 0.9629607096421632, 0.2690893488307912]",C0+LGE+T2,"[-72.97633361816406, -194.67489624023438, -191.24249267578125]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case3040.nii.gz,37ac2e9159e2b5f17c8ba33f1040eec6326c813f5a9bb221cde1996c17af6cd9,20260723,"[3, 495, 498]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[0.7290666699409485, 0.7290666699409485, 22.999998092651367]",student_direct_reliable
Case3044,CenterC,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[0.7495367069867379, 0.16507350490229875, -0.6410502771205954, 0.6618336324199341, -0.20600387389202465, 0.7207902961779263, 0.013075468531279976, 0.9645274189574653, 0.2636586640703183]",C0+LGE+T2,"[-108.28376770019531, -172.17514038085938, -145.09034729003906]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case3044.nii.gz,d533b7f8bcf4260b4481913d087a5e3c034634638ce6c1baa1d6ab6d9c8e806b,20260723,"[3, 499, 501]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[0.7290666699409485, 0.7290666699409485, 23.000001907348633]",student_direct_reliable
