item_id,issue_keyword,status,evidence
attachment_41,alpha focal,CLOSED_FOR_EXTERNAL_REVIEW_CANDIDATE,binary_dice_focal uses alpha_t
attachment_42,component tversky normalization,CLOSED_FOR_EXTERNAL_REVIEW_CANDIDATE,per_gt_component_tversky divides by sum weights
attachment_43,other components ignore,CLOSED_FOR_EXTERNAL_REVIEW_CANDIDATE,per_gt_component_tversky masks other GT components out of valid mask
attachment_44,upper encoder,CLOSED_FOR_EXTERNAL_REVIEW_CANDIDATE,trainer parameter registry parses encoder stage ids and uses the last two observed stages
attachment_45,resume provenance,CLOSED_FOR_EXTERNAL_REVIEW_CANDIDATE,checkpoint_provenance_validation_oracle and external permit enforcement added
attachment_46,old 207f,CLOSED_FOR_EXTERNAL_REVIEW_CANDIDATE,invalidated source is refused and old runtime credit remains zero
attachment_47,patient held-out OOF,CLOSED_FOR_EXTERNAL_REVIEW_CANDIDATE,canonical_stock_oof_oracle/provenance receipt required
attachment_48,semantic oracle coverage,CLOSED_FOR_EXTERNAL_REVIEW_CANDIDATE,independent_semantic_review.md records v4 scope
attachment_49,no formal training,CLOSED_FOR_EXTERNAL_REVIEW_CANDIDATE,formal_training_started=false and no W3 command launched
attachment_50,no-T2 safety,CLOSED_FOR_EXTERNAL_REVIEW_CANDIDATE,tests/care_ase/test_no_t2_safety.py and G2 no-T2 gradient exact zero
attachment_51,H100 actual train,CLOSED_FOR_EXTERNAL_REVIEW_CANDIDATE,G2 fold1/fold4 receipts were generated through H100 srun and 20x256x256 patch
