sha256,size,count,paths
1a2c398145622a31d0ce5d70e313c60744aecc9ad08224ca71bf6ebe865ae12f,76,5,results/20260803_care_ase_r2_external_review_repair_v7/canned_pass_oracle_audit.json|results/20260803_care_ase_r2_final_pretraining_closure_v8/canned_pass_oracle_audit.json|results/20260803_care_ase_r2_last_hotfix_v9/canned_pass_oracle_audit.json|results/20260803_care_ase_r2_pretraining_fidelity_repair_v5/canned_pass_oracle_audit.json|results/20260804_care_ase_r2_emergency_9h_training_docker/canned_pass_oracle_audit.json
f5b04d709f36538783dca309c4dc7f0c831228ae43b484a60e105e04e1f9eed2,7483,4,results/20260721_srr_batch7_mechanism_closure_repair/checkpoint_selection.csv|results/20260721_srr_batch7_mechanism_closure_repair/proposal_stage_checkpoint_selection.csv|results/20260721_srr_batch7_mechanism_closure_repair/proposal_stage_subgroups.csv|results/20260721_srr_batch7_mechanism_closure_repair/subgroup_metrics.csv
f19d2c4dae0f737c6bb97f0567b0f82fc0859eec49d4c619134c062aebf503d7,7147,4,docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/inference/edema_predict.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/inference/edema_predict.py|third_party/MoSAIC/source/docker/myops/myops_pkg/inference/edema_predict.py|third_party/MoSAIC/source/myops/inference/edema_predict.py
bfc178058aaabc3e171f80ba7f82f8be9dbc12712ae43e4c7a20c763af941ae1,6372,4,results/20260629_cascade_teacher_route/subgroup_metrics.csv|results/20260629_cascade_teacher_route/teacher_student_delta.csv|results/20260730_care_failure_forensics_deep_research_packet/cascade_casewise_metrics.csv|results/20260730_care_failure_forensics_deep_research_packet/v3_cascade_casewise_metrics.csv
e84f703beff27b7aee2140302a5b8813555d9f168ab98ca5581249c4618ba379,5592,4,docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/models/edema_net.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/models/edema_net.py|third_party/MoSAIC/source/docker/myops/myops_pkg/models/edema_net.py|third_party/MoSAIC/source/myops/models/edema_net.py
a3dda2649f91e2ebc2ca76f842ee7d7b4080cc41dd893dd00bf79a6e06d5ba91,5454,4,docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/models/tps.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/models/tps.py|third_party/MoSAIC/source/docker/myops/myops_pkg/models/tps.py|third_party/MoSAIC/source/myops/models/tps.py
14102b7813eb4bb9823b39f6d0078861b181842f3ba9095cb1cd15b903c970e8,5397,4,results/20260629_cascade_teacher_route/revision_component_guard/variants/coarse_to_fine_srr_roi_component_guard/no_t2_empty_gt_fp_table.csv|results/20260629_cascade_teacher_route/revision_component_guard/variants/nnunet_pathology_teacher_srr_refiner_component_guard/no_t2_empty_gt_fp_table.csv|results/20260629_cascade_teacher_route/variants/nnunet_anatomy_prior_refiner/no_t2_empty_gt_fp_table.csv|results/20260629_cascade_teacher_route/variants/nnunet_pathology_teacher_srr_refiner/no_t2_empty_gt_fp_table.csv
34a3d106b56a97a21c11cca0f888bb387dd09f3249c942faf11b8aee9b26dbf9,4299,4,docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/models/fine_path_net.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/models/fine_path_net.py|third_party/MoSAIC/source/docker/myops/myops_pkg/models/fine_path_net.py|third_party/MoSAIC/source/myops/models/fine_path_net.py
748105c62a761750ce338ee9701d52a67329b24a1769c913d2923ac21d3605f5,3331,4,docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/models/encoder.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/models/encoder.py|third_party/MoSAIC/source/docker/myops/myops_pkg/models/encoder.py|third_party/MoSAIC/source/myops/models/encoder.py
1cd57c210b4c4657505b644fdce0c3a872ebade70448b510d98f698361817917,3043,4,docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/utils/image.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/utils/image.py|third_party/MoSAIC/source/docker/myops/myops_pkg/utils/image.py|third_party/MoSAIC/source/myops/utils/image.py
0c31e4fde11c363e1c39115ae7774d9af1e9e4b351956b66165e1c36f33b059c,3040,4,docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/models/msf_decoder.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/models/msf_decoder.py|third_party/MoSAIC/source/docker/myops/myops_pkg/models/msf_decoder.py|third_party/MoSAIC/source/myops/models/msf_decoder.py
c1f9ea38b6a44c926545f5c14af2696468b60138a46cd5df6296e3dce49722e2,2646,4,results/20260728_care_dpr_fold0_global_redesign/runtime/gate_b_r2_balanced_smoke/gate_b_r2_resolved_contract.json|results/20260728_care_dpr_fold0_global_redesign/runtime/gate_b_r2_index8_balanced_smoke/gate_b_r2_resolved_contract.json|results/20260728_care_dpr_fold0_global_redesign/runtime/gate_b_r2_smoke4/gate_b_r2_resolved_contract.json|results/20260728_care_dpr_fold0_global_redesign/runtime/gate_b_r2_window12_balanced_smoke/gate_b_r2_resolved_contract.json
d692a91ad3a4d1c4c340f82e59618e5d0138554aa94292d8fc1a3e0ec7af5d70,2477,4,docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/inference/postprocess.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/inference/postprocess.py|third_party/MoSAIC/source/docker/myops/myops_pkg/inference/postprocess.py|third_party/MoSAIC/source/myops/inference/postprocess.py
0a2c1cc7585816e691e39de8b484e26858e6c649f022dfe411a0b783f40db3d0,2461,4,docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/models/coarse_net.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/models/coarse_net.py|third_party/MoSAIC/source/docker/myops/myops_pkg/models/coarse_net.py|third_party/MoSAIC/source/myops/models/coarse_net.py
5c4d0416a3fb2ee4ac83b97f59bd79063964159535e708892ed79fc560d9fe8f,2364,4,results/20260803_care_ase_r2_external_review_repair_v7/semantic_loss_coverage.json|results/20260803_care_ase_r2_final_pretraining_closure_v8/semantic_loss_coverage.json|results/20260803_care_ase_r2_last_hotfix_v9/semantic_loss_coverage.json|results/20260804_care_ase_r2_emergency_9h_training_docker/semantic_loss_coverage.json
59b227dc813a765207da2297a55e0aa0209d194f1a60807fc37a9d5f848f43b0,1765,4,results/20260803_care_ase_r2_final_code_blocker_closure/stock_augmentation_runtime_binding_fold1.json|results/20260803_care_ase_r2_final_code_blocker_closure/stock_augmentation_runtime_binding_fold4.json|results/20260803_care_ase_r2_final_code_blocker_closure/stock_initial_patch_binding_fold1.json|results/20260803_care_ase_r2_final_code_blocker_closure/stock_initial_patch_binding_fold4.json
3f6ad0e591e43aee08e8633b5ddb45a9e96e629801841694832de736458229fc,1687,4,docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/engine/edema_losses.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/engine/edema_losses.py|third_party/MoSAIC/source/docker/myops/myops_pkg/engine/edema_losses.py|third_party/MoSAIC/source/myops/engine/edema_losses.py
a5249cbe86d6fe1c6a409c635501e640b42d4f0c06c12592489f431e580e5704,1674,4,docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/utils/io.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/utils/io.py|third_party/MoSAIC/source/docker/myops/myops_pkg/utils/io.py|third_party/MoSAIC/source/myops/utils/io.py
9c87f12234bede7e08dd3bf429184f5e4451602916d4f67dced7e5fac72e1dfe,1597,4,docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/config.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/config.py|third_party/MoSAIC/source/docker/myops/myops_pkg/config.py|third_party/MoSAIC/source/myops/config.py
