partition,stage,job_id,dependency_type,dependency,runtime_root,log_path,training_credit,optimizer_steps_credit,train_loop_seconds_credit,replacement_reason
htzhulab,d1_spatial_br2,58701197,afterok,afterok:58701196,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,logs/M10D1MyoPS_58701197_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
htzhulab,d2_hierarchical_psip,58701198,afterok,afterok:58701197,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,logs/M10D2MyoPS_58701198_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
htzhulab,d3_full_propref,58701199,afterok,afterok:58701198,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,logs/M10D3MyoPS_58701199_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
htzhulab,hard_negative_refresh,58701200,afterok,afterok:58701199,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,logs/M10HardNeg_58701200_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
htzhulab,no_context_control,58701201,afterok,afterok:58701200,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,logs/M10NoCtx_58701201_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
htzhulab,alignment_control,58701202,afterok,afterok:58701201,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,logs/M10Align_58701202_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
volta-gpu,preflight,58701281,none,,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry3/volta-gpu,logs/M10W2Preflight_volta-gpu_58701281_<timestamp>.log,0,0,0,volta_compute_preflight_failed_cuda_kernel_probe_unsupported_v100_zero_credit
volta-gpu,d0_control,58701282,afterok,afterok:58701281,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry3/volta-gpu,logs/M10D0MyoPS_58701282_<timestamp>.log,0,0,0,cancelled_after_failed_volta_preflight_afterok_zero_credit
volta-gpu,d1_spatial_br2,58701283,afterok,afterok:58701282,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry3/volta-gpu,logs/M10D1MyoPS_58701283_<timestamp>.log,0,0,0,cancelled_after_failed_volta_preflight_afterok_zero_credit
volta-gpu,d2_hierarchical_psip,58701284,afterok,afterok:58701283,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry3/volta-gpu,logs/M10D2MyoPS_58701284_<timestamp>.log,0,0,0,cancelled_after_failed_volta_preflight_afterok_zero_credit
volta-gpu,d3_full_propref,58701285,afterok,afterok:58701284,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry3/volta-gpu,logs/M10D3MyoPS_58701285_<timestamp>.log,0,0,0,cancelled_after_failed_volta_preflight_afterok_zero_credit
volta-gpu,hard_negative_refresh,58701286,afterok,afterok:58701285,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry3/volta-gpu,logs/M10HardNeg_58701286_<timestamp>.log,0,0,0,cancelled_after_failed_volta_preflight_afterok_zero_credit
volta-gpu,no_context_control,58701287,afterok,afterok:58701286,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry3/volta-gpu,logs/M10NoCtx_58701287_<timestamp>.log,0,0,0,cancelled_after_failed_volta_preflight_afterok_zero_credit
volta-gpu,alignment_control,58701288,afterok,afterok:58701287,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry3/volta-gpu,logs/M10Align_58701288_<timestamp>.log,0,0,0,cancelled_after_failed_volta_preflight_afterok_zero_credit
