case_id,variant,center,modality_group,t2_present,source_metric_path
Case1045,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,CenterA,LGE-only,False,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case1047,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,CenterA,LGE-only,False,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case1047,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,CenterA,LGE-only,False,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2002,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2002,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2007,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2007,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2008,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2008,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2017,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2017,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2020,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2020,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2031,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2031,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2033,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case2033,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,CenterB,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case3004,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,CenterC,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case3004,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,CenterC,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case3011,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,CenterC,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case3011,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,CenterC,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case3012,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,CenterC,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case3012,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,CenterC,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
Case3023,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,CenterC,C0+LGE+T2,True,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/broad_eval/variants/m8_scar_precision_edema_safe_longrun/component_hd_by_case_checkpoint_best.csv
