case_id,path,width,height,pixel_std,bbox_within_page,caption_within_page,no_crop_detected,font_readability,status
Case2029,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2029_v3_atlas.png,2199,1595,74.26166645347338,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2015,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2015_v3_atlas.png,2188,1595,68.0939042967263,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2035,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2035_v3_atlas.png,2216,1595,75.14977916759433,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2014,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2014_v3_atlas.png,2171,1595,69.22442911601827,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2030,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2030_v3_atlas.png,2150,1595,69.70490059187796,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case3006,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case3006_v3_atlas.png,2190,1595,110.94164804282867,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2021,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2021_v3_atlas.png,2185,1595,71.93122631189098,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2001,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2001_v3_atlas.png,2188,1595,88.9417133929145,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2031,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2031_v3_atlas.png,2160,1595,84.36010149124523,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2023,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2023_v3_atlas.png,2070,1595,80.74267570026808,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case8021,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case8021_v3_atlas.png,2003,1595,92.43152018864959,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case1022,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1022_v3_atlas.png,2182,1595,103.60911966179981,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case1045,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1045_v3_atlas.png,2182,1595,97.54225584683185,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case1011,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1011_v3_atlas.png,2182,1595,106.94884233419694,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case1054,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1054_v3_atlas.png,2182,1595,106.33496144103268,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case8017,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case8017_v3_atlas.png,2003,1595,98.49345926119396,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case1029,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1029_v3_atlas.png,2182,1595,106.64954336806007,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case1033,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1033_v3_atlas.png,2182,1595,109.53466558264117,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case1014,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1014_v3_atlas.png,2182,1595,102.46765804176582,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case1005,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case1005_v3_atlas.png,2182,1595,107.10621842137421,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case5006,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case5006_v3_atlas.png,2182,1595,108.48837249873954,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case6010,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case6010_v3_atlas.png,2182,1595,109.29242312692445,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case7004,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case7004_v3_atlas.png,2025,1595,108.89055972760747,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case7009,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case7009_v3_atlas.png,2025,1595,112.81343300041131,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case6001,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case6001_v3_atlas.png,2182,1595,110.12968406854452,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case7008,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case7008_v3_atlas.png,2025,1595,116.40150400727728,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case5010,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case5010_v3_atlas.png,2182,1595,110.36938569820272,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case6009,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case6009_v3_atlas.png,2182,1595,104.82579147370923,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case5005,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case5005_v3_atlas.png,2182,1595,107.6552647048987,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case6004,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case6004_v3_atlas.png,2182,1595,110.33379557808279,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
