model_id,design_goal,input_modalities,missing_modality_handling,backbone,anatomy_path,pathology_proposal,scar_edema_independent,negative_space,prototype_memory,alignment_registration,roi_refiner,final_output_producer,nnunet_permission,mosaic_permission,loss,sampling,augmentation,checkpoint_selection,train_deploy_parity,local_metric,same_split_baseline,hosted_metric,result_evidence_grade,known_implementation_bug,known_evaluation_bug,current_scientific_conclusion
SRR_CASCADE,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,B_VERIFIED_DIAGNOSTIC,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,已有控制器证据可作为诊断负结果，不等同于新路线失败的普遍定理。
CARE_ARC,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,B_VERIFIED_DIAGNOSTIC,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,已有控制器证据可作为诊断负结果，不等同于新路线失败的普遍定理。
CARE_DG,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
CARE_DR,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
DPR,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,B_VERIFIED_DIAGNOSTIC,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,已有控制器证据可作为诊断负结果，不等同于新路线失败的普遍定理。
CARE_PRISM_V1,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,D_UNDERTRAINED,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,W1-W3 现有证据提示 decoder/reset、loss stage 和 evaluator 语义需要继续诊断。
CARE_PRISM_V2,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,D_UNDERTRAINED,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,W1-W3 现有证据提示 decoder/reset、loss stage 和 evaluator 语义需要继续诊断。
MOSAIC_CLEAN,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,B_VERIFIED_DIAGNOSTIC,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,clean/full-data/hosted recipe 必须分层，full-data 不能作为 clean 公平比较。
MOSAIC_FULL_DATA,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,B_VERIFIED_DIAGNOSTIC,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,clean/full-data/hosted recipe 必须分层，full-data 不能作为 clean 公平比较。
MOSAIC_HOSTED_RECIPE,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,clean/full-data/hosted recipe 必须分层，full-data 不能作为 clean 公平比较。
CINE_BASELINES,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
MOSAIC_CINE,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,B_VERIFIED_DIAGNOSTIC,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,clean/full-data/hosted recipe 必须分层，full-data 不能作为 clean 公平比较。
