case_id,split,artifact,path,exists,sha256,prior_source,teacher_source_fold
Case1019,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1019.nii.gz,True,2005e810bbf7d99b031379e6893d2b83f206ef562ab8fef606befad98116717f,nnunet_oof5_validation_teacher,3
Case1019,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1019.npz,True,9030a2f5bd35fbd427d64141417ec9c93b245c37b35f22c0151733b5ef397a5c,nnunet_oof5_validation_teacher,3
Case1020,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1020.nii.gz,True,beff224d658d28e658e01129517062d39d7b114027c339250f0fc043e759e509,nnunet_oof5_validation_teacher,2
Case1020,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1020.npz,True,ccef49b244b36aaad3993559d5851f71565ca31b1ef340bece321f246d709fb0,nnunet_oof5_validation_teacher,2
Case1022,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1022.nii.gz,True,0d30b53bffabc01b8f98c5e7c15acda8f4ff269cca7cf335ee214048fc98b8d9,nnunet_oof5_validation_teacher,3
Case1022,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1022.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,3
Case1024,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1024.nii.gz,True,2319a797808dbc4abb6164e919a1cb66b8943336abb963955d04dc0cd0cf5849,nnunet_oof5_validation_teacher,2
Case1024,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1024.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,2
Case1025,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1025.nii.gz,True,5c811ecb917f53a7428f80930272b2a9f791197a55ee8dbac8806929980cba81,nnunet_oof5_validation_teacher,2
Case1025,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1025.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,2
Case1026,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1026.nii.gz,True,4fd0a060173454ccf0531c4ae205eb648a5cfbe32e9c3b5ad7adeb3b9f8438e9,nnunet_oof5_validation_teacher,3
Case1026,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1026.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,3
Case1027,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1027.nii.gz,True,a1dec4180c9fa3e9e2c5e3b20609997cd90ecbc1904b428ebf78e309c7b68362,nnunet_oof5_validation_teacher,2
Case1027,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1027.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,2
Case1028,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1028.nii.gz,True,a555cbe970118354457b688ed8b04cdf4c45e7b7f4a395b97d601700620f10eb,nnunet_oof5_validation_teacher,3
Case1028,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1028.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,3
Case1030,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1030.nii.gz,True,5c1b031b997a34e97b6b01db77956976c52d7033f06f1a1f3c491546231c93d2,nnunet_oof5_validation_teacher,2
Case1030,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1030.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,2
Case1031,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1031.nii.gz,True,80919d9416a5f38d5dac2f18233d0ec5cb2be0d6aeff776ef3260b59934a93ca,nnunet_oof5_validation_teacher,3
Case1031,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1031.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,3
Case1032,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1032.nii.gz,True,57006dfd292677b4a753eeb0a0a8cb64561d929cd43173183013290f39530967,nnunet_oof5_validation_teacher,4
Case1032,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1032.npz,True,15f4186e8be81616dd986ff07e08e4688b0c01f12e29781fc42e64767f8cd748,nnunet_oof5_validation_teacher,4
Case1034,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1034.nii.gz,True,e8eb0b70df80066249a7daeb9e80b60fc97e3d223a103bae99e6401bedde8a60,nnunet_oof5_validation_teacher,3
Case1034,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1034.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,3
Case1035,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1035.nii.gz,True,3d9920f35f471b0e571bda25c8a90305aa1984c7954a79b8bcad270cba06f2d9,nnunet_oof5_validation_teacher,3
Case1035,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1035.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,3
Case1036,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1036.nii.gz,True,5c4ebc9a4d8fd5f9446a16d87122c6b334b7c1282dcde688f83b26f8e50c8a16,nnunet_oof5_validation_teacher,1
Case1036,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1036.npz,True,cdfed261ac4395fe1249cc923cccd6736531bcf1866694a450b5d518d729fd6c,nnunet_oof5_validation_teacher,1
Case1037,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1037.nii.gz,True,468a3a2c88be91faacde223feaaafbd03a9c9c83cc9dc9edc3a79a4b8a3016c1,nnunet_oof5_validation_teacher,4
Case1037,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1037.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,4
Case1038,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1038.nii.gz,True,d900ed36d3ad85098fe49ea1db8c2bc64834866aa800a7c6dde5e4d4b4a7da2a,nnunet_oof5_validation_teacher,1
Case1038,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1038.npz,True,382baa118d4ba6affe4caa0810af75681b157c9d6baaeb27e1d8ccb02e440ff1,nnunet_oof5_validation_teacher,1
Case1039,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1039.nii.gz,True,624ecab8d930194fce1fd4b5c085b2472624b86d9b741413ee1ad514f6003641,nnunet_oof5_validation_teacher,2
Case1039,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1039.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,2
Case1041,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1041.nii.gz,True,62ac8c4064912dcd554cf12deee4885141ee27f3c253a92b201ff58a4db2e0a7,nnunet_oof5_validation_teacher,4
Case1041,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1041.npz,True,23ad4ddcc448038c8be71c234018dfc0f80d1596e67cea9171b11d8c82148d46,nnunet_oof5_validation_teacher,4
Case1043,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1043.nii.gz,True,93b115afd59da85c587b11b2ae3fa464975d912bcff91814198bb44c30ed7f5e,nnunet_oof5_validation_teacher,1
Case1043,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1043.npz,True,544343a4e3704be1adeb0d3267700e71ee5a0ae67d9fb58d4511e0bae35dc2e2,nnunet_oof5_validation_teacher,1
Case1044,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1044.nii.gz,True,2ab2f18fbbff120232c86d57b97d6c1f913c13d62431b0d71745882cfcfa3592,nnunet_oof5_validation_teacher,2
Case1044,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1044.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,2
Case1046,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1046.nii.gz,True,29ea3feed71c97071bf8a0079ae6015ab5bd93812606c5e31a0d9b56bf1ee783,nnunet_oof5_validation_teacher,4
Case1046,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1046.npz,True,5eca8679802d104b1c47404d18c3ce4f93b1e4e7f23fe6feda2a92a5cd424aa2,nnunet_oof5_validation_teacher,4
Case1048,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1048.nii.gz,True,6df80f7f27301873cc54465c7d136a8d1a2972fc706bfd7c9fb68379250008f9,nnunet_oof5_validation_teacher,2
Case1048,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1048.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,2
Case1049,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1049.nii.gz,True,c981681dc15406e3255505a9a9fd2bf645fff01498d38be23cd04eb63abfb07f,nnunet_oof5_validation_teacher,4
Case1049,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1049.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,4
Case1050,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1050.nii.gz,True,7fae377eb8aacfbb05049f2a668aa26c1f9525e2607833f3fa0c751c2dfbf269,nnunet_oof5_validation_teacher,3
Case1050,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1050.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,3
Case1051,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1051.nii.gz,True,dbf0dc7c9c37247c79106b8cbf3d8eadc17cf338e4542ed23285b5ff1a296f90,nnunet_oof5_validation_teacher,2
Case1051,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1051.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,2
Case1052,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1052.nii.gz,True,d5c915624864f725c6963202918f905d9c8e32f21396e92fee3aa4fd917a64ad,nnunet_oof5_validation_teacher,4
Case1052,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1052.npz,True,7ed36113f70ac1fda0385dea0f3c19c3a3eaa0d6f81fd50097dfde7763e4f28e,nnunet_oof5_validation_teacher,4
