component_id,branch,role,current_status,evidence_status,target_status,source_file,symbol,entrypoint,grep_key,config_keys,inputs,outputs,losses,final_output_effect,runtime_evidence,code_fingerprint_member,last_verified_milestone,review_token,notes
scar_refiner,MyoPS,scar soft-ROI refiner,partial,verified,implemented,src/care_myocardium/models/srr_propref.py,scar_refiner,scripts/training/run_srr_propref_myops_fold0.py,scar_soft_roi,roi_weight,scar proposal + anatomy ROI,scar refined logits,scar refiner ROI,affects ROI-local final logits through refiner_delta,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_scar_refiner_roi_stats.csv,srr_propref=f7f9df91,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,需要 scar-specific 因果消融。
edema_refiner,MyoPS,edema soft-ROI refiner,partial,verified,implemented,src/care_myocardium/models/srr_propref.py,edema_refiner,scripts/training/run_srr_propref_myops_fold0.py,edema_soft_roi,roi_weight,edema proposal + T2 availability,edema refined logits,edema refiner T2-present ROI,affects ROI-local logits only when T2-present safety allows,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_edema_refiner_roi_stats.csv,srr_propref=f7f9df91,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,需要 edema-specific recall/HD95 证据。
no_t2_safety,MyoPS,no-T2 edema 安全门,implemented,verified,implemented,src/care_myocardium/models/srr_propref.py,canonical_t2_present,scripts/training/run_srr_propref_myops_fold0.py,no_t2,no_t2_edema_safety,"availability[:,1]",blocked edema logits/decode,loss_no_t2_edema_safety,forces no-T2 edema logits to safe blocked values,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/review.md,srr_propref=f7f9df91,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,安全已实现，但不能替代 T2-present edema 性能。
arbitration_final_output,MyoPS,arbitration 与 final output,partial,verified,implemented,src/care_myocardium/models/srr_propref.py,BranchArbitrationGate,scripts/training/run_srr_propref_myops_fold0.py,BranchArbitrationGate,arbitration_mode,SRR/proposal/refiner/anchor logits,final logits and labels,refiner final label effect,proposal/refiner weights can affect final logits when gates open,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/review.md,srr_propref=f7f9df91,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,M9 SRR-main 未超过 anchor；不能包装成 ready。
losses,MyoPS,loss 与优化目标,implemented,verified,implemented,src/care_myocardium/losses/srr_losses.py,srr_m6_expanded_total_loss,scripts/training/run_srr_propref_myops_fold0.py,srr_m6_expanded_total_loss,loss_weights,logits/features/targets,loss components,SRR losses,training objective accounting,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_loss_weight_wiring_test_report.md,srr_losses=dca8e5e1,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,wiring bug 修复，但机制优化仍不足。
checkpoint_selection,MyoPS,checkpoint 选择,partial,verified,implemented,scripts/evaluation/aggregate_srr_v3_m9_dictionary_fidelity_packet.py,select_metric_checkpoint,scripts/evaluation/aggregate_srr_v3_m9_dictionary_fidelity_packet.py,select_metric_checkpoint,checkpoint_selection,help/harm rows,m9_metric_aligned_checkpoint_selection.csv,none,selects formal candidate checkpoint for diagnostic decision,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_metric_aligned_checkpoint_selection.csv,m9_evidence,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,selection rule 仍需更强 validator。
cine_temporal,Cine,Cine temporal 次线,partial,unverified,implemented,scripts/evaluation/aggregate_srr_v3_m9_dictionary_fidelity_packet.py,REQUIRED_OUTPUT_DIR,scripts/evaluation/aggregate_srr_v3_m9_dictionary_fidelity_packet.py,REQUIRED_OUTPUT_DIR,registration;temporal,Cine frames/local proxy,local proxy metrics,none,local proxy evidence only,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/review.md,m9_evidence,M9 follow-up,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,Cine 必做但不能救 MyoPS；仍无 hosted readiness。
controller_continuity,AgentFlow,controller continuity 与 finalizer,partial,unverified,implemented,prompts/CONTROLLER_TASK_PROTOCOL.md,controller_supervised,prompts/templates/CONTROLLER_TASK_TEMPLATE.md,controller_supervised,continuity_backend,task graph + job accounting,finalizer_state/controller packet,none,"operational completion only, not scientific review",wiki/EXECUTION.md,protocol,agent-flow-v2,NOT_REVIEWED,需要真实 controller runtime evidence 后才能 verified。
mapper_wiki_observability,AgentFlow,mapper/wiki observability,partial,unverified,implemented,.agents/skills/care-mapper/SKILL.md,care-mapper,wiki/README.md,COMPONENTS.csv,architecture_impact;mapper_required,code/evidence/wiki,component table and diagrams,none,planner/reviewer observability,wiki/README.md,protocol,agent-flow-v2,NOT_REVIEWED,mapper final 在 reviewer 前运行；review token 由 post-review reconciliation 更新。
m10_followup_wave2_reconciliation,MyoPS,M10 inherited Wave2 checkpoint/intervention reconciliation,partial,verified,implemented,scripts/evaluation/aggregate_srr_v3_m10_followup_wave2.py,aggregate,scripts/evaluation/aggregate_srr_v3_m10_followup_wave2.py,aggregate,challenge_facing_score;checkpoint_inventory;interventions,inherited M10 Wave2 runtime summaries and checkpoints,all_checkpoint_challenge_metrics.csv;selected_checkpoints.json;D2/D3 intervention CSVs,none,recomputed challenge-facing checkpoint selection and D2/D3 same-checkpoint final-output intervention evidence without route promotion,results/20260714_srr_v3_m10_followup_wave2_reconciliation/executor_completion.md,m10_f1_followup_evidence,M10 follow-up candidate,NOT_REVIEWED,"F1 packet passed its validator and is accepted by controller, but independent M10 runtime review has not run."
cine_followup_fidelity_contracts,Cine,CineMA/registration/temporal fail-closed fidelity contracts,implemented,verified,implemented,src/care_myocardium/cine/followup/contracts.py,RegistrationGateEvidence,src/care_myocardium/tests/test_m10_followup_cine_fidelity.py,RegistrationGateEvidence,srr_v3_m10_followup_cine,"CineMA provenance, registration math, temporal launch contract fields",fail-closed contract validation and freeze receipt,none,"prevents proxy SyN, pair-as-case gate, frame0 fallback, and temporal output without passed registration; it is not runtime success evidence",results/20260714_srr_v3_m10_followup_cine_fidelity/validator_report.md,m10_f2_cine_fidelity,M10 follow-up candidate,NOT_REVIEWED,F2 unit tests passed and freeze receipt exists; formal runtime remained F3-only.
cine_followup_adapter_control,Cine,CineMA adapted model versus capacity-matched random-init control,partial,unverified,implemented,scripts/training/run_cinema_adapter_m10.py,CONTRACT,jobs/src/run_srr_v3_m10_followup_cine_adapter.sh,CONTRACT,cinema_adapter;random_init_control,safe Cine cases and frame schedule,adapter/control summaries and selected source receipt,dice_ce_loss,"adapter/control runtime summaries exist, but strict all-checkpoint aggregation remains summary-only in current packet",results/20260714_srr_v3_m10_followup_cine_runtime/cinema_selected_source.json,m10_f3_cine_adapter_runtime,M10 follow-up candidate,NOT_REVIEWED,"Runtime completed, but finalizer reports summary-only pending strict aggregation; no hosted metric claim."
cine_followup_registration,Cine,learned registration plus gate and SyN control requirement,partial,unverified,implemented,scripts/training/run_cine_registration_m10.py,registration_gate_passed,jobs/src/run_srr_v3_m10_followup_cine_registration.sh,registration_gate_passed,registration_gate;real_syn_control,selected CineMA source summaries and Cine frames,registration summary and registration_gate.json,registration loss contract,"registration gate summary exists, but real_syn_control.csv records missing real SyN evidence in current packet",results/20260714_srr_v3_m10_followup_cine_runtime/registration_gate.json,m10_f3_cine_registration_runtime,M10 follow-up candidate,NOT_REVIEWED,"Registration job completed, but packet remains unverified because strict SyN/control aggregation is incomplete."
cine_followup_temporal_dictionary,Cine,learned temporal dictionary/model after registration gate,partial,missing,implemented,scripts/training/run_cine_temporal_model_m10.py,CineTemporalModel,jobs/src/run_srr_v3_m10_followup_cine_temporal.sh,CineTemporalModel,temporal_dictionary;eight_slots,registration-gated Cine temporal tensors,"temporal summary, case metrics, slot usage, help/harm controls",dice_ce_loss + temporal_load_loss,"missing: replacement temporal job timed out before terminal summary, runtime CSVs, or final checkpoint",results/20260714_srr_v3_m10_followup_cine_runtime/temporal_timeout_analysis.md,m10_f3_cine_temporal_timeout,M10 follow-up candidate,NOT_REVIEWED,Temporal replacement job 58997393 timed out at 08:00:20; checkpoint_best step 6000 < required 20000; zero training credit.
m10_followup_controller_finalizer,AgentFlow,M10 follow-up controller finalizer and packet publication boundary,partial,unverified,implemented,prompts/CONTROLLER_TASK_PROTOCOL.md,FINALIZER_A,results/20260714_srr_v3_m10_continuation_reconciliation/controller_report.md,FINALIZER_A,controller_supervised;slurm_dependency;mapper_required,executor wave packets and Slurm terminal accounting,controller_report.md;review_request.md;finalizer_state.json,none,operational packet only; no scientific route decision before independent review,results/20260714_srr_v3_m10_continuation_reconciliation/finalizer_state.json,m10_controller_packet,M10 follow-up candidate,NOT_REVIEWED,Controller finalizer preserves NEEDS_REVISION_RETURN_TO_CINE_FIDELITY_WAVE and blocks review-ready completion until GPT/reviewer decide next authorization.
batch9_reliable_distill_resenc,MyoPS,direct reliable-label distillation segmentation backbone,implemented,verified,implemented,src/care_myocardium/models/care_mm_reliable_distill.py,CAREMMReliableDistillResEnc,scripts/training/run_care_mm_batch9_reliable_distill.py,ResidualEncoderUNet,batch9_reliable_label_distillation,LGE/T2/C0 plus availability,six_class_logits,care_mm_losses final margins and distillation,direct argmax predictions evaluated on 44 cases; no usable signal vs nnU-Net baseline,results/20260722_care_myops_batch9_reliable_label_distillation/completion_check.md,batch9_model=5db67db7,Batch9 controller packet,NOT_REVIEWED_NOT_REQUIRED,Official ResidualEncoderUNet M-level; center not input; old SRR components zero.
batch9_reliable_loss_authority,MyoPS,reliable partial-label and distillation loss authority,implemented,verified,implemented,src/care_myocardium/losses/care_mm_losses.py,compute_care_mm_loss,scripts/training/run_care_mm_batch9_reliable_distill.py implementation-checks,loss_distill_logits,losses.reliable_distill,final six-class logits; reliable masks; teacher outputs,total_loss and named loss terms,anatomy/scar/edema/final_six/moddrop/distill,all nonzero terms enter total and have gradient evidence,results/20260722_care_myops_batch9_reliable_label_distillation/loss_gradient_matrix.csv,batch9_losses=eb3f106d,Batch9 controller packet,NOT_REVIEWED_NOT_REQUIRED,Scar/edema losses use composed final-logit margins; no logits.mean proxy.
batch9_finalizer_validator,AgentFlow,"terminal aggregation, validator, resource race accounting",implemented,verified,implemented,scripts/evaluation/finalize_care_mm_batch9.py,BATCH9_MAINLINE_NO_USABLE_SIGNAL_RETURN_TO_PLANNER,jobs/care_mm/run_batch9_finalizer.sh,strict_validator_report,terminal_decision,training receipts; predictions; subgroup metrics; Slurm states,controller_report; completion_check; notification_brief,none,operationally complete packet returns no usable scientific signal,results/20260722_care_myops_batch9_reliable_label_distillation/strict_validator_report.json,batch9_finalizer=aaf596c9,Batch9 controller packet,NOT_REVIEWED_NOT_REQUIRED,Resource override and a100 race loser cancellation recorded; no upload/push/fold expansion.
care_arc_single_encoder,MyoPS,single encoder raw-modality reconstruction backbone,implemented,verified,implemented,src/care_myocardium/models/care_arc.py,CAREARCEncoder,scripts/training/run_care_arc_development.py,CAREARCEncoder,CAREARCConfig,LGE/T2/C0 plus availability only,E0/E1/E2/E3 shared features,scar/edema/anatomy/alignment losses via decoders,feeds independent scar and edema-zone direct logits,results/20260729_care_arc_clean_fold1/implementation_validator_report.json,care_arc.py=8e891ff3;care_arc_dataset.py=4f4d3bf3;care_arc_trainer.py=b0017f68;care_arc_predictor.py=e805b311;run_care_arc.py=eb520ea0;run_care_arc_development.py=05c435f2;evaluate_care_arc.py=0e645490;validate_care_arc_packet.py=0a1960c2,care_arc_clean_fold1_w3_stop,OPERATIONALLY_BLOCKED_BY_W3_MECHANISM_GATE,20M-45M parameter contract PASS; no nnU-Net context enters pathology graph; clean fold not consumed
care_arc_pathology_heads,MyoPS,independent scar/edema coarse direct presence burden SDF heads,implemented,verified,implemented,src/care_myocardium/models/care_arc.py,PathologyDecoder,scripts/training/run_care_arc_development.py,PathologyDecoder,CAREARCConfig,CARE-ARC shared features,scar and edema-zone direct logits,scar/edema/anatomy/alignment losses via decoders,feeds independent scar and edema-zone direct logits before W3 gate,results/20260729_care_arc_clean_fold1/implementation_validator_report.json,care_arc.py=8e891ff3,care_arc_clean_fold1_w3_stop,OPERATIONALLY_BLOCKED_BY_W3_MECHANISM_GATE,Historical CARE-ARC component retained for wiki consistency; W3 gate remained CONTOUR_LIMITED
care_arc_w3_mechanism_gate,MyoPS,fold0 zero-credit mechanism gate and stop boundary,partial,verified,implemented,scripts/evaluation/evaluate_care_arc.py,W3_FOLD0_ZERO_CREDIT_DEVELOPMENT,scripts/evaluation/evaluate_care_arc.py,fold0_development_adequacy_gate,thresholds 0.40/0.35 min components 25/50,fold0 outer GT plus CARE-ARC predictions plus nnU-Net anchor predictions,casewise metrics; raw_direct_summary; mechanism_report; alignment freeze receipt,none evaluation only,blocks W4/W5/W6 because raw direct Dice deltas fail W3 minimum gate,results/20260729_care_arc_clean_fold1/fold0_development_adequacy_gate.json,care_arc.py=8e891ff3;care_arc_dataset.py=4f4d3bf3;care_arc_trainer.py=b0017f68;care_arc_predictor.py=e805b311;run_care_arc.py=eb520ea0;run_care_arc_development.py=05c435f2;evaluate_care_arc.py=0e645490;validate_care_arc_packet.py=0a1960c2,care_arc_clean_fold1_w3_stop,OPERATIONALLY_BLOCKED_BY_W3_MECHANISM_GATE,scar delta -0.1805 and edema-zone delta -0.1554 vs nnU-Net; classification CONTOUR_LIMITED; alignment frozen identity due offset saturation rule
care_ase_stock_inheritance,MyoPS,CARE-ASE same-fold stock encoder bottleneck and decoder inheritance,implemented,verified,implemented,src/care_myocardium/models/care_ase.py,CAREASE,scripts/validation/validate_care_ase_implementation.py,CAREASEConfig,care_ase_final_model,LGE/T2/C0 plus availability,final six-class logits,parity and DiceCE losses,stock anatomy plus cloned scar/edema decoder paths enter final logits,results/20260801_care_ase_final_model/stock_clone_and_parity_receipt.json,care_ase.py=95b475e9,20260801_care_ase_final_model,W4.5_IMPLEMENTATION_SNAPSHOT,Step0 parity max error 0.0; normal inference does not read stock class4/class5 logits
care_ase_training_contract,MyoPS,CARE-ASE loss sampler stage and exact resume training,implemented,verified,implemented,src/care_myocardium/training/care_ase_trainer.py,train_care_ase_steps,scripts/training/care_ase/run_care_ase_train.py,global_optimizer_step,stage_A_B_C;gradient_accumulation;no_t2_safety,actual-train complete cases only,checkpoint_step14000.pt and receipts,DiceCE plus component losses with no-T2 edema masking,produces fixed step14000 checkpoint without inner selection,results/20260801_care_ase_final_model/runtime/fold_2/training_terminal_receipt.json,care_ase_trainer.py=a01dad2e;care_ase_splits.py=81303a9d,20260801_care_ase_final_model,W4_FREEZE_RELOAD_PASS,fold2 and fold3 reached 14000 optimizer steps with microbatch cursor 0
care_ase_outer_evaluator,MyoPS,CARE-ASE one-time outer sliding-window evaluator,implemented,verified,implemented,scripts/evaluation/care_ase/evaluate_care_ase_outer.py,sliding_window_final_logits,scripts/evaluation/care_ase/evaluate_care_ase_outer.py,tiled_sliding_window_average_logits,patch_size=20x256x256;overlap=0.5,frozen step14000 checkpoint and outer cases,casewise_metrics.csv and pred_voxels.csv,none,full-volume averaged logits feed fixed argmax decode for scar and edema metrics,results/20260801_care_ase_final_model/outer_eval/fold_2/evaluation_receipt.json,evaluate_care_ase_outer.py=2fa78e34,20260801_care_ase_final_model,W5_OUTER_PASS,fold2 and fold3 each evaluated 44 outer cases once
care_ase_module_intervention,MyoPS,CARE-ASE module-off final-output intervention audit,implemented,verified,implemented,scripts/evaluation/care_ase/aggregate_care_ase_final.py,intervention_rows,scripts/evaluation/care_ase/aggregate_care_ase_final.py,module_intervention_outer,scar/edema evidence disable flags,selected outer sentinel and hard cases,module_intervention_outer.csv and hard_case_atlas.md,none,module-off uses same sliding-window logits and fixed decode to measure final-label changes,results/20260801_care_ase_final_model/module_intervention_outer.csv,aggregate_care_ase_final.py=0ddbb5a9,20260801_care_ase_final_model,W5_AGGREGATION_PASS,All declared intervention groups changed final output on at least one selected case
