job_id,stage,partition,state,exit_code,elapsed,node,log_path,runtime_output_path,optimizer_steps,formal_training_credit,submission_command,aggregation_command,aggregation_exit_code,notes
59740665,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:37,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59740665_20260721_043809.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59740828,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:33,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59740828_20260721_044211.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59740894,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:28,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59740894_20260721_044408.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59741036,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:34,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59741036_20260721_044754.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59741105,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:30,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59741105_20260721_044955.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59741427,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:30,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59741427_20260721_045156.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59741970,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:27,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59741970_20260721_050710.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59742108,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:30,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59742108_20260721_051010.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59742233,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:28,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59742233_20260721_051401.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59742369,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:26,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59742369_20260721_051717.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59742501,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:29,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59742501_20260721_052056.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59742717,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:31,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59742717_20260721_052603.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59743028,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:28,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59743028_20260721_053248.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59743127,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:31,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59743127_20260721_053545.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59743209,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:31,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59743209_20260721_053832.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59743323,fixed_batch_overfit,htzhulab,COMPLETED,0:0,00:00:27,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59743323_20260721_054154.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,0,fixed-overfit gate PASS after directionality/anchor-error loss repair; formal credit remains 0
59743935,formal_300,htzhulab,FAILED,1:0,00:00:51,g1807htzh01,logs/srr_batch6/B6Formal300_59743935_20260721_055925.log,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59743935,0,0,sbatch jobs/srr_production/run_myops_batch6_formal300_htzhulab.sh,scripts/evaluation/aggregate_srr_batch6_formal.py --stage 300 --attempt-label batch6_formal300_htzhulab_59744053 --job-id 59744053,not_run_failed_attempt,startup failed before optimizer credit: JSON loss-weight string was interpreted as filesystem path; fixed by JSON-string guard and retried same scope
59744053,formal_300,htzhulab,COMPLETED,0:0,00:09:06,g1807htzh01,logs/srr_batch6/B6Formal300_59744053_20260721_060207.log,results/20260721_srr_batch6_final_objective_alignment/runtime/attempts/batch6_formal300_htzhulab_59744053,300,300,sbatch jobs/srr_production/run_myops_batch6_formal300_htzhulab.sh,scripts/evaluation/aggregate_srr_batch6_formal.py --stage 300 --attempt-label batch6_formal300_htzhulab_59744053 --job-id 59744053,0,formal 300 completed; 44-case eval at steps 100/200/300; continuation gate failed mean delta so 900 skipped
