case_id,eval_unique_labels,gt_size_xyz,gt_spacing_xyz,label_space,model_id,prediction_path,raw_geometry_status,raw_size_xyz,raw_spacing_xyz,raw_unique_labels,standardized_geometry_status,status
Case2002,"[0, 1, 2, 3, 4, 5]","[264, 251, 6]","[1.328125, 1.328125, 10.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2002.nii.gz,PASS,"[264, 251, 6]","[1.328125, 1.328125, 10.0]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case2007,"[0, 1, 2, 3, 4, 5]","[160, 166, 6]","[1.7708333730697632, 1.7708333730697632, 10.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2007.nii.gz,PASS,"[160, 166, 6]","[1.7708333730697632, 1.7708333730697632, 10.0]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case2008,"[0, 1, 2, 3, 4, 5]","[225, 257, 5]","[1.328125, 1.328125, 10.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2008.nii.gz,PASS,"[225, 257, 5]","[1.328125, 1.328125, 10.0]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case2017,"[0, 1, 2, 3, 4, 5]","[248, 257, 5]","[1.7708333730697632, 1.7708333730697632, 10.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2017.nii.gz,PASS,"[248, 257, 5]","[1.7708333730697632, 1.7708333730697632, 10.0]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case2020,"[0, 1, 2, 3, 4, 5]","[160, 160, 6]","[1.7708333730697632, 1.7708333730697632, 10.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2020.nii.gz,PASS,"[160, 160, 6]","[1.7708333730697632, 1.7708333730697632, 10.0]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case2031,"[0, 1, 2, 3, 4, 5]","[247, 255, 3]","[1.7708333730697632, 1.7708333730697632, 10.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2031.nii.gz,PASS,"[247, 255, 3]","[1.7708333730697632, 1.7708333730697632, 10.0]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case2033,"[0, 1, 2, 3, 4, 5]","[225, 247, 7]","[1.328125, 1.328125, 10.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2033.nii.gz,PASS,"[225, 247, 7]","[1.328125, 1.328125, 10.0]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case3004,"[0, 1, 2, 3, 4, 5]","[481, 478, 6]","[0.7290666699409485, 0.7290666699409485, 12.000001907348633]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3004.nii.gz,PASS,"[481, 478, 6]","[0.7290666699409485, 0.7290666699409485, 12.000001907348633]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case3011,"[0, 1, 2, 3, 4, 5]","[489, 498, 2]","[0.7290666699409485, 0.7290666699409485, 23.000001907348633]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3011.nii.gz,PASS,"[489, 498, 2]","[0.7290666699409485, 0.7290666699409485, 23.000001907348633]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case3012,"[0, 1, 2, 3, 4, 5]","[477, 477, 5]","[0.7290666699409485, 0.7290666699409485, 13.999999046325684]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3012.nii.gz,PASS,"[477, 477, 5]","[0.7290666699409485, 0.7290666699409485, 13.999999046325684]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case3023,"[0, 1, 2, 3, 4, 5]","[481, 479, 3]","[0.7291666865348816, 0.7291666865348816, 23.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3023.nii.gz,PASS,"[481, 479, 3]","[0.7291666865348816, 0.7291666865348816, 23.0]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case3026,"[0, 1, 2, 3, 4, 5]","[474, 471, 5]","[0.7290666699409485, 0.7290666699409485, 14.00000286102295]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3026.nii.gz,PASS,"[474, 471, 5]","[0.7290666699409485, 0.7290666699409485, 14.00000286102295]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case3034,"[0, 1, 2, 3, 4, 5]","[462, 458, 4]","[0.7290666699409485, 0.7290666699409485, 23.000001907348633]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3034.nii.gz,PASS,"[462, 458, 4]","[0.7290666699409485, 0.7290666699409485, 23.000001907348633]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case3038,"[0, 1, 2, 3, 4, 5]","[506, 508, 3]","[0.7421875, 0.7421875, 13.999996185302734]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3038.nii.gz,PASS,"[506, 508, 3]","[0.7421875, 0.7421875, 13.999996185302734]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case3040,"[0, 1, 2, 3, 4, 5]","[498, 495, 3]","[0.7290666699409485, 0.7290666699409485, 22.999998092651367]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3040.nii.gz,PASS,"[498, 495, 3]","[0.7290666699409485, 0.7290666699409485, 22.999998092651367]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case3044,"[0, 1, 2, 3, 4, 5]","[501, 499, 3]","[0.7290666699409485, 0.7290666699409485, 23.000001907348633]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3044.nii.gz,PASS,"[501, 499, 3]","[0.7290666699409485, 0.7290666699409485, 23.000001907348633]","[0, 1, 2, 3, 4, 5]",PASS,PASS
Case5005,"[0, 1, 2, 3, 5]","[256, 256, 6]","[1.3671875, 1.3671875, 10.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case5005.nii.gz,PASS,"[256, 256, 6]","[1.3671875, 1.3671875, 10.0]","[0, 1, 2, 3, 5]",PASS,PASS
Case6001,"[0, 1, 2, 3, 5]","[288, 288, 8]","[1.25, 1.25, 10.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case6001.nii.gz,PASS,"[288, 288, 8]","[1.25, 1.25, 10.0]","[0, 1, 2, 3, 5]",PASS,PASS
Case6010,"[0, 1, 2, 3, 5]","[288, 288, 7]","[1.25, 1.25, 10.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case6010.nii.gz,PASS,"[288, 288, 7]","[1.25, 1.25, 10.0]","[0, 1, 2, 3, 5]",PASS,PASS
Case7005,"[0, 1, 2, 3, 5]","[200, 256, 6]","[1.40625, 1.40625, 8.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case7005.nii.gz,PASS,"[200, 256, 6]","[1.40625, 1.40625, 8.0]","[0, 1, 2, 3, 5]",PASS,PASS
Case8003,"[0, 5]","[192, 256, 8]","[1.3671875, 1.3671875, 11.250004768371582]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8003.nii.gz,PASS,"[192, 256, 8]","[1.3671875, 1.3671875, 11.250004768371582]","[0, 5]",PASS,PASS
Case8011,"[0, 5]","[192, 256, 8]","[1.484375, 1.484375, 11.249999046325684]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8011.nii.gz,PASS,"[192, 256, 8]","[1.484375, 1.484375, 11.249999046325684]","[0, 5]",PASS,PASS
Case8015,"[0, 5]","[206, 256, 8]","[1.3671875, 1.3671875, 10.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8015.nii.gz,PASS,"[206, 256, 8]","[1.3671875, 1.3671875, 10.0]","[0, 5]",PASS,PASS
Case8019,"[0, 5]","[192, 256, 8]","[1.484375, 1.484375, 11.25]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8019.nii.gz,PASS,"[192, 256, 8]","[1.484375, 1.484375, 11.25]","[0, 5]",PASS,PASS
Case8021,[0],"[192, 256, 8]","[1.484375, 1.484375, 11.699999809265137]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8021.nii.gz,PASS,"[192, 256, 8]","[1.484375, 1.484375, 11.699999809265137]",[0],PASS,PASS
Case8022,"[0, 5]","[192, 256, 8]","[1.3671875, 1.3671875, 9.999998092651367]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8022.nii.gz,PASS,"[192, 256, 8]","[1.3671875, 1.3671875, 9.999998092651367]","[0, 5]",PASS,PASS
Case8023,"[0, 5]","[192, 256, 8]","[1.484375, 1.484375, 11.699999809265137]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8023.nii.gz,PASS,"[192, 256, 8]","[1.484375, 1.484375, 11.699999809265137]","[0, 5]",PASS,PASS
Case1002,"[0, 4, 5, 200, 500, 600]","[256, 256, 9]","[1.3672000169754028, 1.3672000169754028, 10.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1002.nii.gz,PASS,"[256, 256, 9]","[1.3672000169754028, 1.3672000169754028, 10.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1007,"[0, 4, 5, 200, 500, 600]","[256, 256, 24]","[1.3672000169754028, 1.3672000169754028, 4.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1007.nii.gz,PASS,"[256, 256, 24]","[1.3672000169754028, 1.3672000169754028, 4.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1009,"[0, 4, 5, 200, 500, 600]","[256, 256, 16]","[1.3672000169754028, 1.3672000169754028, 5.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1009.nii.gz,PASS,"[256, 256, 16]","[1.3672000169754028, 1.3672000169754028, 5.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1010,"[0, 4, 5, 200, 500, 600]","[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1010.nii.gz,PASS,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1021,"[0, 4, 5, 200, 500, 600]","[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1021.nii.gz,PASS,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1023,"[0, 4, 5, 200, 500, 600]","[256, 256, 21]","[1.6405999660491943, 1.6405999660491943, 5.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1023.nii.gz,PASS,"[256, 256, 21]","[1.6405999660491943, 1.6405999660491943, 5.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1029,"[0, 4, 5, 200, 500, 600]","[256, 256, 19]","[1.3280999660491943, 1.3280999660491943, 5.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1029.nii.gz,PASS,"[256, 256, 19]","[1.3280999660491943, 1.3280999660491943, 5.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1033,"[0, 4, 5, 200, 500, 600]","[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1033.nii.gz,PASS,"[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1040,"[0, 4, 5, 200, 500, 600]","[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 8.5]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1040.nii.gz,PASS,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 8.5]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1042,"[0, 4, 5, 200, 500, 600]","[256, 256, 7]","[1.3672000169754028, 1.3672000169754028, 16.5]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1042.nii.gz,PASS,"[256, 256, 7]","[1.3672000169754028, 1.3672000169754028, 16.5]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1045,"[0, 4, 5, 200, 500, 600]","[256, 256, 9]","[1.4844000339508057, 1.4844000339508057, 12.5]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1045.nii.gz,PASS,"[256, 256, 9]","[1.4844000339508057, 1.4844000339508057, 12.5]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1047,"[0, 4, 5, 200, 500, 600]","[256, 256, 24]","[1.4452999830245972, 1.4452999830245972, 5.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1047.nii.gz,PASS,"[256, 256, 24]","[1.4452999830245972, 1.4452999830245972, 5.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1053,"[0, 4, 5, 200, 500, 600]","[256, 256, 9]","[1.5625, 1.5625, 13.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1053.nii.gz,PASS,"[256, 256, 9]","[1.5625, 1.5625, 13.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1062,"[0, 4, 5, 200, 500, 600]","[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1062.nii.gz,PASS,"[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1070,"[0, 4, 5, 200, 500, 600]","[256, 256, 20]","[1.25, 1.25, 4.5]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1070.nii.gz,PASS,"[256, 256, 20]","[1.25, 1.25, 4.5]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1073,"[0, 4, 5, 200, 500, 600]","[256, 256, 10]","[1.3672000169754028, 1.3672000169754028, 10.5]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1073.nii.gz,PASS,"[256, 256, 10]","[1.3672000169754028, 1.3672000169754028, 10.5]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case1080,"[0, 4, 5, 200, 500, 600]","[256, 256, 9]","[1.4844000339508057, 1.4844000339508057, 11.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case1080.nii.gz,PASS,"[256, 256, 9]","[1.4844000339508057, 1.4844000339508057, 11.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case2002,"[0, 4, 5, 200, 500, 600]","[264, 251, 6]","[1.328125, 1.328125, 10.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case2002.nii.gz,PASS,"[264, 251, 6]","[1.328125, 1.328125, 10.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case2007,"[0, 4, 5, 200, 500, 600]","[160, 166, 6]","[1.7708333730697632, 1.7708333730697632, 10.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case2007.nii.gz,PASS,"[160, 166, 6]","[1.7708333730697632, 1.7708333730697632, 10.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case2008,"[0, 4, 5, 200, 500, 600]","[225, 257, 5]","[1.328125, 1.328125, 10.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case2008.nii.gz,PASS,"[225, 257, 5]","[1.328125, 1.328125, 10.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case2017,"[0, 4, 5, 200, 500, 600]","[248, 257, 5]","[1.7708333730697632, 1.7708333730697632, 10.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case2017.nii.gz,PASS,"[248, 257, 5]","[1.7708333730697632, 1.7708333730697632, 10.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case2020,"[0, 4, 5, 200, 500, 600]","[160, 160, 6]","[1.7708333730697632, 1.7708333730697632, 10.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case2020.nii.gz,PASS,"[160, 160, 6]","[1.7708333730697632, 1.7708333730697632, 10.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case2031,"[0, 4, 5, 200, 500, 600]","[247, 255, 3]","[1.7708333730697632, 1.7708333730697632, 10.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case2031.nii.gz,PASS,"[247, 255, 3]","[1.7708333730697632, 1.7708333730697632, 10.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
Case2033,"[0, 4, 5, 200, 500, 600]","[225, 247, 7]","[1.328125, 1.328125, 10.0]",compact,clean_current_bug,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_current_bug/compact/Case2033.nii.gz,PASS,"[225, 247, 7]","[1.328125, 1.328125, 10.0]","[0, 4, 5, 200, 500, 600]",PASS,PASS
