case_id,shape_dhw,spacing_zyx,any_gt_voxels,myocardium_voxels,edema_zone_voxels,pure_edema_voxels,scar_voxels,gt_bbox_zyx_min,gt_bbox_zyx_max,label_path,label_sha256
Case1014,"[9, 256, 256]","[11.5, 1.3672000169754028, 1.3672000169754028]",14872,4477,414,0,414,"[0, 95, 93]","[7, 155, 148]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1014.nii.gz,821dbcbfb19e075208845c7b028e4cb287a7bf9f4a0f1ea0710627daf65b0aff
Case1015,"[9, 256, 256]","[15.0, 1.3672000169754028, 1.3672000169754028]",11355,3199,977,0,977,"[0, 100, 102]","[6, 158, 160]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1015.nii.gz,965e3f0320db5689faa4bcc1cf4871cf84629a321efc848638d8a19c3acc01de
Case1016,"[24, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",32267,5115,5548,0,5548,"[0, 100, 100]","[18, 154, 153]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1016.nii.gz,1c6d9c39450b1e304e5dbed1b33b50ba1e456508717ac14ec69f54dddbeee6e7
Case1017,"[9, 256, 256]","[10.5, 1.3672000169754028, 1.3672000169754028]",16750,4534,1192,0,1192,"[0, 99, 99]","[7, 159, 162]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1017.nii.gz,fafd27b8c2db1034d375cd134da50e99310a84c8a7f8a208e361b1c4bc3a7839
Case1018,"[9, 256, 256]","[10.5, 1.3672000169754028, 1.3672000169754028]",20697,2918,1783,0,1783,"[1, 112, 100]","[8, 182, 164]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1018.nii.gz,b2c618df12dde9c7f2089f8d52721a9ede4c3166f6ccc248ea31bbf96f477f86
Case1019,"[9, 256, 256]","[10.5, 1.4844000339508057, 1.4844000339508057]",15578,5388,234,0,234,"[0, 98, 101]","[8, 154, 157]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1019.nii.gz,1abf648c97e892e1b74760355e524074be882056b10ee99c63a6390f7d1e1d4e
Case1020,"[16, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",37503,5336,4828,0,4828,"[0, 93, 99]","[15, 153, 163]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1020.nii.gz,6fc7fa7ffd68fcd0cb65c883408a3ff264b2f0dfb6d00949741e43fbd8fca66f
Case1021,"[12, 256, 256]","[9.0, 1.3672000169754028, 1.3672000169754028]",20679,5846,1766,0,1766,"[0, 99, 99]","[10, 150, 162]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1021.nii.gz,c33194be21fc1d90993ea4cc7c066754303d07df0b311c25a108271b731decfd
Case1022,"[20, 256, 256]","[5.0, 1.2891000509262085, 1.2891000509262085]",40659,10813,886,0,886,"[0, 93, 92]","[16, 156, 158]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1022.nii.gz,d719c01d8971852eab63926f8deb50d7c2ef916bbff698f61470c87da9c608b1
Case1023,"[21, 256, 256]","[5.0, 1.6405999660491943, 1.6405999660491943]",41802,11303,2380,0,2380,"[0, 88, 107]","[20, 148, 164]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1023.nii.gz,57fea09c084220f227f6d00bba46ca48db5b8af8db503da401fb79309e8706e0
Case1024,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",34914,6393,5106,0,5106,"[0, 92, 102]","[19, 149, 157]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1024.nii.gz,b873d4a0c1f6c993af79df24cd607ea6aaa4f3cd2d1dbb3b106a38b3d8bae525
Case1025,"[24, 256, 256]","[4.5, 1.4062999486923218, 1.4062999486923218]",35303,12251,3371,0,3371,"[0, 96, 101]","[19, 151, 158]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1025.nii.gz,46bfefd3258e6deb0b554b97591c07652804c927883652b804603bf2820c2cca
Case1026,"[24, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",78275,22874,3889,0,3889,"[0, 84, 101]","[22, 162, 180]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1026.nii.gz,b9c105cb319bc12b2ccc08f0deddc20079a2b6d2bd9d7e46347851af61198ddc
Case1027,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",32619,10428,5648,0,5648,"[0, 92, 103]","[15, 151, 162]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1027.nii.gz,ed394e44710f747efe23f3c457093cf5e10c696592cf7004938daca1e0583c27
Case1028,"[21, 256, 256]","[5.0, 1.4844000339508057, 1.4844000339508057]",44382,11642,3676,0,3676,"[0, 109, 106]","[19, 168, 164]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1028.nii.gz,43413e4b87b1fb201629f387e131100c3e27aeb8eb96de42154c56f9a1061054
Case1029,"[19, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",40842,12379,585,0,585,"[0, 79, 80]","[16, 140, 144]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1029.nii.gz,7905717fe0b9fa12d81da6ab84da65da3118930270ad3ea376c7e9984831c5c8
Case1030,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",47794,17013,3685,0,3685,"[1, 99, 101]","[19, 165, 165]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1030.nii.gz,68a447f2d7b54ac42bc42780b97b97b573641ce60a9a56333a285120d64273e1
Case1031,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",44589,14878,4971,0,4971,"[1, 86, 98]","[19, 150, 165]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1031.nii.gz,8825c8acfb9597c791f3856d3b673221fa44dc638b550b17dd3e15d145e3cf3b
Case1032,"[15, 256, 256]","[6.0, 0.78125, 0.78125]",63377,18986,10409,0,10409,"[0, 83, 81]","[13, 170, 171]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1032.nii.gz,d9db6f54bcd5f03f0218037bcb61c3f5eeb2c9b6fdb9483988825fbf6f5db12d
Case1033,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",37399,5904,4081,0,4081,"[0, 92, 103]","[18, 156, 158]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1033.nii.gz,a6b9f9431d992364272857a577fba13627077acdf19577aa380c4e861d5cd0fb
Case1034,"[20, 256, 256]","[5.0, 1.4062999486923218, 1.4062999486923218]",51336,7651,4957,0,4957,"[0, 78, 97]","[19, 146, 159]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1034.nii.gz,5303d4f29bb5374f668aca74f44cab552f4c9ad964ae9a7181b58cc71822cb94
Case1035,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",56142,9487,8116,0,8116,"[0, 84, 101]","[18, 159, 172]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1035.nii.gz,aa72429d94998ea565c2bcdcb9e615dc6fe00834c0dc6ed2eefa26c1d6dbc3bf
Case1036,"[20, 256, 256]","[5.0, 1.4062999486923218, 1.4062999486923218]",36921,11535,3292,0,3292,"[0, 98, 101]","[17, 162, 163]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1036.nii.gz,60af94377d78ffe94330874c7d6485af74343c09c024abbd51d500df6ab5bb50
Case1037,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",60215,14934,2590,0,2590,"[0, 83, 88]","[19, 156, 160]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1037.nii.gz,dce528151a1b0914143f54d250bc4bb8e0dbdf41f3a29470b0e60aeec1a9521a
Case1038,"[20, 256, 256]","[5.0, 1.6405999660491943, 1.6405999660491943]",37258,12467,1160,0,1160,"[0, 94, 93]","[18, 150, 150]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1038.nii.gz,b7a46185eaab744085ce52a241d853ea5d29f1b9277a49ddf319abd70c8c303d
Case1039,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",37160,14325,4163,0,4163,"[0, 101, 100]","[19, 163, 157]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1039.nii.gz,da315972401f24201c2663e7163dccd6887004c73d4e013f6a07fcc4f66a3503
Case1040,"[12, 256, 256]","[8.5, 1.3672000169754028, 1.3672000169754028]",24253,4411,2164,0,2164,"[0, 93, 85]","[11, 157, 142]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1040.nii.gz,c9e1baf9c0cd73240c4fa2106cc9ace9123fd655151c7559be0f0572e10b178d
Case1041,"[12, 256, 256]","[12.5, 1.3672000169754028, 1.3672000169754028]",26115,6487,749,0,749,"[1, 89, 95]","[9, 162, 169]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1041.nii.gz,3b594e1c07a82c3c26eef48fc925b84a0e638e87e5a064be51335c437c47f8ba
Case1042,"[7, 256, 256]","[16.5, 1.3672000169754028, 1.3672000169754028]",11385,3903,906,0,906,"[0, 87, 120]","[5, 144, 180]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1042.nii.gz,959e1d2b43e888f5d871b8bc4240ccfc02b778195cdc5133d795ba883b1080c7
Case1043,"[6, 256, 256]","[13.5, 1.6016000509262085, 1.6016000509262085]",15813,4649,1350,0,1350,"[0, 88, 99]","[5, 154, 165]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1043.nii.gz,e3da320837ba3c3e8db56ee8214fa1a26c1a0d4669e192fdcfec697bc05d250c
Case1044,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",61882,21865,4919,0,4919,"[0, 76, 100]","[19, 151, 176]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1044.nii.gz,e91e3c71512e52911c5ffb20625f06b310e5d98eed4c61302757997e64aee916
Case1045,"[9, 256, 256]","[12.5, 1.4844000339508057, 1.4844000339508057]",25588,6020,1488,0,1488,"[0, 84, 91]","[8, 153, 161]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1045.nii.gz,3e2c165205f6e2b4b4a4e6bc5d6c48d6b68c03f2ac2712604b9eaaadd0305b31
Case1046,"[8, 256, 256]","[10.5, 1.4844000339508057, 1.4844000339508057]",20076,5859,1036,0,1036,"[0, 89, 96]","[7, 152, 164]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1046.nii.gz,aa7317c7c27ee1f66989cbd1ad7a3e78267ea0fd9398da5f8972eabf85798a88
Case1047,"[24, 256, 256]","[5.0, 1.4452999830245972, 1.4452999830245972]",40735,12696,6704,0,6704,"[1, 97, 98]","[21, 155, 159]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1047.nii.gz,3f40f7ae20112c9c9b0ae3a25d0d469de71bcb3591d49254285aa7e47600c4a9
Case1048,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",33970,10418,4490,0,4490,"[1, 106, 80]","[19, 162, 146]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1048.nii.gz,e5d060226809de21220a6ac5bcc75d2666ce0779c7aca5ba948c5654386f732c
Case1049,"[20, 256, 256]","[5.0, 1.4062999486923218, 1.4062999486923218]",30080,10026,2306,0,2306,"[1, 97, 110]","[18, 155, 165]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1049.nii.gz,17255969108e4225cf3ee710d3294fc5236d1c486f2e8e8941b4a7c071d5d9c6
Case1050,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",35402,7626,6162,0,6162,"[1, 99, 93]","[18, 158, 154]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1050.nii.gz,a9bbf135fabcf2d1b559f0cf530103cf7767a1073ad816946cdb0f1770e0d962
Case1051,"[24, 256, 256]","[5.0, 1.4062999486923218, 1.4062999486923218]",45800,15219,3750,0,3750,"[0, 99, 102]","[22, 158, 165]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1051.nii.gz,0427dee5e2e3a13090a35c1ca4d3eae28c7f02c8add7b940cd312a966608cac8
Case1052,"[9, 256, 256]","[10.5, 1.3672000169754028, 1.3672000169754028]",25433,7720,1031,0,1031,"[0, 85, 109]","[8, 155, 179]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1052.nii.gz,b65d868a450ee2034b71271c2ccef14f72176e9638519b097273c1791525aeee
Case1053,"[9, 256, 256]","[13.0, 1.5625, 1.5625]",21720,4928,1051,0,1051,"[0, 84, 95]","[8, 145, 162]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1053.nii.gz,75bcf256b3338664db1b764de92d6244da55c6c4db975881df8e6b21c12b6b37
Case1054,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",28320,8906,2001,0,2001,"[0, 93, 113]","[16, 148, 173]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1054.nii.gz,7700f4ffad3dff541c2e05a27f3641ecb0cf14b8ffe5ca7d0a240878b9461263
Case1055,"[15, 256, 256]","[8.5, 1.3672000169754028, 1.3672000169754028]",31185,5813,2939,0,2939,"[1, 96, 66]","[13, 162, 139]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1055.nii.gz,a956594657951c21f8a3c156eb0d7b9f9a056d459741a6d6ece420aeee2501cd
Case1056,"[31, 256, 256]","[4.0, 1.3672000169754028, 1.3672000169754028]",58363,11961,5053,0,5053,"[0, 92, 101]","[23, 155, 166]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1056.nii.gz,9836fb9a0408ffdc963110c08f13a0e8da40f0cb6bda05295bb9a23b9dc17322
Case1057,"[9, 256, 256]","[10.5, 1.3672000169754028, 1.3672000169754028]",20315,6150,1294,0,1294,"[0, 97, 98]","[7, 162, 164]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1057.nii.gz,737f18b5dd0b7462cb92762be54948d4d4648246e79a297fa8bc9eda754f5bd8
Case1058,"[20, 256, 256]","[5.0, 1.3672000169754028, 1.3672000169754028]",30951,5197,4819,0,4819,"[0, 62, 80]","[17, 116, 131]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1058.nii.gz,7d50303c5ea6f7f401c8ca29b96b940f2f098c6073716326c4a208a2165d2754
Case1059,"[10, 256, 256]","[10.5, 1.3672000169754028, 1.3672000169754028]",19994,5837,1209,0,1209,"[0, 99, 105]","[8, 165, 169]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1059.nii.gz,02c6c673d86c96d6b81df22d1baf07013416c886a78a7d47ba5aa820e6ced10e
Case1060,"[20, 256, 256]","[5.0, 1.25, 1.25]",53166,16774,1995,0,1995,"[0, 89, 101]","[18, 159, 172]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1060.nii.gz,3009023eaf4c97466b24537fd64d6d72ff81a3de037b96b35537bafa8480588a
Case1061,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",44081,10083,4020,0,4020,"[0, 94, 110]","[19, 157, 172]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1061.nii.gz,927e2a3ca2ec5df30228c33740ad43f2780ef0e79b64aa203e83754f70351168
Case1062,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",52511,6309,4726,0,4726,"[0, 91, 97]","[16, 159, 164]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1062.nii.gz,cad12c70ce5a85879352a4efa377bfd27341aa28f311f6ab0cde6d99f69afa21
Case1063,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",46346,7573,7036,0,7036,"[0, 93, 104]","[17, 159, 164]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1063.nii.gz,1ea7e605e49642272b6b3d2f0debe817068fdff6a549d79e471656c7d9c510a5
Case1064,"[28, 256, 256]","[5.0, 1.4452999830245972, 1.4452999830245972]",34498,8561,5375,0,5375,"[0, 99, 103]","[18, 155, 163]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1064.nii.gz,96437229e540c47cdc199fcecad01165bc6dd394d0aff8394e3dfde9b5094443
Case1065,"[8, 256, 256]","[10.5, 1.4844000339508057, 1.4844000339508057]",14096,3613,1504,0,1504,"[0, 101, 100]","[6, 159, 160]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1065.nii.gz,37989a3bbbc4ac42ca73016f3e81781b99d7394ee41d657c4265afe0bff5b4c5
Case1066,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",46555,9354,7133,0,7133,"[0, 92, 94]","[19, 158, 158]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1066.nii.gz,f25622dcf836005fdb6076e6e215d4b782a6c0013dce1360dee67e0eed3c2325
Case1067,"[16, 256, 256]","[5.0, 1.3672000169754028, 1.3672000169754028]",41403,13062,3550,0,3550,"[0, 95, 110]","[15, 161, 171]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1067.nii.gz,a2434a0a194c3d9d7665564687dab455156ebab8f5d75cc68bb92746cfc2d7a1
Case1068,"[24, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",75530,18814,5865,0,5865,"[1, 85, 90]","[22, 164, 168]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1068.nii.gz,28eb9b974b64b87bbc223ea5be06795a1ba23086d765795831a862f1cdba7605
Case1069,"[20, 256, 256]","[5.0, 1.3280999660491943, 1.3280999660491943]",37293,7142,5315,0,5315,"[0, 102, 98]","[17, 162, 154]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1069.nii.gz,fb872595594fd699ab0004d6b42237291d71be83f38fa18558c40427be364e4f
Case1070,"[20, 256, 256]","[4.5, 1.25, 1.25]",42899,9341,2507,0,2507,"[0, 99, 104]","[19, 158, 164]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1070.nii.gz,3368ffc220b63fdf4302f496cf8400998266167751bc6503fe30bcbac9a06343
Case1071,"[20, 256, 256]","[5.0, 1.25, 1.25]",41448,10465,3163,0,3163,"[0, 103, 105]","[19, 158, 168]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1071.nii.gz,6abb5001949215d146db955b73a0cffd934189abe497920e762dcf2f48a75234
Case1072,"[9, 256, 256]","[11.5, 1.3672000169754028, 1.3672000169754028]",17980,4087,2097,0,2097,"[0, 98, 92]","[8, 163, 153]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1072.nii.gz,b6c86f2f28dde68552e2bcfb48e03840dbf554f98fcefdf3e21908c16b76c158
Case1073,"[10, 256, 256]","[10.5, 1.3672000169754028, 1.3672000169754028]",14574,3001,2199,0,2199,"[0, 106, 100]","[8, 163, 157]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1073.nii.gz,a441cecdc72ad4887abed1435bdd41dc9b604a5b9e32b590170d49e10ea8c978
Case1074,"[9, 256, 256]","[10.5, 1.3672000169754028, 1.3672000169754028]",21854,7091,1885,0,1885,"[0, 97, 88]","[8, 164, 153]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1074.nii.gz,e43154ec8ea944fdc644d9bc434097c763aea4db4e4c25416230439ad097f336
Case1075,"[32, 256, 256]","[4.0, 1.4452999830245972, 1.4452999830245972]",51041,19463,3598,0,3598,"[0, 103, 113]","[24, 171, 167]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1075.nii.gz,91d1a0c9b467827cfe2a5217fe38cefbf34a94ba31a8af13e0f5d79ba9d6b3e8
Case1076,"[28, 256, 256]","[3.0, 1.6016000509262085, 1.6016000509262085]",35349,11146,4578,0,4578,"[0, 103, 116]","[27, 157, 164]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1076.nii.gz,8ab7f09973e58a1cbf9bd039c82ef8fade1b230c5ba4d238301240e7f5a8c568
Case1077,"[28, 256, 256]","[4.0, 1.3672000169754028, 1.3672000169754028]",39145,14775,2842,0,2842,"[4, 94, 95]","[23, 152, 152]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1077.nii.gz,99def80227f03b7914f6ac7d627882fe3cc90e3efa074d9d60dbfd084d340490
Case1078,"[28, 256, 256]","[4.0, 1.4452999830245972, 1.4452999830245972]",51404,22320,1408,0,1408,"[1, 91, 83]","[24, 151, 143]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1078.nii.gz,b4c57dd416642792a8f08edf03108bdd46e549d56efbcaec7df5ea86e5cddeba
Case1079,"[36, 256, 256]","[3.0, 1.3672000169754028, 1.3672000169754028]",73317,24076,3103,0,3103,"[1, 74, 100]","[32, 138, 165]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1079.nii.gz,8483f2b9ac72897c935ab9b97c040dce6374074448e55478ce87bf7cdb0e6201
Case1080,"[9, 256, 256]","[11.0, 1.4844000339508057, 1.4844000339508057]",11175,2803,1384,0,1384,"[0, 97, 110]","[6, 154, 161]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1080.nii.gz,52d67c25df6b440e7841a801f83dd23e00d3e8a16a184f6492a3f3841a2e6637
Case1081,"[5, 256, 256]","[16.0, 1.3672000169754028, 1.3672000169754028]",14460,4798,848,0,848,"[0, 90, 90]","[4, 165, 157]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1081.nii.gz,4609628328ef5bc9f81a1b57ac68567659e78e4d2f8f2e9e060d91af4839b10a
Case2001,"[6, 256, 258]","[10.0, 1.328125, 1.328125]",17546,3048,3555,2410,1145,"[0, 94, 91]","[5, 166, 163]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2001.nii.gz,10fa775ffaf158ab627a658663c6f166dea5f4dfc953870ef813547a51f205b6
