case_id,model_id,prediction_dir,status
Case1045,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case1047,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case1053,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case1062,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case1070,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case1073,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case1080,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case2002,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case2007,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case2008,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case2017,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case2020,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case2031,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case2033,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case3004,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case3011,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case3012,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case3023,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case3026,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case3034,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case3038,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case3040,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case3044,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case5005,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case6001,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case6010,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case7005,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case8003,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case8011,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case8015,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case8019,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case8021,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case8022,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case8023,nnunet_fold0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation,DRY_RUN_NOT_EVALUATED
Case1002,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1007,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1009,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1010,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1021,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1023,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1029,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1033,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1040,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1042,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1045,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1047,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1053,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1062,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1070,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1073,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1080,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2002,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2007,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2008,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2017,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2020,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2031,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2033,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3004,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3011,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3012,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3023,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3026,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3034,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3038,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3040,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3044,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case5005,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case6001,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case6010,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case7005,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8003,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8011,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8015,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8019,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8021,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8022,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8023,native_mosaic,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/native_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1002,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1007,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1009,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1010,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1021,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1023,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1029,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1033,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1040,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1042,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1045,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1047,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1053,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1062,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1070,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1073,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1080,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2002,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2007,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2008,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2017,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2020,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2031,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case2033,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3004,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3011,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3012,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3023,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3026,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3034,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3038,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3040,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case3044,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case5005,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case6001,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case6010,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case7005,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8003,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8011,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8015,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8019,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8021,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8022,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case8023,nnunet_anatomy_prior_mosaic_experts,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/hybrid_mosaic_predictions,DRY_RUN_NOT_EVALUATED
Case1002,care_candidate,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/care_candidate_predictions,DRY_RUN_NOT_EVALUATED
Case1007,care_candidate,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/care_candidate_predictions,DRY_RUN_NOT_EVALUATED
Case1009,care_candidate,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/care_candidate_predictions,DRY_RUN_NOT_EVALUATED
Case1010,care_candidate,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/care_candidate_predictions,DRY_RUN_NOT_EVALUATED
Case1021,care_candidate,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/care_candidate_predictions,DRY_RUN_NOT_EVALUATED
Case1023,care_candidate,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/care_candidate_predictions,DRY_RUN_NOT_EVALUATED
Case1029,care_candidate,/users/a/e/aereinh/CARE/results/20260725_care_m0_mosaic_fold0_fair_repro/care_candidate_predictions,DRY_RUN_NOT_EVALUATED
