phase,run_label,checkpoint_name,checkpoint_path,checkpoint_sha256,bytes,route_C_generated
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_21658.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_21658.pt,3f084a7a394556d13377fbe77c2887897ee95258e921087797d815577ace2dd1,370031818,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_22500.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_22500.pt,b99de2c6b5c0f08ca83fbcf3b287c1e0fcf6566f4955c441350b14b7b39c67f8,370031818,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_23324.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_23324.pt,0d336d2f4848e793c030327783b131d19275210a25f62a8beda15b6e6b941e67,370031818,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_24990.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_24990.pt,320e7b49fbd8141a4f9bd41c512038e27b69e310c26a274464c29688102fb5dd,370031818,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_25000.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_25000.pt,a1951e40522eae03fd103938e3fff827a127d29f01ab1ad66619d3376aac7bb0,370031818,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_3332.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_3332.pt,7f9f1cddb9e3c2e6eba841e17b639ff431489675594242597116c7049b2b3f2d,370031005,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_4998.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_4998.pt,66a5d18bdcbdb07d6789afd7c252823ad28b1ae9f3103bfee42d1939b79f9d08,370031005,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_5000.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_5000.pt,eda5efe913f4daae702888d7864ddd20b39f2f45da94704ff297e4d92c7d3a80,370031005,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_6664.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_6664.pt,e3b7d90d3c005a43c34a3f2c1afc5ad46e241e908711982c69bc24cd686c1a01,370031005,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_8330.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_8330.pt,485e71f662be8489f027755983ada130199ec8cef0651e71e1c87f13c8186c29,370031005,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_9996.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_9996.pt,2988eae4b8f3cf6f6497ada735325a2664a003984ce76f072c3996976f37cd47,370031005,false_read_only_input
