pathology,center,observation_set,representer,required_modalities,lge_present,t2_present,c0_present,eligible_for_beta_sip_loss,exclusion_reason
scar,CenterE,lge_c0,t2_private,T2,1,0,1,0,required_modality_absent
scar,CenterE,lge_c0,interaction_lge_c0,"LGE,C0",1,0,1,1,
scar,CenterE,lge_c0,interaction_lge_t2,"LGE,T2",1,0,1,0,required_modality_absent
scar,CenterE,lge_c0,interaction_t2_c0,"T2,C0",1,0,1,0,required_modality_absent
scar,CenterF,lge_c0,shared_anatomy,LGE,1,0,1,1,
scar,CenterF,lge_c0,lge_private,LGE,1,0,1,1,
scar,CenterF,lge_c0,c0_private,C0,1,0,1,1,
scar,CenterF,lge_c0,t2_private,T2,1,0,1,0,required_modality_absent
scar,CenterF,lge_c0,interaction_lge_c0,"LGE,C0",1,0,1,1,
scar,CenterF,lge_c0,interaction_lge_t2,"LGE,T2",1,0,1,0,required_modality_absent
scar,CenterF,lge_c0,interaction_t2_c0,"T2,C0",1,0,1,0,required_modality_absent
scar,CenterG,lge_c0,shared_anatomy,LGE,1,0,1,1,
scar,CenterG,lge_c0,lge_private,LGE,1,0,1,1,
scar,CenterG,lge_c0,c0_private,C0,1,0,1,1,
scar,CenterG,lge_c0,t2_private,T2,1,0,1,0,required_modality_absent
scar,CenterG,lge_c0,interaction_lge_c0,"LGE,C0",1,0,1,1,
scar,CenterG,lge_c0,interaction_lge_t2,"LGE,T2",1,0,1,0,required_modality_absent
scar,CenterG,lge_c0,interaction_t2_c0,"T2,C0",1,0,1,0,required_modality_absent
scar,CenterH,lge_only,shared_anatomy,LGE,1,0,0,1,
scar,CenterH,lge_only,lge_private,LGE,1,0,0,1,
scar,CenterH,lge_only,c0_private,C0,1,0,0,0,required_modality_absent
scar,CenterH,lge_only,t2_private,T2,1,0,0,0,required_modality_absent
scar,CenterH,lge_only,interaction_lge_c0,"LGE,C0",1,0,0,0,required_modality_absent
scar,CenterH,lge_only,interaction_lge_t2,"LGE,T2",1,0,0,0,required_modality_absent
scar,CenterH,lge_only,interaction_t2_c0,"T2,C0",1,0,0,0,required_modality_absent
edema,CenterA,lge_only,shared_anatomy,LGE,1,0,0,0,no_t2_not_reliable_edema_supervision
edema,CenterA,lge_only,lge_private,LGE,1,0,0,0,no_t2_not_reliable_edema_supervision
edema,CenterA,lge_only,c0_private,C0,1,0,0,0,no_t2_not_reliable_edema_supervision
edema,CenterA,lge_only,t2_private,T2,1,0,0,0,no_t2_not_reliable_edema_supervision
edema,CenterA,lge_only,interaction_lge_c0,"LGE,C0",1,0,0,0,no_t2_not_reliable_edema_supervision
edema,CenterA,lge_only,interaction_lge_t2,"LGE,T2",1,0,0,0,no_t2_not_reliable_edema_supervision
edema,CenterA,lge_only,interaction_t2_c0,"T2,C0",1,0,0,0,no_t2_not_reliable_edema_supervision
edema,CenterB,lge_t2_c0,shared_anatomy,LGE,1,1,1,1,
edema,CenterB,lge_t2_c0,lge_private,LGE,1,1,1,1,
edema,CenterB,lge_t2_c0,c0_private,C0,1,1,1,1,
edema,CenterB,lge_t2_c0,t2_private,T2,1,1,1,1,
edema,CenterB,lge_t2_c0,interaction_lge_c0,"LGE,C0",1,1,1,1,
edema,CenterB,lge_t2_c0,interaction_lge_t2,"LGE,T2",1,1,1,1,
edema,CenterB,lge_t2_c0,interaction_t2_c0,"T2,C0",1,1,1,1,
edema,CenterC,lge_t2_c0,shared_anatomy,LGE,1,1,1,1,
edema,CenterC,lge_t2_c0,lge_private,LGE,1,1,1,1,
edema,CenterC,lge_t2_c0,c0_private,C0,1,1,1,1,
edema,CenterC,lge_t2_c0,t2_private,T2,1,1,1,1,
edema,CenterC,lge_t2_c0,interaction_lge_c0,"LGE,C0",1,1,1,1,
edema,CenterC,lge_t2_c0,interaction_lge_t2,"LGE,T2",1,1,1,1,
edema,CenterC,lge_t2_c0,interaction_t2_c0,"T2,C0",1,1,1,1,
edema,CenterE,lge_c0,shared_anatomy,LGE,1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterE,lge_c0,lge_private,LGE,1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterE,lge_c0,c0_private,C0,1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterE,lge_c0,t2_private,T2,1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterE,lge_c0,interaction_lge_c0,"LGE,C0",1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterE,lge_c0,interaction_lge_t2,"LGE,T2",1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterE,lge_c0,interaction_t2_c0,"T2,C0",1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterF,lge_c0,shared_anatomy,LGE,1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterF,lge_c0,lge_private,LGE,1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterF,lge_c0,c0_private,C0,1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterF,lge_c0,t2_private,T2,1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterF,lge_c0,interaction_lge_c0,"LGE,C0",1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterF,lge_c0,interaction_lge_t2,"LGE,T2",1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterF,lge_c0,interaction_t2_c0,"T2,C0",1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterG,lge_c0,shared_anatomy,LGE,1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterG,lge_c0,lge_private,LGE,1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterG,lge_c0,c0_private,C0,1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterG,lge_c0,t2_private,T2,1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterG,lge_c0,interaction_lge_c0,"LGE,C0",1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterG,lge_c0,interaction_lge_t2,"LGE,T2",1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterG,lge_c0,interaction_t2_c0,"T2,C0",1,0,1,0,no_t2_not_reliable_edema_supervision
edema,CenterH,lge_only,shared_anatomy,LGE,1,0,0,0,no_t2_not_reliable_edema_supervision
edema,CenterH,lge_only,lge_private,LGE,1,0,0,0,no_t2_not_reliable_edema_supervision
edema,CenterH,lge_only,c0_private,C0,1,0,0,0,no_t2_not_reliable_edema_supervision
edema,CenterH,lge_only,t2_private,T2,1,0,0,0,no_t2_not_reliable_edema_supervision
edema,CenterH,lge_only,interaction_lge_c0,"LGE,C0",1,0,0,0,no_t2_not_reliable_edema_supervision
edema,CenterH,lge_only,interaction_lge_t2,"LGE,T2",1,0,0,0,no_t2_not_reliable_edema_supervision
edema,CenterH,lge_only,interaction_t2_c0,"T2,C0",1,0,0,0,no_t2_not_reliable_edema_supervision
