job_id,pathology,purpose,partition,state_at_record,reason_at_record,attempt_label,formal_training_credit,completion_evidence,submitted_command,last_checked_at,sacct_state,sacct_exit_code,sacct_elapsed,sacct_node,current_controller_head,origin_main_at_check,monitor_decision,next_action
59983573,scar,formal_scar_matched_wave,htzhulab,FAILED,Batch7BR2LegacyM10SpatialDictionary,batch7_minimal_decomposition_scar_htzhulab_formal_20260722_005552,0,FAILED_BEFORE_MATCHED_BR2_COMPLETION_LOG_VALUE_ERROR:logs/srr_batch7_minimal_decomposition/B7MinDec_scar_59983573_20260722_010156.log,"sacct terminal failure; log ValueError Batch7 minimal decomposition forbids formal M10 spatial dictionary use",2026-07-22T01:16:28-0400,FAILED,1:0,00:10:12,g180702,44db236dd07e6e7f36c02edd42985c4852e57eea,2b700d073258c7c88cd483f0ec3e5caa4d0a25ae,FORMAL_SCAR_FAILED_SAME_SCOPE_REPAIR_REQUIRED,patch_batch7_br2_to_disable_legacy_m10_spatial_dictionary_then_resubmit_replacement
59984573,scar,formal_scar_matched_wave_replacement,htzhulab,PENDING,Resources,batch7_minimal_decomposition_scar_htzhulab_formal_repair_m10dict_20260722_011818,0,JOB_SUBMITTED_REPLACEMENT_NOT_COMPLETION,"sbatch --parsable --export=ALL,PATHOLOGY=scar,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_htzhulab_formal_repair_m10dict_20260722_011818 jobs/srr_production/run_myops_batch7_minimal_decomposition_htzhulab.sh",2026-07-22T01:19:23-0400,PENDING,0:0,00:00:00,None assigned,ebbc5aac03e135cd6cddd4e0cec9386cc126ce30,44db236dd07e6e7f36c02edd42985c4852e57eea,FORMAL_SCAR_REPLACEMENT_SUBMITTED_NEEDS_MONITOR,submit_a100_routing_mirror_due_htzhulab_start_2026-07-23T15:45:56
59984591,scar,formal_scar_matched_wave_replacement_mirror,a100-gpu,PENDING,Priority,batch7_minimal_decomposition_scar_a100_formal_repair_m10dict_20260722_011818,0,JOB_SUBMITTED_ROUTING_MIRROR_NOT_COMPLETION,"sbatch --parsable --export=ALL,PATHOLOGY=scar,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_a100_formal_repair_m10dict_20260722_011818 jobs/srr_production/run_myops_batch7_minimal_decomposition_a100.sh",2026-07-22T01:19:23-0400,PENDING,0:0,00:00:00,None assigned,ebbc5aac03e135cd6cddd4e0cec9386cc126ce30,44db236dd07e6e7f36c02edd42985c4852e57eea,FORMAL_SCAR_REPLACEMENT_ROUTING_MIRROR_SUBMITTED,cancel_other_pending_mirror_when_one_partition_starts_running
59984573,scar,formal_scar_matched_wave_replacement,htzhulab,CANCELLED,CancelledBeforeStart,batch7_minimal_decomposition_scar_htzhulab_formal_repair_m10dict_20260722_011818,0,CANCELLED_BEFORE_START_NO_RUNTIME_OUTPUT,"sacct post-commit check; job cancelled before Start",2026-07-22T01:22:43-0400,CANCELLED,0:0,00:00:00,None assigned,de3c3b3cc3a11e14de63f6d49f9fda4d925d701d,44db236dd07e6e7f36c02edd42985c4852e57eea,REPLACEMENT_CANCELLED_BEFORE_START_RESUBMIT_FINAL_COMMIT,resubmit_final_mode_attempt_from_clean_de3c3b3
59984591,scar,formal_scar_matched_wave_replacement_mirror,a100-gpu,CANCELLED,CancelledBeforeStart,batch7_minimal_decomposition_scar_a100_formal_repair_m10dict_20260722_011818,0,CANCELLED_BEFORE_START_NO_RUNTIME_OUTPUT,"sacct post-commit check; job cancelled before Start",2026-07-22T01:22:43-0400,CANCELLED,0:0,00:00:00,None assigned,de3c3b3cc3a11e14de63f6d49f9fda4d925d701d,44db236dd07e6e7f36c02edd42985c4852e57eea,REPLACEMENT_MIRROR_CANCELLED_BEFORE_START_RESUBMIT_FINAL_COMMIT,resubmit_final_mode_attempt_from_clean_de3c3b3
59984765,scar,formal_scar_matched_wave_finalmode_replacement,htzhulab,PENDING,Resources,batch7_minimal_decomposition_scar_htzhulab_formal_finalmode_20260722_012243,0,JOB_SUBMITTED_FINALMODE_REPLACEMENT_NOT_COMPLETION,"sbatch --parsable --export=ALL,PATHOLOGY=scar,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_htzhulab_formal_finalmode_20260722_012243 jobs/srr_production/run_myops_batch7_minimal_decomposition_htzhulab.sh",2026-07-22T01:24:28-0400,PENDING,0:0,00:00:00,None assigned,de3c3b3cc3a11e14de63f6d49f9fda4d925d701d,44db236dd07e6e7f36c02edd42985c4852e57eea,FORMAL_SCAR_FINALMODE_REPLACEMENT_SUBMITTED_NEEDS_MONITOR,submit_a100_routing_mirror_due_htzhulab_resource_pending_and_start_2026-07-23T15:45:56
59984815,scar,formal_scar_matched_wave_finalmode_replacement_mirror,a100-gpu,PENDING,None,batch7_minimal_decomposition_scar_a100_formal_finalmode_20260722_012243,0,JOB_SUBMITTED_FINALMODE_ROUTING_MIRROR_NOT_COMPLETION,"sbatch --parsable --export=ALL,PATHOLOGY=scar,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_a100_formal_finalmode_20260722_012243 jobs/srr_production/run_myops_batch7_minimal_decomposition_a100.sh",2026-07-22T01:24:28-0400,PENDING,0:0,00:00:00,None assigned,de3c3b3cc3a11e14de63f6d49f9fda4d925d701d,44db236dd07e6e7f36c02edd42985c4852e57eea,FORMAL_SCAR_FINALMODE_ROUTING_MIRROR_SUBMITTED,cancel_other_pending_mirror_when_one_partition_starts_running
59984765,scar,formal_scar_matched_wave_finalmode_replacement,htzhulab,CANCELLED,CancelledBeforeStart,batch7_minimal_decomposition_scar_htzhulab_formal_finalmode_20260722_012243,0,CANCELLED_BEFORE_START_NO_RUNTIME_OUTPUT,"sacct post-wrapper-fix check; job cancelled before Start",2026-07-22T01:28:39-0400,CANCELLED,0:0,00:00:00,None assigned,ffcc9deaf4e8fd57621fddcef561d86fa4655c72,44db236dd07e6e7f36c02edd42985c4852e57eea,FINALMODE_REPLACEMENT_CANCELLED_BEFORE_START_RESUBMIT_CLEAN_HEAD,resubmit_clean_head_attempt_from_ffcc9de
59984815,scar,formal_scar_matched_wave_finalmode_replacement_mirror,a100-gpu,CANCELLED,CancelledBeforeStart,batch7_minimal_decomposition_scar_a100_formal_finalmode_20260722_012243,0,CANCELLED_BEFORE_START_NO_RUNTIME_OUTPUT,"sacct post-wrapper-fix check; job cancelled before Start",2026-07-22T01:28:39-0400,CANCELLED,0:0,00:00:00,None assigned,ffcc9deaf4e8fd57621fddcef561d86fa4655c72,44db236dd07e6e7f36c02edd42985c4852e57eea,FINALMODE_MIRROR_CANCELLED_BEFORE_START_RESUBMIT_CLEAN_HEAD,resubmit_clean_head_attempt_from_ffcc9de
59984994,scar,formal_scar_matched_wave_clean_head_replacement,htzhulab,PENDING,Resources,batch7_minimal_decomposition_scar_htzhulab_formal_finalmode_clean_20260722_012748,0,JOB_SUBMITTED_CLEAN_HEAD_REPLACEMENT_NOT_COMPLETION,"sbatch --parsable --export=ALL,PATHOLOGY=scar,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_htzhulab_formal_finalmode_clean_20260722_012748 jobs/srr_production/run_myops_batch7_minimal_decomposition_htzhulab.sh",2026-07-22T01:28:39-0400,PENDING,0:0,00:00:00,None assigned,ffcc9deaf4e8fd57621fddcef561d86fa4655c72,44db236dd07e6e7f36c02edd42985c4852e57eea,FORMAL_SCAR_CLEAN_HEAD_REPLACEMENT_SUBMITTED_NEEDS_MONITOR,submit_a100_routing_mirror_due_htzhulab_resource_pending_and_start_2026-07-23T15:45:56
59985002,scar,formal_scar_matched_wave_clean_head_replacement_mirror,a100-gpu,PENDING,None,batch7_minimal_decomposition_scar_a100_formal_finalmode_clean_20260722_012748,0,JOB_SUBMITTED_CLEAN_HEAD_ROUTING_MIRROR_NOT_COMPLETION,"sbatch --parsable --export=ALL,PATHOLOGY=scar,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_a100_formal_finalmode_clean_20260722_012748 jobs/srr_production/run_myops_batch7_minimal_decomposition_a100.sh",2026-07-22T01:28:39-0400,PENDING,0:0,00:00:00,None assigned,ffcc9deaf4e8fd57621fddcef561d86fa4655c72,44db236dd07e6e7f36c02edd42985c4852e57eea,FORMAL_SCAR_CLEAN_HEAD_ROUTING_MIRROR_SUBMITTED,cancel_other_pending_mirror_when_one_partition_starts_running
59984994,scar,formal_scar_matched_wave_clean_head_replacement,htzhulab,CANCELLED,DuplicateSupersededByCurrentHeadPair,batch7_minimal_decomposition_scar_htzhulab_formal_finalmode_clean_20260722_012748,0,CANCELLED_DUPLICATE_PENDING_NO_RUNTIME_OUTPUT,"scancel 59984994 after current-head pair 59985023/59985024 existed",2026-07-22T01:30:35-0400,CANCELLED,0:0,00:00:00,None assigned,fbd8d4d67d806883154a6311fb8b69fd63be42c4,44db236dd07e6e7f36c02edd42985c4852e57eea,DUPLICATE_PENDING_JOB_CANCELLED,keep_current_head_routing_pair_59985023_59985024
59985002,scar,formal_scar_matched_wave_clean_head_replacement_mirror,a100-gpu,CANCELLED,DuplicateSupersededByCurrentHeadPair,batch7_minimal_decomposition_scar_a100_formal_finalmode_clean_20260722_012748,0,CANCELLED_DUPLICATE_PENDING_NO_RUNTIME_OUTPUT,"scancel 59985002 after current-head pair 59985023/59985024 existed",2026-07-22T01:30:35-0400,CANCELLED,0:0,00:00:00,None assigned,fbd8d4d67d806883154a6311fb8b69fd63be42c4,44db236dd07e6e7f36c02edd42985c4852e57eea,DUPLICATE_PENDING_MIRROR_CANCELLED,keep_current_head_routing_pair_59985023_59985024
59984573,scar,formal_scar_matched_wave_replacement,htzhulab,CANCELLED,StaleCommitMinimalStillUsedLegacyM10SpatialDictionary,batch7_minimal_decomposition_scar_htzhulab_formal_repair_m10dict_20260722_011818,0,CANCELLED_PENDING_STALE_REPAIR_BEFORE_START,"scancel 59984573; stale ebbc5aa replacement cancelled before runtime",2026-07-22T01:21:53-0400,CANCELLED,0:0,00:00:00,None assigned,ebbc5aac03e135cd6cddd4e0cec9386cc126ce30,44db236dd07e6e7f36c02edd42985c4852e57eea,STALE_REPLACEMENT_CANCELLED,resubmit_after_batch7_minimal_decomposition_mode_commit
59984591,scar,formal_scar_matched_wave_replacement_mirror,a100-gpu,CANCELLED,StaleCommitMinimalStillUsedLegacyM10SpatialDictionary,batch7_minimal_decomposition_scar_a100_formal_repair_m10dict_20260722_011818,0,CANCELLED_PENDING_STALE_REPAIR_BEFORE_START,"scancel 59984591; stale ebbc5aa mirror cancelled before runtime",2026-07-22T01:21:53-0400,CANCELLED,0:0,00:00:00,None assigned,ebbc5aac03e135cd6cddd4e0cec9386cc126ce30,44db236dd07e6e7f36c02edd42985c4852e57eea,STALE_REPLACEMENT_MIRROR_CANCELLED,resubmit_after_batch7_minimal_decomposition_mode_commit
59984765,scar,formal_scar_matched_wave_finalmode_replacement,htzhulab,CANCELLED,SubmittedBeforeWrapperPrecheckFix,batch7_minimal_decomposition_scar_htzhulab_formal_finalmode_20260722_012243,0,CANCELLED_PENDING_STALE_WRAPPER_PRECHECK_BEFORE_START,"scancel 59984765; submitted before wrapper precheck formal-mode fix",2026-07-22T01:28:02-0400,CANCELLED,0:0,00:00:00,None assigned,ffcc9deaf4e8fd57621fddcef561d86fa4655c72,44db236dd07e6e7f36c02edd42985c4852e57eea,STALE_WRAPPER_PRECHECK_JOB_CANCELLED,resubmit_after_wrapper_precheck_commit
59984815,scar,formal_scar_matched_wave_finalmode_replacement_mirror,a100-gpu,CANCELLED,SubmittedBeforeWrapperPrecheckFix,batch7_minimal_decomposition_scar_a100_formal_finalmode_20260722_012243,0,CANCELLED_PENDING_STALE_WRAPPER_PRECHECK_BEFORE_START,"scancel 59984815; submitted before wrapper precheck formal-mode fix",2026-07-22T01:28:02-0400,CANCELLED,0:0,00:00:00,None assigned,ffcc9deaf4e8fd57621fddcef561d86fa4655c72,44db236dd07e6e7f36c02edd42985c4852e57eea,STALE_WRAPPER_PRECHECK_MIRROR_CANCELLED,resubmit_after_wrapper_precheck_commit
59985023,scar,formal_scar_matched_wave_current_head_replacement,htzhulab,PENDING,None,batch7_minimal_decomposition_scar_htzhulab_formal_wrapperfix_20260722_012839,0,JOB_SUBMITTED_CURRENT_HEAD_NOT_COMPLETION,"sbatch --parsable --export=ALL,PATHOLOGY=scar,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_htzhulab_formal_wrapperfix_20260722_012839 jobs/srr_production/run_myops_batch7_minimal_decomposition_htzhulab.sh",2026-07-22T01:29:03-0400,PENDING,0:0,00:00:00,None assigned,b577c6726ff21ffd3c20abcd8607b9ef6fd8f403,44db236dd07e6e7f36c02edd42985c4852e57eea,FORMAL_SCAR_CURRENT_HEAD_REPLACEMENT_SUBMITTED_NEEDS_MONITOR,cancel_other_pending_mirror_when_one_partition_starts_running
59985024,scar,formal_scar_matched_wave_current_head_replacement_mirror,a100-gpu,PENDING,None,batch7_minimal_decomposition_scar_a100_formal_wrapperfix_20260722_012839,0,JOB_SUBMITTED_CURRENT_HEAD_ROUTING_MIRROR_NOT_COMPLETION,"sbatch --parsable --export=ALL,PATHOLOGY=scar,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_a100_formal_wrapperfix_20260722_012839 jobs/srr_production/run_myops_batch7_minimal_decomposition_a100.sh",2026-07-22T01:29:03-0400,PENDING,0:0,00:00:00,None assigned,b577c6726ff21ffd3c20abcd8607b9ef6fd8f403,44db236dd07e6e7f36c02edd42985c4852e57eea,FORMAL_SCAR_CURRENT_HEAD_ROUTING_MIRROR_SUBMITTED,cancel_other_pending_mirror_when_one_partition_starts_running
59985023,scar,formal_scar_matched_wave_current_head_replacement,htzhulab,PENDING,Resources,batch7_minimal_decomposition_scar_htzhulab_formal_wrapperfix_20260722_012839,0,PENDING_MONITOR_ONLY_NO_RUNTIME_OUTPUT,"squeue/sacct monitor; htzhulab still pending with StartTime 2026-07-23T15:45:56",2026-07-22T01:33:44-0400,PENDING,0:0,00:00:00,None assigned,8975b831d1271f840a72c6a8cf9f55f1bbc2acfc,44db236dd07e6e7f36c02edd42985c4852e57eea,FORMAL_SCAR_PENDING_MONITOR_NOT_COMPLETION,keep_current_head_routing_pair_until_one_starts_then_cancel_pending_loser
59985024,scar,formal_scar_matched_wave_current_head_replacement_mirror,a100-gpu,PENDING,Priority,batch7_minimal_decomposition_scar_a100_formal_wrapperfix_20260722_012839,0,PENDING_MONITOR_ONLY_NO_RUNTIME_OUTPUT,"squeue/sacct monitor; a100 mirror still pending priority with no StartTime",2026-07-22T01:33:44-0400,PENDING,0:0,00:00:00,None assigned,8975b831d1271f840a72c6a8cf9f55f1bbc2acfc,44db236dd07e6e7f36c02edd42985c4852e57eea,FORMAL_SCAR_PENDING_ROUTING_MIRROR_NOT_COMPLETION,keep_current_head_routing_pair_until_one_starts_then_cancel_pending_loser
59985023,scar,formal_scar_matched_wave_current_head_replacement,htzhulab,PENDING,Resources,batch7_minimal_decomposition_scar_htzhulab_formal_wrapperfix_20260722_012839,0,PENDING_MONITOR_ONLY_NO_RUNTIME_OUTPUT,"squeue/sacct monitor; htzhulab still pending with StartTime 2026-07-23T15:45:56",2026-07-22T01:45:20-0400,PENDING,0:0,00:00:00,None assigned,9a849906ef50ef4a5a0f6f41a1c87778af5075da,9a849906ef50ef4a5a0f6f41a1c87778af5075da,FORMAL_SCAR_PENDING_MONITOR_NOT_COMPLETION,keep_current_head_routing_pair_until_one_starts_then_cancel_pending_loser
59985024,scar,formal_scar_matched_wave_current_head_replacement_mirror,a100-gpu,PENDING,Priority,batch7_minimal_decomposition_scar_a100_formal_wrapperfix_20260722_012839,0,PENDING_MONITOR_ONLY_NO_RUNTIME_OUTPUT,"squeue/sacct monitor; a100 mirror still pending priority with StartTime 2026-07-22T20:18:29",2026-07-22T01:45:20-0400,PENDING,0:0,00:00:00,None assigned,9a849906ef50ef4a5a0f6f41a1c87778af5075da,9a849906ef50ef4a5a0f6f41a1c87778af5075da,FORMAL_SCAR_PENDING_ROUTING_MIRROR_NOT_COMPLETION,keep_current_head_routing_pair_until_one_starts_then_cancel_pending_loser
59985023,scar,formal_scar_matched_wave_current_head_replacement,htzhulab,RUNNING,g180702,batch7_minimal_decomposition_scar_htzhulab_formal_wrapperfix_20260722_012839,0,RUNNING_NOT_TERMINAL_NO_AGGREGATION,"squeue/sacct monitor; htzhulab started on g180702 at 2026-07-22T02:44:20; log logs/srr_batch7_minimal_decomposition/B7MinDec_scar_59985023_20260722_024422.log created",2026-07-22T02:45:43-0400,RUNNING,0:0,00:00:58,g180702,db96dad2541208921ec4d9b49749d0f0522d8fbc,db96dad2541208921ec4d9b49749d0f0522d8fbc,FORMAL_SCAR_RUNNING_NOT_COMPLETION,monitor_running_job_until_terminal_then_aggregate_scar_only
59985024,scar,formal_scar_matched_wave_current_head_replacement_mirror,a100-gpu,CANCELLED,RoutingMirrorCancelledAfterHtzhuStarted,batch7_minimal_decomposition_scar_a100_formal_wrapperfix_20260722_012839,0,CANCELLED_PENDING_ROUTING_MIRROR_NO_RUNTIME_OUTPUT,"scancel 59985024 after htzhulab job 59985023 started running on g180702",2026-07-22T02:45:43-0400,CANCELLED by 397557,0:0,00:00:00,None assigned,db96dad2541208921ec4d9b49749d0f0522d8fbc,db96dad2541208921ec4d9b49749d0f0522d8fbc,FORMAL_SCAR_ROUTING_MIRROR_CANCELLED_AFTER_HTZHULAB_STARTED,monitor_htzhulab_59985023_until_terminal
59985023,scar,formal_scar_matched_wave_current_head_replacement,htzhulab,FAILED,WrapperImportPathMissingSrc,batch7_minimal_decomposition_scar_htzhulab_formal_wrapperfix_20260722_012839,0,FAILED_AFTER_MINIMAL_AND_WARMUP_BEFORE_SIP_CALIBRATION_NO_MATCHED_COMPLETION,"sacct/log inspection; wrapper failed importing src during checkpoint SHA accounting after warmup",2026-07-22T02:56:29-0400,FAILED,1:0,00:09:09,g180702,6248815791b6d2927e24b32f633012290e9336ba,6248815791b6d2927e24b32f633012290e9336ba,FORMAL_SCAR_FAILED_SAME_SCOPE_REPAIR_REQUIRED,commit_wrapper_import_path_repair_then_resubmit_scar_routing_pair
59989268,scar,formal_scar_matched_wave_import_path_replacement,htzhulab,PENDING,Resources,batch7_minimal_decomposition_scar_htzhulab_importfix_20260722_025917,0,JOB_SUBMITTED_IMPORT_PATH_REPLACEMENT_NOT_COMPLETION,"sbatch --parsable --export=ALL,PATHOLOGY=scar,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_htzhulab_importfix_20260722_025917 jobs/srr_production/run_myops_batch7_minimal_decomposition_htzhulab.sh",2026-07-22T02:59:33-0400,PENDING,0:0,00:00:00,None assigned,bf9cdb6dc81804d3ac2e1c11f7d1a9c642ce136d,6248815791b6d2927e24b32f633012290e9336ba,FORMAL_SCAR_IMPORT_PATH_REPLACEMENT_SUBMITTED_NEEDS_MONITOR,cancel_other_pending_mirror_when_one_partition_starts_running
59989269,scar,formal_scar_matched_wave_import_path_replacement_mirror,a100-gpu,PENDING,None,batch7_minimal_decomposition_scar_a100_importfix_20260722_025917,0,JOB_SUBMITTED_IMPORT_PATH_ROUTING_MIRROR_NOT_COMPLETION,"sbatch --parsable --export=ALL,PATHOLOGY=scar,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_a100_importfix_20260722_025917 jobs/srr_production/run_myops_batch7_minimal_decomposition_a100.sh",2026-07-22T02:59:33-0400,PENDING,0:0,00:00:00,None assigned,bf9cdb6dc81804d3ac2e1c11f7d1a9c642ce136d,6248815791b6d2927e24b32f633012290e9336ba,FORMAL_SCAR_IMPORT_PATH_ROUTING_MIRROR_SUBMITTED_NEEDS_MONITOR,cancel_other_pending_mirror_when_one_partition_starts_running
59989267,scar,formal_scar_matched_wave_importpath_replacement,htzhulab,RUNNING,g180702,batch7_minimal_decomposition_scar_htzhulab_formal_importpath_20260722_025729,0,RUNNING_NOT_TERMINAL_NO_AGGREGATION,sbatch submitted repaired htzhulab replacement; job started immediately and log logs/srr_batch7_minimal_decomposition/B7MinDec_scar_59989267_20260722_025939.log created,2026-07-22T03:01:14-0400,RUNNING,0:0,00:01:40,g180702,bf9cdb6dc81804d3ac2e1c11f7d1a9c642ce136d,6248815791b6d2927e24b32f633012290e9336ba,FORMAL_SCAR_RUNNING_NOT_COMPLETION,monitor_59989267_until_terminal_then_run_scar_only_aggregation_if_completed
