source_file,source_heading,destination_file,destination_anchor,migration_status,content_note
todo-m10.md,## 3. Dictionary / representer 问题,wiki/history/M09/components/retrieval-dictionary.md,retrieval-dictionary,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 3.1 True-BR2 骨架存在，但还没有证明 representer 的医学价值,wiki/history/M09/components/retrieval-dictionary.md,retrieval-dictionary,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 3.2 Router 仍偏 case/global，不够 lesion-local,wiki/history/M09/components/availability-no-t2.md,availability-no-t2,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 3.3 Pattern-SIP 目前更像后处理报告，不是真正优化目标,wiki/history/M09/components/losses.md,losses,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 3.4 Invalid-slot mask 证据仍偏弱,wiki/history/M09/components/retrieval-dictionary.md,retrieval-dictionary,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,## 4. Prototype / memory 问题,wiki/history/M09/components/prototype-memory.md,prototype-memory,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 4.1 ProposalDictionary 仍以 buffer prototypes 为主,wiki/history/M09/components/proposal.md,proposal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 4.2 SafePrototypeMemoryBank 目前像孤立 helper,wiki/history/M09/components/prototype-memory.md,prototype-memory,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 4.3 Hard-negative replay 还没有形成闭环,wiki/history/M09/components/availability-no-t2.md,availability-no-t2,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,## 5. Refiner 问题,wiki/history/M09/components/refiner.md,refiner,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 5.1 scar / edema refiner 的结构差异已经有，但科学证据不足,wiki/history/M09/components/availability-no-t2.md,availability-no-t2,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 5.2 Scar 与 edema 应分开优化目标,wiki/history/M09/components/losses.md,losses,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,## 6. Loss / training 问题,wiki/history/M09/components/losses.md,losses,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 6.1 M8 的 loss wiring bug 已修，但 M9 loss 仍可能是“名义丰富，优化不充分”,wiki/history/M09/components/losses.md,losses,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 6.2 Checkpoint selection 仍不够彻底,wiki/history/M09/components/losses.md,losses,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 6.3 Patch-based training 可能限制 lesion formation,wiki/history/M09/components/proposal.md,proposal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,## 7. Metrics / aggregation 问题,wiki/history/M09/components/training-evidence.md,training-evidence,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 7.1 M9 metrics 负面，且问题不只在 edema,wiki/history/M09/components/arbitration.md,arbitration,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 7.2 Aggregator 的一些 evidence 文件名称过强,wiki/history/M09/components/checkpoint-selection.md,checkpoint-selection,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 7.3 Same-split anchor 对照需要保留，但不能变成主角,wiki/history/M09/components/losses.md,losses,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,## 8. Cine 分支问题,wiki/history/M09/components/cine-temporal.md,cine-temporal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 8.1 M9 Cine 有进步，但仍是 local proxy,wiki/history/M09/components/cine-temporal.md,cine-temporal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 8.2 Cine 不能再 optional，但也不能拿来救 MyoPS,wiki/history/M09/components/cine-temporal.md,cine-temporal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,## 9. M10 不应做什么,wiki/history/M09/components/cine-temporal.md,cine-temporal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,## 10. M10 的可能路线,wiki/history/M09/components/training-evidence.md,training-evidence,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 10.1 若 M9 follow-up 仍是 NEEDS_REVISION / NEEDS_EVIDENCE,wiki/history/M09/components/availability-no-t2.md,availability-no-t2,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 10.2 若 M9 follow-up 是 READY_NO_PROMOTION_DIAGNOSTIC_ONLY,wiki/history/M09/components/availability-no-t2.md,availability-no-t2,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 10.3 若 MyoPS dictionary route 连续失败但 Cine proxy有正信号,wiki/history/M09/components/cine-temporal.md,cine-temporal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 10.4 若 M9 follow-up 发现 evidence 缺失导致 M9 科学结论不可靠,wiki/history/M09/components/availability-no-t2.md,availability-no-t2,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,## 11. 我建议的 M10 优先级,wiki/history/M09/components/proposal.md,proposal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,## 12. M10 prompt 编写前必须确认的问题,wiki/history/M09/components/cine-temporal.md,cine-temporal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
