branch,case,source_role,path,sha256,dimension,size,spacing,origin,direction,labels
CineMyoPS,Case1001,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1001.nii.gz,7451f341e51f7b4953d2b5ee9218096407ac000f683af275f9b6e2573207e0f6,3,256x256x8,"1.3281,1.3281,5","0,0,-20","-1,0,0,0,1,0,0,0,-1","{""0"": 511777, ""1"": 3188, ""2"": 7070, ""3"": 2253}"
CineMyoPS,Case1002,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1002.nii.gz,69c18f3ae90f0fc28e4089e03f7e451ac4f06d655dd5819ce518a753fbfebb52,3,256x256x10,"1.5937999,1.5937999,8","0,0,-32","-1,0,0,0,1,0,0,0,-1","{""0"": 636491, ""1"": 6443, ""2"": 11578, ""3"": 848}"
CineMyoPS,Case1003,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1003.nii.gz,8e1b6b585cb2313c96380413b7435de5f91cf6651c516d89e8d303446d8ca5d6,3,256x256x5,"1.5937999,1.5937999,8","0,0,-32","-1,0,0,0,1,0,0,0,-1","{""0"": 320992, ""1"": 2422, ""2"": 2474, ""3"": 1792}"
CineMyoPS,Case1004,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1004.nii.gz,1d83c79c1bfb5457e8104efede92d15ab840bdb600489c176b36b463f67dcd2c,3,256x256x24,"1.3672,1.3672,4","0,0,-16","-1,0,0,0,1,0,0,0,-1","{""0"": 1526960, ""1"": 14869, ""2"": 27208, ""3"": 3827}"
CineMyoPS,Case1005,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1005.nii.gz,450f53f8102b3753df23b319b5af710c85bcb2ed1dbc7b3dd990be83e46df33b,3,256x256x28,"1.3672,1.3672,4","0,0,-16","-1,0,0,0,1,0,0,0,-1","{""0"": 1794935, ""1"": 13260, ""2"": 21441, ""3"": 5372}"
CineMyoPS,Case1006,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1006.nii.gz,61d64a8cf4ed213f23dccbafde5d56a61bcdef84475198176d15c9940f18c5ec,3,256x256x20,"1.3281,1.3281,4","0,0,-16","-1,0,0,0,1,0,0,0,-1","{""0"": 1283219, ""1"": 8058, ""2"": 12435, ""3"": 7008}"
CineMyoPS,Case1007,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1007.nii.gz,320bada4a2a83ba2264d396ea677c3ffd79a4107714b0ed58a7cea993fcf8d30,3,256x256x20,"1.3281,1.3281,4","0,0,-16","-1,0,0,0,1,0,0,0,-1","{""0"": 1275517, ""1"": 7893, ""2"": 18329, ""3"": 8981}"
CineMyoPS,Case1008,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1008.nii.gz,6dff2c501e841715e0c48008c2ea8f25d1b90101107e2345d87fb24315360d0b,3,256x256x20,"1.3672,1.3672,4","0,0,-16","-1,0,0,0,1,0,0,0,-1","{""0"": 1277563, ""1"": 10297, ""2"": 17591, ""3"": 5269}"
CineMyoPS,Case1009,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1009.nii.gz,0d69186d4c07abd5f804a6c40b4ba2b4d3a410dfe3725d7a689cad95d0ffbf60,3,256x256x48,"1.3672,1.3672,1.8","0,0,-7.1999998","-1,0,0,0,1,0,0,0,-1","{""0"": 3056271, ""1"": 25652, ""2"": 51387, ""3"": 12418}"
CineMyoPS,Case1010,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1010.nii.gz,5cd41f5437441de26b6316ab25d41a529f6241150563f9df16a552ccbb7ceaad,3,256x256x28,"1.3281,1.3281,4","0,0,-16","-1,0,0,0,1,0,0,0,-1","{""0"": 1789501, ""1"": 12553, ""2"": 28581, ""3"": 4373}"
CineMyoPS,Case1011,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1011.nii.gz,b0d6ac222337b82017560f19aa8631d2cf10803fc80806fdbcb38055598fcd55,3,256x256x3,"1.25,1.25,23","-123.79002,-69.893265,-171.79622","0.78444762,0.2463808,-0.56915593,0.58992004,-0.5796441,0.56214509,0.19140607,0.77672982,0.60004535","{""0"": 192345, ""1"": 1324, ""2"": 2344, ""3"": 595}"
CineMyoPS,Case1012,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1012.nii.gz,3d43cc95c64bb893c637a076ff0fb15c5b6d77115f5ae24e12bfe8e0da4228fc,3,320x319x3,"1.1875,1.1875,23.000002","-102.52476,-85.793945,-209.72128","0.83685082,0.045270532,-0.54555594,0.49715007,-0.48005677,0.72276366,0.22917793,0.87606853,0.42424215","{""0"": 299704, ""1"": 949, ""2"": 3187, ""3"": 2400}"
CineMyoPS,Case1013,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1013.nii.gz,ee1de9dbe7ae6aec8f766d042dcca684811d98a5f004d4f8546d65c4d2217bbe,3,320x320x3,"1.1875,1.1875,22.999998","-68.955841,-194.27505,-132.57414","0.50040293,0.38687901,-0.77454604,0.86438666,-0.17227862,0.4723936,-0.04932147,0.90589442,0.42062181","{""0"": 297551, ""1"": 2801, ""2"": 4918, ""3"": 1930}"
CineMyoPS,Case1014,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1014.nii.gz,595c227db97ef44aee8c5d6093309fd9603f318a7886a8e47a979370c2483ee7,3,268x268x5,"1.25,1.25,14","-123.26418,-182.25761,-146.95166","0.6981865,0.43545633,-0.56825471,0.66224791,-0.091309537,0.74370037,-0.27196198,0.89556706,0.35213113","{""0"": 350059, ""1"": 3221, ""2"": 5047, ""3"": 793}"
CineMyoPS,Case1015,source_compact_cine_pathology_direct,results/submissions/care_myocardium_validation/workspaces/nnUNet_MyoPS+CineMyoPS_pathology_direct_20260518_030921/predictions/CineMyoPS/CineMyoPS/ensemble/Case1015.nii.gz,73d9ef9c9600da2af96ddcb8304e97595a7429eaa78a4796ee27c6a303233162,3,269x268x5,"1.25,1.25,14.000001","-108.05785,-174.35204,-135.15227","0.78668882,0.21720183,-0.57787897,0.61613017,-0.21742442,0.75704044,-0.038785577,0.9516039,0.30486993","{""0"": 352707, ""1"": 2673, ""2"": 3987, ""3"": 1093}"
MyoPS,Case1001,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1001/Case1001_pred.nii.gz,ae2fe587aab22c612fc49862482967e44f7134440847af0199fda34f4116a425,3,212x251x6,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 300895, ""200"": 2804, ""500"": 5823, ""600"": 5058, ""1220"": 3177, ""2221"": 1515}"
MyoPS,Case1002,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1002/Case1002_pred.nii.gz,ec378fdc887f7974a27e9b8e0ed0b41389deadc9c76bd2a0e28bbe816bafaf80,3,227x257x6,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 333310, ""200"": 3207, ""500"": 5087, ""600"": 5589, ""1220"": 2207, ""2221"": 634}"
MyoPS,Case1003,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1003/Case1003_pred.nii.gz,93e8ca3b0519214351d673447974e322aa98bcc8e1c7c0f2e0928d9f5cc0ed4d,3,235x248x6,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 334179, ""200"": 3661, ""500"": 4656, ""600"": 3834, ""1220"": 1835, ""2221"": 1515}"
MyoPS,Case1004,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1004/Case1004_pred.nii.gz,100e8a0afe5b1033af15f488f37ad8d6784e8c22729355c504db097035e0a4aa,3,220x253x7,"1.7708334,1.7708334,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 369828, ""200"": 4591, ""500"": 6452, ""600"": 6056, ""1220"": 1263, ""2221"": 1430}"
MyoPS,Case1005,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1005/Case1005_pred.nii.gz,13234e6801ff8dbdd862e84771e86a5aa4f87f8f2622e154980f464716de9623,3,258x260x5,"1.7708334,1.7708334,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 324819, ""200"": 2362, ""500"": 3532, ""600"": 2587, ""1220"": 1223, ""2221"": 877}"
MyoPS,Case1006,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1006/Case1006_pred.nii.gz,a1f5e407c54f8cb11ad5c566b575cf47e7e57f6174371be2d15fd8617ecfbbb7,3,252x260x3,"1.6015625,1.6015625,10","0,0,0","1,0,0,0,1,0,0,0,1","{""0"": 190512, ""200"": 1928, ""500"": 1659, ""600"": 2047, ""1220"": 356, ""2221"": 58}"
MyoPS,Case1007,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1007/Case1007_pred.nii.gz,2d9f5a904094541dbde11b1c70383e698748f898f643831b7cb0843a08e36042,3,257x255x5,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 313194, ""200"": 2725, ""500"": 4252, ""600"": 4348, ""1220"": 2572, ""2221"": 584}"
MyoPS,Case1008,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1008/Case1008_pred.nii.gz,3e879f88d08da8ea7934f59b4b337db3b1c57b315a2a557ff56a9c1d47932eca,3,240x259x3,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 180855, ""200"": 1156, ""500"": 1571, ""600"": 554, ""1220"": 1264, ""2221"": 1080}"
MyoPS,Case1009,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1009/Case1009_pred.nii.gz,b35d9d6e5fea1dff50e16c57d19de81cb33b3f313c0b9fe2bd0988819f50260c,3,247x256x4,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 243742, ""200"": 1818, ""500"": 2234, ""600"": 2642, ""1220"": 1519, ""2221"": 973}"
MyoPS,Case1010,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1010/Case1010_pred.nii.gz,7cf428eccaff71abdd558a833a5803e05a442566e56b15e25bd7a884a871ccac,3,255x244x4,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 238847, ""200"": 2219, ""500"": 2633, ""600"": 2986, ""1220"": 1405, ""2221"": 790}"
MyoPS,Case1011,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1011/Case1011_pred.nii.gz,62ddc23ed8a07dfb64cdf4b99d85cb3f11970dee526a25800d911bcb2ab5e410,3,227x264x6,"1.7708334,1.7708334,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 336672, ""200"": 4691, ""500"": 7367, ""600"": 6700, ""1220"": 1654, ""2221"": 2484}"
MyoPS,Case1012,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1012/Case1012_pred.nii.gz,83688060a1facaf3be0aeeb25d52a644bc9edbf026cd178c9a640fed8c0ea8b7,3,160x158x4,"1.7708334,1.7708334,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 96259, ""200"": 856, ""500"": 1423, ""600"": 1660, ""1220"": 645, ""2221"": 277}"
MyoPS,Case1013,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1013/Case1013_pred.nii.gz,5ac9a23681c6d6a7b02abd3fdcd475bf950c2e93bcb058875240ecf7388138cd,3,169x168x6,"1.8645834,1.8645834,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 164619, ""200"": 1367, ""500"": 1915, ""600"": 1463, ""1220"": 491, ""2221"": 497}"
MyoPS,Case1014,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1014/Case1014_pred.nii.gz,abcfc703e6af022fdb0ce7d236d875d3acd56389afeab9e69e0f5abe7bae6783,3,232x262x6,"1.4804688,1.4804688,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 351614, ""200"": 4215, ""500"": 3682, ""600"": 4699, ""1220"": 489, ""2221"": 5}"
MyoPS,Case1015,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/MyoPS/Anonymous Center/Case1015/Case1015_pred.nii.gz,6441855e60c63665821d0201323c716a0b4ba23dd91e2de5c8488f42b5a21372,3,243x260x4,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 237898, ""200"": 2978, ""500"": 4099, ""600"": 5865, ""1220"": 984, ""2221"": 896}"
CineMyoPS,Case1001,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/CineMyoPS/Anonymous Center/Case1001/Case1001_pred.nii.gz,04de6ffb0753f5f9b490063d50944a9d71021bc0a70c4aea4e224a2474a6acb2,3,256x256x8,"1.3281,1.3281,5","0,0,-20","-1,0,0,0,1,0,0,0,-1","{""0"": 511777, ""200"": 3188, ""500"": 7070, ""2221"": 2253}"
CineMyoPS,Case1002,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/CineMyoPS/Anonymous Center/Case1002/Case1002_pred.nii.gz,9c9b9a3fa3dc367d3d28972fcdb5d223e3a4290e3d587c8c14c9d4fb02615c9f,3,256x256x10,"1.5937999,1.5937999,8","0,0,-32","-1,0,0,0,1,0,0,0,-1","{""0"": 636491, ""200"": 6443, ""500"": 11578, ""2221"": 848}"
CineMyoPS,Case1003,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/CineMyoPS/Anonymous Center/Case1003/Case1003_pred.nii.gz,d477d03ee2e3d2c810232fce73ab639fddf6f8ce38780258dcbdc9aa7932c23c,3,256x256x5,"1.5937999,1.5937999,8","0,0,-32","-1,0,0,0,1,0,0,0,-1","{""0"": 320992, ""200"": 2422, ""500"": 2474, ""2221"": 1792}"
CineMyoPS,Case1004,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/CineMyoPS/Anonymous Center/Case1004/Case1004_pred.nii.gz,4ffa47680f9dac246b00a824a7ad12616a1a27fe7d6de51bd5c7eacc73730be9,3,256x256x24,"1.3672,1.3672,4","0,0,-16","-1,0,0,0,1,0,0,0,-1","{""0"": 1526960, ""200"": 14869, ""500"": 27208, ""2221"": 3827}"
CineMyoPS,Case1005,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/CineMyoPS/Anonymous Center/Case1005/Case1005_pred.nii.gz,c2551e732038b0b6f797c1b922126646ff53cbdfac3890e172feae027e119ff9,3,256x256x28,"1.3672,1.3672,4","0,0,-16","-1,0,0,0,1,0,0,0,-1","{""0"": 1794935, ""200"": 13260, ""500"": 21441, ""2221"": 5372}"
CineMyoPS,Case1006,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/CineMyoPS/Anonymous Center/Case1006/Case1006_pred.nii.gz,4ed256d4401f4683c8dce6d49b627178a40e8ad2fb67375b92397748522653f1,3,256x256x20,"1.3281,1.3281,4","0,0,-16","-1,0,0,0,1,0,0,0,-1","{""0"": 1283219, ""200"": 8058, ""500"": 12435, ""2221"": 7008}"
CineMyoPS,Case1007,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/CineMyoPS/Anonymous Center/Case1007/Case1007_pred.nii.gz,9b8860c8ca1bf9c44827bdc4d7bd8d82cc8d41cec4ec83fd7a9492603c545599,3,256x256x20,"1.3281,1.3281,4","0,0,-16","-1,0,0,0,1,0,0,0,-1","{""0"": 1275517, ""200"": 7893, ""500"": 18329, ""2221"": 8981}"
CineMyoPS,Case1008,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/CineMyoPS/Anonymous Center/Case1008/Case1008_pred.nii.gz,1dd6a66df322dbd81af6371aec5e4fc41b2bb9814d6672a8bbb424cb6b24d5b0,3,256x256x20,"1.3672,1.3672,4","0,0,-16","-1,0,0,0,1,0,0,0,-1","{""0"": 1277563, ""200"": 10297, ""500"": 17591, ""2221"": 5269}"
CineMyoPS,Case1009,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/CineMyoPS/Anonymous Center/Case1009/Case1009_pred.nii.gz,a782ca2e8458602027ae53f1d5a91fbfe858485f2442997ab658a0eb9766c010,3,256x256x48,"1.3672,1.3672,1.8","0,0,-7.1999998","-1,0,0,0,1,0,0,0,-1","{""0"": 3056271, ""200"": 25652, ""500"": 51387, ""2221"": 12418}"
CineMyoPS,Case1010,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/CineMyoPS/Anonymous Center/Case1010/Case1010_pred.nii.gz,854d2a41d0564338db23462b8ff5af5b84a062f926a28b54b5842d7b171ff79d,3,256x256x28,"1.3281,1.3281,4","0,0,-16","-1,0,0,0,1,0,0,0,-1","{""0"": 1789501, ""200"": 12553, ""500"": 28581, ""2221"": 4373}"
CineMyoPS,Case1011,new_submission_raw,results/submissions/care_myocardium_validation/upload_ready/20260726_nnunet5f_control__nnUNet5F-control/submission_tree/CineMyoPS/Anonymous Center/Case1011/Case1011_pred.nii.gz,752ecea4e0cbc05ec6907b49d25e01282359bee7fabdfce1f1cc794d391c9e38,3,256x256x3,"1.25,1.25,23","-123.79002,-69.893265,-171.79622","0.78444761,0.2463808,-0.56915593,0.58992004,-0.5796441,0.56214509,0.19140608,0.77672982,0.60004535","{""0"": 192345, ""200"": 1324, ""500"": 2344, ""2221"": 595}"
