tensor_name,shape,dtype,numel,sha256
edema_dictionary.negative_memory_lge_bright_artifact,2x32,torch.float32,64,3cf9f539bc91822254ccc8e1da6a8b707c79a3eae995c4456fa9fae89582f5d2
edema_dictionary.negative_memory_t2_texture_noise,2x32,torch.float32,64,132b15388782d587c911f2fdd3cb0d3e56c5b3dea4b8712268bde9c7aa4282e2
edema_dictionary.negative_memory_remote_fp_island,2x32,torch.float32,64,342e1ea8018714e309e475719a357201fc6c6ad11aacda4a45fc219a6252fbb5
edema_dictionary.embedding.weight,32x32x1x1x1,torch.float32,1024,daee52ee06a2aba33889f7acdf30fdcb906a647435c6697292eeb340d3b93a9c
edema_dictionary.conv_score.weight,1x32x1x1x1,torch.float32,32,170a0506477f30584939b747a0c3c02f1c74d2064f5793c84102884946fb5821
edema_dictionary.conv_score.bias,1,torch.float32,1,1c24d9140c32e5c81fb259854796db82c8a7dd492fb104d35ab9ca63e57cab9b
edema_dictionary.discovery_fusion.0.weight,32x37x1x1x1,torch.float32,1184,1fde26344ce1923ad8062ac0cb2b173e958019cac4b92ff56584adc52ea6d104
edema_dictionary.discovery_fusion.1.weight,32,torch.float32,32,8b4c7660f360dd1829b4d6871c90fa36642b01cc08a17c4f6f105b67e425e074
edema_dictionary.discovery_fusion.1.bias,32,torch.float32,32,ebafed9c5a28f12f09b03278741d750466c874953f3c8d5b61a384281fbf94e4
edema_dictionary.discovery_fusion.3.weight,1x32x1x1x1,torch.float32,32,e04b9f9184a61e7d47fb2232f7eeb865f8cd324f70f9289d7678c8cc043588cf
edema_dictionary.discovery_fusion.3.bias,1,torch.float32,1,cbf0112bebef93a474514ff9cb4f4f83468276effa377c9ba6ef31d8bff2a3dd
edema_dictionary.confirmation_fusion.0.weight,32x7x1x1x1,torch.float32,224,d916cba60a8c66752c1fd4f2c33dc652a63b8679143dcef0a6d82fdda79589f7
edema_dictionary.confirmation_fusion.1.weight,32,torch.float32,32,8b4c7660f360dd1829b4d6871c90fa36642b01cc08a17c4f6f105b67e425e074
edema_dictionary.confirmation_fusion.1.bias,32,torch.float32,32,ebafed9c5a28f12f09b03278741d750466c874953f3c8d5b61a384281fbf94e4
edema_dictionary.confirmation_fusion.3.weight,1x32x1x1x1,torch.float32,32,1e06c7271378c9b7e3259d80afe1f3d778364fdc7ec1d486c8ddd1e0ddbaace1
edema_dictionary.confirmation_fusion.3.bias,1,torch.float32,1,1cfc3b8740ad4437a7bd0f8af7079fb75824565e1af3d661bf2f74f13a3d3477
edema_dictionary.proposal_reliability.weight,2x7x1x1x1,torch.float32,14,625f001687919a5871434d9867a48ffc1ff2f1cf5a12c7c5a613b21eceb22328
edema_dictionary.proposal_reliability.bias,2,torch.float32,2,f2dfc2f9a1b64f24783e12fa31db8b72a5bf4cbb9a634ad8dd894bdd63ae864b
cross_fitted_memory.positive_delta,2x4x8x32,torch.float32,2048,e7215fa8b154a770bef5c3f48d5ae0369f2189301b3beb82b9328080ab8a9821
cross_fitted_memory.negative_delta,2x4x12x32,torch.float32,3072,01489d0c75975c2827c41999dcea294041ea851c66a49a102ab55289e98beb2e
cross_fitted_memory.positive_mu,2x4x8x32,torch.float32,2048,c247d9db216e4ffd3e4b64383e650d856a040ef186bb6607d1d029f8e27eb571
cross_fitted_memory.negative_mu,2x4x12x32,torch.float32,3072,fd8905fcb27cbef086fcd86607d8c6f10135e10cf2bfb2c9d9d85b91d9db73b1
cross_fitted_memory.positive_counts,2x4x8,torch.int64,64,143051212749538d87cd94e576e700c3a753310acc1558a0c2e418904771b49a
cross_fitted_memory.negative_counts,2x4x12,torch.int64,96,c6e7f00b7688c843bb73ea79eb11998c580c89762e09987707ff053d51bacf7a
