case_id,center,oof_fold,feature_cache_path,feature_cache_sha256,checkpoint_path,checkpoint_sha256,case_membership_status,f0_shape,f1_shape,soft_context_shape,status
Case3026,CenterC,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3026.npz,00b04712525829bda5103a557e69950b72d78b5ded614256caa378ffba87e152,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x14x239x252,64x16x128x128,14x239x252,PASS
Case3034,CenterC,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3034.npz,35195eaf2548320934f830f02dfe254d1d39394e137b84320da42aed18b3aa2b,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x18x244x246,64x20x128x128,18x244x246,PASS
Case3038,CenterC,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3038.npz,60d23977a8da4fc0d0f467a94122b2573e0fccaa3dc2286a8f70d3e4fd714343,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x8x244x269,64x8x128x160,8x244x269,PASS
Case3040,CenterC,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3040.npz,9b07a304e07cdda9518ad4b23a1a7a003e025fbbd0afb0e96d6204cc659c2752,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x14x261x260,64x16x160x160,14x261x260,PASS
Case3044,CenterC,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3044.npz,80bcc786e97d5ea3a3d807e30032519cfcc0c7144086589e13e2b1680daff2f7,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x14x266x261,64x16x160x160,14x266x261,PASS
Case2001,CenterB,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2001.npz,63b501ca0a19bddeadcd781987e6e8a948ca88d58b65c88189db3cee6822619d,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x12x249x250,64x12x128x128,12x249x250,PASS
Case2010,CenterB,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2010.npz,6414583deaf3253e01e7175f85c908e15f86e05fd3da6491faf49ac375254488,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x12x268x265,64x12x160x160,12x268x265,PASS
Case2016,CenterB,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2016.npz,56bb1d5571eb72b9960240ca34da1f421bcfea7551bc1d9ad61c561ed74cb7d5,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x10x335x329,64x12x192x192,10x335x329,PASS
Case2024,CenterB,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2024.npz,dc4695b14253574e39b2b7059ed046a7f40910d8cf111ad7a9038b1a7fa542ab,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x12x251x256,64x12x128x128,12x251x256,PASS
Case2026,CenterB,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2026.npz,31df32d9b218d5ba0e901690c49eba57838211fba5f23a2a606c73d81f067e6d,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x10x220x229,64x12x128x128,10x220x229,PASS
Case2027,CenterB,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2027.npz,d05a77bb785879a4d01766e8bb125983eab598f84987f8a0e04272b369cf3f2f,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x12x256x250,64x12x128x128,12x256x250,PASS
Case2030,CenterB,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2030.npz,b9473cb669637529a8b85a2d7da4e3b2ac47f92278861873919933d1e10f45f6,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x6x255x244,64x8x128x128,6x255x244,PASS
Case3002,CenterC,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3002.npz,78b4d35bb4067b144fc23eeba32a75ae9e60b23b927b24f30d2e2f9ba2dff161,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x14x266x253,64x16x160x128,14x266x253,PASS
Case3007,CenterC,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3007.npz,4c0e443f94be07c99cbddf2415558c3060d61e57f38dbf153aa76ba6d9c97d0a,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x14x247x275,64x16x128x160,14x247x275,PASS
Case3014,CenterC,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3014.npz,3a0a37701a8c3b8f02899e96e3ba0a165765aab9ea9a0c88bd3450b4c83e9500,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x14x242x250,64x16x128x128,14x242x250,PASS
Case3018,CenterC,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3018.npz,a591f48a020813f74423c013b322b57ae52c91712e883abf6f211935979a5c83,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x14x262x261,64x16x160x160,14x262x261,PASS
Case3025,CenterC,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3025.npz,dafa7d7bfbc4abee3cb2a3398d19f2150f544942e2f501f6cff584a12ed405cc,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x11x241x265,64x12x128x160,11x241x265,PASS
Case3028,CenterC,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3028.npz,55943808c9f079cb49f8d691608bcf1e85b61321f4e578a60a202e1bd43bd001,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x14x271x271,64x16x160x160,14x271x271,PASS
Case3030,CenterC,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3030.npz,0bb7f1924f4444e8c50b975a563c2f791f51eb7fb4540fff6ec65e3680eea6dc,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x13x231x248,64x16x128x128,13x231x248,PASS
Case3033,CenterC,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3033.npz,c10e2a36eb674e8f74e60bb3c9cbff5b80349a8bae35a06c9d176a6a690076ed,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x14x244x252,64x16x128x128,14x244x252,PASS
Case3041,CenterC,1,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3041.npz,aff2ed42996a298552b197ef2c95cceafc1201c96c18c262803b527164a20078,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,5310569ff62f2f9a6ff2bc7dd3754404140071427a2025caf5e25d2916cfe400,PASS,32x14x246x253,64x16x128x128,14x246x253,PASS
Case2006,CenterB,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2006.npz,7f4fbff4aa717be5a12c5d320187d74de1088c2bb0e48489cc36b5c61d4f02c1,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x12x249x254,64x12x128x128,12x249x254,PASS
Case2009,CenterB,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2009.npz,4d14d28d27f6aef4b13329d9ace5d4b5a63c47036c058a2685ba5f7a4095cab0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x8x252x253,64x8x128x128,8x252x253,PASS
Case2014,CenterB,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2014.npz,72ca594d142604c3f519d44919f4a8a1805a9883ae5613f918c9cea436513248,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x10x276x271,64x12x160x160,10x276x271,PASS
Case2019,CenterB,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2019.npz,e75cb759458a340371990c84b15fe49ee4a4eefcdbafe67f875e1304cddb9708,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x10x207x209,64x12x128x128,10x207x209,PASS
Case2022,CenterB,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2022.npz,0381167a798f794661a59c91d5c9502643feb487ffdd6daa1bdf1cc8c514707e,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x12x267x251,64x12x160x128,12x267x251,PASS
Case2023,CenterB,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2023.npz,82d36628d5ef55db15ae8ee0bbcf17504e05cad3eb44c9072543a3d38ad71283,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x10x250x210,64x12x128x128,10x250x210,PASS
Case2034,CenterB,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2034.npz,dce40f5b9de608d6a0f1d927683e6ffcd18c2b7343ed42ac99f4e54ff45d6447,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x10x249x219,64x12x128x128,10x249x219,PASS
Case3006,CenterC,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3006.npz,95b88af2d018a06107ddf6b5d27da4b5361c3106a41167a92eb35f152c71c7cc,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x14x224x224,64x16x128x128,14x224x224,PASS
Case3008,CenterC,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3008.npz,583e127c725fa429d70c042a446d323d493d655db0305100b890eef6ed34b705,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x14x261x261,64x16x160x160,14x261x261,PASS
Case3015,CenterC,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3015.npz,a7232fd37ae2f60fda3e755191a679ce4a68a1eb2a881dd77587ee5b4d73887a,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x14x255x254,64x16x128x128,14x255x254,PASS
Case3016,CenterC,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3016.npz,60a8d3a4a407e83dff1cd14a98f62c5577c2e9f55c8382b5d897b928f904b857,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x11x249x249,64x12x128x128,11x249x249,PASS
Case3017,CenterC,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3017.npz,b7fb6afc94d2a583312966197fc623cf861fc432ce0d6e5d2a7154b985e46e7c,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x14x247x253,64x16x128x128,14x247x253,PASS
Case3024,CenterC,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3024.npz,42b40cafa945e7bf1a990f418b9f1d14f5a18a6643dd0ed1229ebd9c6ad0dac2,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x10x215x221,64x12x128x128,10x215x221,PASS
Case3027,CenterC,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3027.npz,d743505c3e8421c1eefab48d7a79a5b3d339d27f99e4d10850a105e0236230c2,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x14x251x250,64x16x128x128,14x251x250,PASS
Case3035,CenterC,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3035.npz,77321c72e63861e079faf309d30e7864ef262579ee2542fb8b33a6c3ab6e7721,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x14x265x264,64x16x160x160,14x265x264,PASS
Case3037,CenterC,2,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3037.npz,312c857e44c0be0c9859ae2b1f0bcbd4084197b22201d5e64945adf8c5512c61,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,31470ab242055b0af5c783f0f522bc8e490199cb2b4d42f5d0cefffb41de019b,PASS,32x8x253x231,64x8x128x128,8x253x231,PASS
Case2004,CenterB,3,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2004.npz,7008d600593e82b2bd00f70077604b32a421e628888243b866c06d80fbc8429f,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/checkpoint_final.pth,0c27009930261c93a4890c66aa7f88f226a5f8b32a3358e43dd10d357b6fdeb8,PASS,32x12x250x241,64x12x128x128,12x250x241,PASS
Case2005,CenterB,3,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2005.npz,601f01f3052ca6b58d5047c7afada3ea086ee252e2cbaf2f56b31a26cb51ae8c,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/checkpoint_final.pth,0c27009930261c93a4890c66aa7f88f226a5f8b32a3358e43dd10d357b6fdeb8,PASS,32x10x258x255,64x12x160x128,10x258x255,PASS
Case2012,CenterB,3,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2012.npz,58e46e30e0df4bf31d1377106d7cc2108082d024a32780c285af1ee8cda24d08,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/checkpoint_final.pth,0c27009930261c93a4890c66aa7f88f226a5f8b32a3358e43dd10d357b6fdeb8,PASS,32x1x332x330,64x4x192x192,1x332x330,PASS
Case2018,CenterB,3,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2018.npz,9fe1cb5fd36505f26a11b317c62d96d13964f4c325f42f6a8d86670cd722fce6,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/checkpoint_final.pth,0c27009930261c93a4890c66aa7f88f226a5f8b32a3358e43dd10d357b6fdeb8,PASS,32x12x337x335,64x12x192x192,12x337x335,PASS
Case2021,CenterB,3,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2021.npz,448c6a12f3b5c38d03feaa5fa4c1e671d33aee5befe72e0fef9cf91f46e5f814,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/checkpoint_final.pth,0c27009930261c93a4890c66aa7f88f226a5f8b32a3358e43dd10d357b6fdeb8,PASS,32x10x282x283,64x12x160x160,10x282x283,PASS
