srr_variant,metric_name,metric,n,delta_mean,help_count,harm_count,neutral_count,not_evaluable_count,matrix_variant
srr_propref_shared_dual_dict__checkpoint_final__pathology_aware,myops_edema,remote_fp_count,4,0.0,0,0,4,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__pathology_aware,myops_scar,component_count,4,0.0,0,0,4,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__pathology_aware,myops_scar,dice,4,-0.00011267186434654741,1,1,2,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__pathology_aware,myops_scar,hd95,4,0.020657492227959207,1,1,2,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__pathology_aware,myops_scar,remote_fp_count,4,0.0,0,0,4,0,srr_propref_shared_dual_dict
srr_v25_no_anatomy_roi__checkpoint_final__argmax,myops_edema,component_count,4,-0.25,1,0,3,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__argmax,myops_edema,dice,4,-0.0001452725331393262,1,2,1,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__argmax,myops_edema,hd95,4,0.0,0,0,4,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__argmax,myops_edema,remote_fp_count,4,0.0,0,0,4,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__argmax,myops_scar,component_count,4,0.0,0,0,4,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__argmax,myops_scar,dice,4,-0.00018052739892043812,1,2,1,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__argmax,myops_scar,hd95,4,0.020657492227959207,1,1,2,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__argmax,myops_scar,remote_fp_count,4,0.0,0,0,4,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__pathology_aware,myops_edema,component_count,4,-0.25,1,0,3,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__pathology_aware,myops_edema,dice,4,-0.0001452725331393262,1,2,1,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__pathology_aware,myops_edema,hd95,4,0.0,0,0,4,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__pathology_aware,myops_edema,remote_fp_count,4,0.0,0,0,4,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__pathology_aware,myops_scar,component_count,4,0.0,0,0,4,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__pathology_aware,myops_scar,dice,4,-0.00011267186434654741,1,1,2,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__pathology_aware,myops_scar,hd95,4,0.020657492227959207,1,1,2,0,srr_v25_no_anatomy_roi
srr_v25_no_anatomy_roi__checkpoint_final__pathology_aware,myops_scar,remote_fp_count,4,0.0,0,0,4,0,srr_v25_no_anatomy_roi
srr_v25_no_anchor__checkpoint_final__argmax,myops_edema,component_count,4,4779.75,0,3,1,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__argmax,myops_edema,dice,4,-0.31118537492318804,0,3,1,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__argmax,myops_edema,hd95,4,123.61988604765388,0,3,1,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__argmax,myops_edema,remote_fp_count,4,4635.5,0,3,1,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__argmax,myops_scar,component_count,4,864.75,0,4,0,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__argmax,myops_scar,dice,4,-0.6082900520110177,0,4,0,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__argmax,myops_scar,hd95,4,147.61113167638794,0,4,0,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__argmax,myops_scar,remote_fp_count,4,801.0,0,4,0,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__pathology_aware,myops_edema,component_count,4,4779.75,0,3,1,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__pathology_aware,myops_edema,dice,4,-0.31118537492318804,0,3,1,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__pathology_aware,myops_edema,hd95,4,123.61988604765388,0,3,1,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__pathology_aware,myops_edema,remote_fp_count,4,4635.5,0,3,1,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__pathology_aware,myops_scar,component_count,4,864.75,0,4,0,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__pathology_aware,myops_scar,dice,4,-0.6082900520110177,0,4,0,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__pathology_aware,myops_scar,hd95,4,147.61113167638794,0,4,0,0,srr_v25_no_anchor
srr_v25_no_anchor__checkpoint_final__pathology_aware,myops_scar,remote_fp_count,4,801.0,0,4,0,0,srr_v25_no_anchor
srr_v25_no_local_refine__checkpoint_final__argmax,myops_edema,component_count,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__argmax,myops_edema,dice,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__argmax,myops_edema,hd95,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__argmax,myops_edema,remote_fp_count,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__argmax,myops_scar,component_count,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__argmax,myops_scar,dice,4,-6.785553457389071e-05,0,1,3,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__argmax,myops_scar,hd95,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__argmax,myops_scar,remote_fp_count,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__pathology_aware,myops_edema,component_count,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__pathology_aware,myops_edema,dice,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__pathology_aware,myops_edema,hd95,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__pathology_aware,myops_edema,remote_fp_count,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__pathology_aware,myops_scar,component_count,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__pathology_aware,myops_scar,dice,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__pathology_aware,myops_scar,hd95,4,0.0,0,0,4,0,srr_v25_no_local_refine
srr_v25_no_local_refine__checkpoint_final__pathology_aware,myops_scar,remote_fp_count,4,0.0,0,0,4,0,srr_v25_no_local_refine
