case_id,fold,geometry_status,prediction_path,reference_path,size_xyz,space,spacing_xyz
Case1070,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1070.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1070.nii.gz,,compact,
Case1073,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1073.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1073.nii.gz,,official,
Case1073,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1073.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1073.nii.gz,,compact,
Case1080,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1080.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1080.nii.gz,,official,
Case1080,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1080.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1080.nii.gz,,compact,
Case2002,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case2002.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2002.nii.gz,,official,
Case2002,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case2002.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2002.nii.gz,,compact,
Case2007,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case2007.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2007.nii.gz,,official,
Case2007,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case2007.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2007.nii.gz,,compact,
Case2008,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case2008.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2008.nii.gz,,official,
Case2008,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case2008.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2008.nii.gz,,compact,
Case2017,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case2017.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2017.nii.gz,,official,
Case2017,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case2017.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2017.nii.gz,,compact,
Case2020,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case2020.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2020.nii.gz,,official,
Case2020,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case2020.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2020.nii.gz,,compact,
Case2031,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case2031.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2031.nii.gz,,official,
Case2031,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case2031.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2031.nii.gz,,compact,
Case2033,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case2033.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2033.nii.gz,,official,
Case2033,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case2033.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2033.nii.gz,,compact,
Case3004,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case3004.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3004.nii.gz,,official,
Case3004,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case3004.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3004.nii.gz,,compact,
Case3011,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case3011.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3011.nii.gz,,official,
Case3011,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case3011.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3011.nii.gz,,compact,
Case3012,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case3012.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3012.nii.gz,,official,
Case3012,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case3012.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3012.nii.gz,,compact,
Case3023,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case3023.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3023.nii.gz,,official,
Case3023,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case3023.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3023.nii.gz,,compact,
Case3026,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case3026.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3026.nii.gz,,official,
Case3026,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case3026.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3026.nii.gz,,compact,
Case3034,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case3034.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3034.nii.gz,,official,
Case3034,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case3034.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3034.nii.gz,,compact,
Case3038,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case3038.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3038.nii.gz,,official,
Case3038,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case3038.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3038.nii.gz,,compact,
Case3040,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case3040.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3040.nii.gz,,official,
Case3040,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case3040.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3040.nii.gz,,compact,
Case3044,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case3044.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3044.nii.gz,,official,
Case3044,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case3044.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3044.nii.gz,,compact,
Case5005,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case5005.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case5005.nii.gz,,official,
Case5005,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case5005.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case5005.nii.gz,,compact,
Case6001,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case6001.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case6001.nii.gz,,official,
Case6001,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case6001.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case6001.nii.gz,,compact,
Case6010,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case6010.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case6010.nii.gz,,official,
Case6010,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case6010.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case6010.nii.gz,,compact,
Case7005,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case7005.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case7005.nii.gz,,official,
Case7005,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case7005.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case7005.nii.gz,,compact,
Case8003,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case8003.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8003.nii.gz,,official,
Case8003,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case8003.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8003.nii.gz,,compact,
Case8011,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case8011.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8011.nii.gz,,official,
Case8011,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case8011.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8011.nii.gz,,compact,
Case8015,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case8015.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8015.nii.gz,,official,
Case8015,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case8015.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8015.nii.gz,,compact,
Case8019,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case8019.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8019.nii.gz,,official,
Case8019,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case8019.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8019.nii.gz,,compact,
Case8021,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case8021.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8021.nii.gz,,official,
Case8021,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case8021.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8021.nii.gz,,compact,
Case8022,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case8022.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8022.nii.gz,,official,
Case8022,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case8022.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8022.nii.gz,,compact,
Case8023,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case8023.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8023.nii.gz,,official,
Case8023,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case8023.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8023.nii.gz,,compact,
Case1001,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/official/Case1001.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1001.nii.gz,"[256, 256, 9]",official,"[1.3672000169754028, 1.3672000169754028, 11.0]"
Case1001,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/compact/Case1001.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1001.nii.gz,"[256, 256, 9]",compact,"[1.3672000169754028, 1.3672000169754028, 11.0]"
Case1003,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/official/Case1003.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1003.nii.gz,"[256, 256, 9]",official,"[1.3672000169754028, 1.3672000169754028, 12.0]"
Case1003,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/compact/Case1003.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1003.nii.gz,"[256, 256, 9]",compact,"[1.3672000169754028, 1.3672000169754028, 12.0]"
Case1004,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/official/Case1004.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1004.nii.gz,"[256, 256, 32]",official,"[1.3672000169754028, 1.3672000169754028, 4.0]"
Case1004,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/compact/Case1004.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1004.nii.gz,"[256, 256, 32]",compact,"[1.3672000169754028, 1.3672000169754028, 4.0]"
Case1005,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/official/Case1005.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1005.nii.gz,"[256, 256, 16]",official,"[1.3672000169754028, 1.3672000169754028, 5.0]"
Case1005,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/compact/Case1005.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1005.nii.gz,"[256, 256, 16]",compact,"[1.3672000169754028, 1.3672000169754028, 5.0]"
Case1006,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/official/Case1006.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1006.nii.gz,"[256, 256, 24]",official,"[1.3672000169754028, 1.3672000169754028, 5.0]"
Case1006,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/compact/Case1006.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1006.nii.gz,"[256, 256, 24]",compact,"[1.3672000169754028, 1.3672000169754028, 5.0]"
Case1036,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/official/Case1036.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1036.nii.gz,"[256, 256, 20]",official,"[1.4062999486923218, 1.4062999486923218, 5.0]"
Case1036,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/compact/Case1036.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1036.nii.gz,"[256, 256, 20]",compact,"[1.4062999486923218, 1.4062999486923218, 5.0]"
Case1038,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/official/Case1038.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1038.nii.gz,"[256, 256, 20]",official,"[1.6405999660491943, 1.6405999660491943, 5.0]"
Case1038,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/compact/Case1038.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1038.nii.gz,"[256, 256, 20]",compact,"[1.6405999660491943, 1.6405999660491943, 5.0]"
Case1043,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/official/Case1043.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1043.nii.gz,"[256, 256, 6]",official,"[1.6016000509262085, 1.6016000509262085, 13.5]"
Case1043,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/compact/Case1043.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1043.nii.gz,"[256, 256, 6]",compact,"[1.6016000509262085, 1.6016000509262085, 13.5]"
Case1054,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/official/Case1054.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1054.nii.gz,"[256, 256, 20]",official,"[1.3280999660491943, 1.3280999660491943, 5.0]"
Case1054,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/compact/Case1054.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1054.nii.gz,"[256, 256, 20]",compact,"[1.3280999660491943, 1.3280999660491943, 5.0]"
Case1056,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/official/Case1056.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1056.nii.gz,"[256, 256, 31]",official,"[1.3672000169754028, 1.3672000169754028, 4.0]"
Case1056,1,PASS,results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/oof_predictions/compact/Case1056.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1056.nii.gz,"[256, 256, 31]",compact,"[1.3672000169754028, 1.3672000169754028, 4.0]"
