phase,checkpoint_path,checkpoint_sha256,state_dict_sha256,hash_receipt_scope,r1_clean_reload_obligation,optimizer_step,scheduled_checkpoint,recoverable,exclusion_reason,parent_training_fingerprint_sha256,source_inventory,checkpoint_name,assignment_index,assigned_partition,logical_run_id,attempt_credit
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_6135.pt,115d3ecf9d3e6e3094d5ef9b73a019af34ff4f1597d5a1cbffe1ebd3d6d94602,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,6135,true,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_6135,10,htzhulab,route_C_round03_R1_checkpoint_115d3ecf9d3e6e3094d5ef9b73a019af34ff4f1597d5a1cbffe1ebd3d6d94602,pending
d0_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_11662.pt,152a086a53913218f75f952fcea034a4ac791871f87d2ea25460c4b25eb51db9,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,11662,true,true,,4b6767d4eda94c5efafdfe6292aba3b90ab98ae385df1d37badec1af3f8b6a2e,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_11662,11,a100-gpu,route_C_round03_R1_checkpoint_152a086a53913218f75f952fcea034a4ac791871f87d2ea25460c4b25eb51db9,pending
no_context_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_no_nnunet_context_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_18000.pt,1599b8f877510ce35b71e10701a0451716831ffc6595305a3796c0aded196b45,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,18000,true,true,,f54db56279cb32e1566dca97a8cd242a19876759fbdfebd5da7a40fbfed49661,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_18000,12,htzhulab,route_C_round03_R1_checkpoint_1599b8f877510ce35b71e10701a0451716831ffc6595305a3796c0aded196b45,pending
d0_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_8330.pt,186840241d99cbd86c7f823a4916efe7e20702cfe7131e473b1db08538bb50ab,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,8330,true,true,,4b6767d4eda94c5efafdfe6292aba3b90ab98ae385df1d37badec1af3f8b6a2e,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_8330,13,a100-gpu,route_C_round03_R1_checkpoint_186840241d99cbd86c7f823a4916efe7e20702cfe7131e473b1db08538bb50ab,pending
hard_negative_refresh,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_hard_negative_refresh/checkpoints/fold_0/propref_config/checkpoint_validation_step_8000.pt,1ce08323201f69cd273716297e9b26b21a6f20dea9992d461af93b1858ab00b6,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,8000,true,true,,58d300460614cd4919218a672575ed2c80719f62640781646ade96966c13d536,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_8000,14,htzhulab,route_C_round03_R1_checkpoint_1ce08323201f69cd273716297e9b26b21a6f20dea9992d461af93b1858ab00b6,pending
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_42945.pt,1d17104d68eb0e5adf4456ae0d851bd5c11f7d475ad2c3ac8e4d55ebe4c67db5,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,42945,true,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_42945,15,a100-gpu,route_C_round03_R1_checkpoint_1d17104d68eb0e5adf4456ae0d851bd5c11f7d475ad2c3ac8e4d55ebe4c67db5,pending
d1_spatial_br2,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d1_spatial_br2_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_21658.pt,219cec3fb3c40e12e5f22bae6ba56d9334c66228a113d31fd73b36442d1de8ab,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,21658,true,true,,498c5667fbfebf13aee7aa74819df9d408fc9573bd1f32c0af2cc7237b9e6796,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_21658,16,htzhulab,route_C_round03_R1_checkpoint_219cec3fb3c40e12e5f22bae6ba56d9334c66228a113d31fd73b36442d1de8ab,pending
alignment_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_best.pt,21ae0a2ef5cb4b06bdcd6d5439318136c8e89ad9719b72eb6fcbc2328ac51c35,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,,best_or_final,true,,1e0dfe0ada3575f8c193400cc156ca65cbbef25cbe4c3e0f40e810b9b9b25f51,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_best,17,a100-gpu,route_C_round03_R1_checkpoint_21ae0a2ef5cb4b06bdcd6d5439318136c8e89ad9719b72eb6fcbc2328ac51c35,pending
d1_spatial_br2,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d1_spatial_br2_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_13328.pt,2794b89d5f797432cb628396ef97e5304818f5f1aff86f44cf0d267a89116116,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,13328,true,true,,498c5667fbfebf13aee7aa74819df9d408fc9573bd1f32c0af2cc7237b9e6796,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_13328,18,htzhulab,route_C_round03_R1_checkpoint_2794b89d5f797432cb628396ef97e5304818f5f1aff86f44cf0d267a89116116,pending
hard_negative_refresh,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_hard_negative_refresh/checkpoints/fold_0/propref_config/checkpoint_validation_step_4000.pt,2889742d7d4a4f9b1b3c250c7d2ffe56046a0d4b791dff5daf55618a190dd68d,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,4000,true,true,,58d300460614cd4919218a672575ed2c80719f62640781646ade96966c13d536,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_4000,19,a100-gpu,route_C_round03_R1_checkpoint_2889742d7d4a4f9b1b3c250c7d2ffe56046a0d4b791dff5daf55618a190dd68d,pending
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_best.pt,297932a463e31c57e8dcf0035a101449c570e4e725ee76755a82871ea98bd219,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,,best_or_final,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_best,20,htzhulab,route_C_round03_R1_checkpoint_297932a463e31c57e8dcf0035a101449c570e4e725ee76755a82871ea98bd219,pending
d2_hierarchical_psip,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_9996.pt,2988eae4b8f3cf6f6497ada735325a2664a003984ce76f072c3996976f37cd47,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,9996,true,true,,248b922aafc8f2616a3f7ebedc2ed0e20d3c96ff0d9b2b9233daa5a479d115bc,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_9996,21,a100-gpu,route_C_round03_R1_checkpoint_2988eae4b8f3cf6f6497ada735325a2664a003984ce76f072c3996976f37cd47,pending
d0_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_18326.pt,2bbd5280653c694641402b2e12afa4c3e6e2653c7ba26c1f10d8cc0d8e75e4d0,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,18326,true,true,,4b6767d4eda94c5efafdfe6292aba3b90ab98ae385df1d37badec1af3f8b6a2e,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_18326,22,htzhulab,route_C_round03_R1_checkpoint_2bbd5280653c694641402b2e12afa4c3e6e2653c7ba26c1f10d8cc0d8e75e4d0,pending
alignment_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_10000.pt,2d184263c93a94973a34b1564a07da2d40b9d862d9d2ea7a50e9b0021e17ff5b,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,10000,true,true,,1e0dfe0ada3575f8c193400cc156ca65cbbef25cbe4c3e0f40e810b9b9b25f51,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_10000,23,a100-gpu,route_C_round03_R1_checkpoint_2d184263c93a94973a34b1564a07da2d40b9d862d9d2ea7a50e9b0021e17ff5b,pending
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_4090.pt,3115704c0364f45c6ddf101cc78985745efa2672ba3a51ed174a5df4073a212f,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,4090,true,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_4090,24,htzhulab,route_C_round03_R1_checkpoint_3115704c0364f45c6ddf101cc78985745efa2672ba3a51ed174a5df4073a212f,pending
d2_hierarchical_psip,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_14994.pt,313c344600b26ca67406946e472bc99226681ff8e0824fd3144fe6944b026bd3,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,14994,true,true,,248b922aafc8f2616a3f7ebedc2ed0e20d3c96ff0d9b2b9233daa5a479d115bc,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_14994,25,a100-gpu,route_C_round03_R1_checkpoint_313c344600b26ca67406946e472bc99226681ff8e0824fd3144fe6944b026bd3,pending
d1_spatial_br2,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d1_spatial_br2_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_22500.pt,3195fddb67380873d80564a71bf999780772b7041e7d462a6b7d1b0b011a1eee,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,22500,true,true,,498c5667fbfebf13aee7aa74819df9d408fc9573bd1f32c0af2cc7237b9e6796,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_22500,26,htzhulab,route_C_round03_R1_checkpoint_3195fddb67380873d80564a71bf999780772b7041e7d462a6b7d1b0b011a1eee,pending
hard_negative_refresh,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_hard_negative_refresh/checkpoints/fold_0/propref_config/checkpoint_validation_step_20000.pt,31f655c5ac4d58a7f86ee52ffe910db7da8177251092c6359c93d74b97644162,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,20000,true,true,,58d300460614cd4919218a672575ed2c80719f62640781646ade96966c13d536,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_20000,27,a100-gpu,route_C_round03_R1_checkpoint_31f655c5ac4d58a7f86ee52ffe910db7da8177251092c6359c93d74b97644162,pending
d2_hierarchical_psip,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_24990.pt,320e7b49fbd8141a4f9bd41c512038e27b69e310c26a274464c29688102fb5dd,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,24990,true,true,,248b922aafc8f2616a3f7ebedc2ed0e20d3c96ff0d9b2b9233daa5a479d115bc,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_24990,28,htzhulab,route_C_round03_R1_checkpoint_320e7b49fbd8141a4f9bd41c512038e27b69e310c26a274464c29688102fb5dd,pending
d2_hierarchical_psip,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_16660.pt,331e4fff6d4dcc711f0abd0eb4199ed571646312404e4323fe1d9b8e9f3c8ff1,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,16660,true,true,,248b922aafc8f2616a3f7ebedc2ed0e20d3c96ff0d9b2b9233daa5a479d115bc,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_16660,29,a100-gpu,route_C_round03_R1_checkpoint_331e4fff6d4dcc711f0abd0eb4199ed571646312404e4323fe1d9b8e9f3c8ff1,pending
d2_hierarchical_psip,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_1666.pt,33a64cd26e9a3041105d0bee1a71155b09c4f77ff61556acd5a0cf1e021d53ba,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,1666,true,true,,248b922aafc8f2616a3f7ebedc2ed0e20d3c96ff0d9b2b9233daa5a479d115bc,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_1666,30,htzhulab,route_C_round03_R1_checkpoint_33a64cd26e9a3041105d0bee1a71155b09c4f77ff61556acd5a0cf1e021d53ba,pending
