phase,checkpoint_name,assigned_partition,job_id,attempt_partition,attempt_id,winner_lock_path,canonical_runtime_root,state,exit_code,attempt_credit
d3_full_propref,checkpoint_validation_step_6135,htzhulab,59496652,htzhulab,htzhulab__assign_htzhulab__job_59496652__task_10__pid_1338739,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/115d3ecf9d3e6e3094d5ef9b73a019af34ff4f1597d5a1cbffe1ebd3d6d94602_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d3_full_propref/checkpoint_validation_step_6135,COMPLETED,0,full
d0_control,checkpoint_validation_step_11662,a100-gpu,59497949,htzhulab,htzhulab__assign_a100-gpu__job_59497949__task_5__pid_1375195,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/152a086a53913218f75f952fcea034a4ac791871f87d2ea25460c4b25eb51db9_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d0_control/checkpoint_validation_step_11662,COMPLETED,0,full
no_context_control,checkpoint_validation_step_18000,htzhulab,59496672,htzhulab,htzhulab__assign_htzhulab__job_59496672__task_12__pid_1339212,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/1599b8f877510ce35b71e10701a0451716831ffc6595305a3796c0aded196b45_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/no_context_control/checkpoint_validation_step_18000,COMPLETED,0,full
d0_control,checkpoint_validation_step_8330,a100-gpu,59497951,htzhulab,htzhulab__assign_a100-gpu__job_59497951__task_6__pid_1375470,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/186840241d99cbd86c7f823a4916efe7e20702cfe7131e473b1db08538bb50ab_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d0_control/checkpoint_validation_step_8330,COMPLETED,0,full
hard_negative_refresh,checkpoint_validation_step_8000,htzhulab,59496703,htzhulab,htzhulab__assign_htzhulab__job_59496703__task_14__pid_1339920,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/1ce08323201f69cd273716297e9b26b21a6f20dea9992d461af93b1858ab00b6_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/hard_negative_refresh/checkpoint_validation_step_8000,COMPLETED,0,full
d3_full_propref,checkpoint_validation_step_42945,a100-gpu,59497972,htzhulab,htzhulab__assign_a100-gpu__job_59497972__task_7__pid_1376064,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/1d17104d68eb0e5adf4456ae0d851bd5c11f7d475ad2c3ac8e4d55ebe4c67db5_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d3_full_propref/checkpoint_validation_step_42945,COMPLETED,0,full
d1_spatial_br2,checkpoint_validation_step_21658,htzhulab,59496738,htzhulab,htzhulab__assign_htzhulab__job_59496738__task_16__pid_1340651,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/219cec3fb3c40e12e5f22bae6ba56d9334c66228a113d31fd73b36442d1de8ab_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d1_spatial_br2/checkpoint_validation_step_21658,COMPLETED,0,full
alignment_control,checkpoint_best,a100-gpu,59497973,htzhulab,htzhulab__assign_a100-gpu__job_59497973__task_8__pid_1376061,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/21ae0a2ef5cb4b06bdcd6d5439318136c8e89ad9719b72eb6fcbc2328ac51c35_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/alignment_control/checkpoint_best,COMPLETED,0,full
d1_spatial_br2,checkpoint_validation_step_13328,htzhulab,59496768,htzhulab,htzhulab__assign_htzhulab__job_59496768__task_18__pid_1341262,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/2794b89d5f797432cb628396ef97e5304818f5f1aff86f44cf0d267a89116116_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d1_spatial_br2/checkpoint_validation_step_13328,COMPLETED,0,full
hard_negative_refresh,checkpoint_validation_step_4000,a100-gpu,59497998,htzhulab,htzhulab__assign_a100-gpu__job_59497998__task_9__pid_1376423,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/2889742d7d4a4f9b1b3c250c7d2ffe56046a0d4b791dff5daf55618a190dd68d_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/hard_negative_refresh/checkpoint_validation_step_4000,COMPLETED,0,full
d3_full_propref,checkpoint_best,htzhulab,59496801,htzhulab,htzhulab__assign_htzhulab__job_59496801__task_20__pid_1341893,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/297932a463e31c57e8dcf0035a101449c570e4e725ee76755a82871ea98bd219_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d3_full_propref/checkpoint_best,COMPLETED,0,full
d2_hierarchical_psip,checkpoint_validation_step_9996,a100-gpu,59498005,htzhulab,htzhulab__assign_a100-gpu__job_59498005__task_10__pid_1376717,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/2988eae4b8f3cf6f6497ada735325a2664a003984ce76f072c3996976f37cd47_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d2_hierarchical_psip/checkpoint_validation_step_9996,COMPLETED,0,full
d0_control,checkpoint_validation_step_18326,htzhulab,59496821,htzhulab,htzhulab__assign_htzhulab__job_59496821__task_22__pid_1342488,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/2bbd5280653c694641402b2e12afa4c3e6e2653c7ba26c1f10d8cc0d8e75e4d0_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d0_control/checkpoint_validation_step_18326,COMPLETED,0,full
alignment_control,checkpoint_validation_step_10000,a100-gpu,59498012,htzhulab,htzhulab__assign_a100-gpu__job_59498012__task_11__pid_1377059,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/2d184263c93a94973a34b1564a07da2d40b9d862d9d2ea7a50e9b0021e17ff5b_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/alignment_control/checkpoint_validation_step_10000,COMPLETED,0,full
d3_full_propref,checkpoint_validation_step_4090,htzhulab,59496838,htzhulab,htzhulab__assign_htzhulab__job_59496838__task_24__pid_1343105,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/3115704c0364f45c6ddf101cc78985745efa2672ba3a51ed174a5df4073a212f_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d3_full_propref/checkpoint_validation_step_4090,COMPLETED,0,full
d2_hierarchical_psip,checkpoint_validation_step_14994,a100-gpu,59498024,htzhulab,htzhulab__assign_a100-gpu__job_59498024__task_12__pid_1377350,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/313c344600b26ca67406946e472bc99226681ff8e0824fd3144fe6944b026bd3_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d2_hierarchical_psip/checkpoint_validation_step_14994,COMPLETED,0,full
d1_spatial_br2,checkpoint_validation_step_22500,htzhulab,59496868,htzhulab,htzhulab__assign_htzhulab__job_59496868__task_26__pid_1343803,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/3195fddb67380873d80564a71bf999780772b7041e7d462a6b7d1b0b011a1eee_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d1_spatial_br2/checkpoint_validation_step_22500,COMPLETED,0,full
hard_negative_refresh,checkpoint_validation_step_20000,a100-gpu,59498033,htzhulab,htzhulab__assign_a100-gpu__job_59498033__task_13__pid_1377676,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/31f655c5ac4d58a7f86ee52ffe910db7da8177251092c6359c93d74b97644162_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/hard_negative_refresh/checkpoint_validation_step_20000,COMPLETED,0,full
d2_hierarchical_psip,checkpoint_validation_step_24990,htzhulab,59496889,htzhulab,htzhulab__assign_htzhulab__job_59496889__task_28__pid_1344603,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/320e7b49fbd8141a4f9bd41c512038e27b69e310c26a274464c29688102fb5dd_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d2_hierarchical_psip/checkpoint_validation_step_24990,COMPLETED,0,full
d2_hierarchical_psip,checkpoint_validation_step_16660,a100-gpu,59498039,htzhulab,htzhulab__assign_a100-gpu__job_59498039__task_14__pid_1378260,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/331e4fff6d4dcc711f0abd0eb4199ed571646312404e4323fe1d9b8e9f3c8ff1_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d2_hierarchical_psip/checkpoint_validation_step_16660,COMPLETED,0,full
d2_hierarchical_psip,checkpoint_validation_step_1666,htzhulab,59496919,htzhulab,htzhulab__assign_htzhulab__job_59496919__task_30__pid_1345252,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/33a64cd26e9a3041105d0bee1a71155b09c4f77ff61556acd5a0cf1e021d53ba_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d2_hierarchical_psip/checkpoint_validation_step_1666,COMPLETED,0,full
d3_full_propref,checkpoint_validation_step_22495,a100-gpu,59498040,htzhulab,htzhulab__assign_a100-gpu__job_59498040__task_15__pid_1378264,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/33be08fd9c273738e7691e0e88b0ee9e5a74898f794005e83307db9971612bcd_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d3_full_propref/checkpoint_validation_step_22495,COMPLETED,0,full
no_context_control,checkpoint_validation_step_16000,htzhulab,59496954,htzhulab,htzhulab__assign_htzhulab__job_59496954__task_32__pid_1345881,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/37332161dcd53f95ceb532da7a8663edded164e4ba8ade21b04c6b16dec16898_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/no_context_control/checkpoint_validation_step_16000,COMPLETED,0,full
d2_hierarchical_psip,checkpoint_final,a100-gpu,59498061,htzhulab,htzhulab__assign_a100-gpu__job_59498061__task_16__pid_1378631,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/386d06fc4b72a4bc7c023c107a6a674c91e28d8671099fb57eabc9cf5b17ded6_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d2_hierarchical_psip/checkpoint_final,COMPLETED,0,full
no_context_control,checkpoint_validation_step_2000,htzhulab,59496991,htzhulab,htzhulab__assign_htzhulab__job_59496991__task_34__pid_1346580,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/3acd8bd7f561e2bd395c30bbe75f9f63f677f5303b075f51be48d6e5d54932d6_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/no_context_control/checkpoint_validation_step_2000,COMPLETED,0,full
d3_full_propref,checkpoint_validation_step_26585,a100-gpu,59498071,htzhulab,htzhulab__assign_a100-gpu__job_59498071__task_17__pid_1378935,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/3bee0d14789b2ddd18f37326ae763fc19604fb326304aca08e56e1afb3bd979a_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d3_full_propref/checkpoint_validation_step_26585,COMPLETED,0,full
d3_full_propref,checkpoint_validation_step_40500,htzhulab,59497010,htzhulab,htzhulab__assign_htzhulab__job_59497010__task_36__pid_1347206,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/3d646e756c6c9edd2bb7480ff2396ec242a6512c4069919afb314d5fb001edab_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d3_full_propref/checkpoint_validation_step_40500,COMPLETED,0,full
d3_full_propref,checkpoint_validation_step_38855,a100-gpu,59498091,htzhulab,htzhulab__assign_a100-gpu__job_59498091__task_18__pid_1379274,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/3dc72b03c45a7b83bbf6a6675a258c3ce468f8043846ad5f10590bf05d1d9e7a_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d3_full_propref/checkpoint_validation_step_38855,COMPLETED,0,full
d2_hierarchical_psip,checkpoint_validation_step_21658,htzhulab,59497032,htzhulab,htzhulab__assign_htzhulab__job_59497032__task_38__pid_1347924,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/3f084a7a394556d13377fbe77c2887897ee95258e921087797d815577ace2dd1_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d2_hierarchical_psip/checkpoint_validation_step_21658,COMPLETED,0,full
hard_negative_refresh,checkpoint_validation_step_6000,a100-gpu,59498097,htzhulab,htzhulab__assign_a100-gpu__job_59498097__task_19__pid_1379556,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/3fd5a6431387c68f98d41bdebd88824a354d5e7532c4dac4c38ee4d16f4c87b9_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/hard_negative_refresh/checkpoint_validation_step_6000,COMPLETED,0,full
no_context_control,checkpoint_validation_step_20000,htzhulab,59497067,htzhulab,htzhulab__assign_htzhulab__job_59497067__task_40__pid_1348609,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/40f5d166202bb4eaa9052cb36662d042a86b4f6d1401a0087f1f40bf3db1b74f_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/no_context_control/checkpoint_validation_step_20000,COMPLETED,0,full
alignment_control,checkpoint_validation_step_2500,a100-gpu,59498114,htzhulab,htzhulab__assign_a100-gpu__job_59498114__task_20__pid_1379871,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/41523cbf34235515a3699816da0f909d92722fa86700a3c8c8537483e291d130_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/alignment_control/checkpoint_validation_step_2500,COMPLETED,0,full
d0_control,checkpoint_best,htzhulab,59497108,htzhulab,htzhulab__assign_htzhulab__job_59497108__task_42__pid_1349312,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/41a13ee260c61ff6fa00ca0e48ef416860e7bcd2154e8b4ffc72df2685051906_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d0_control/checkpoint_best,COMPLETED,0,full
d3_full_propref,checkpoint_validation_step_30675,a100-gpu,59498169,htzhulab,htzhulab__assign_a100-gpu__job_59498169__task_21__pid_1380196,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/42377997f1cd5caea25e85fb702c7faede084d9b17a695b503e092e3819b6c49_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d3_full_propref/checkpoint_validation_step_30675,COMPLETED,0,full
d1_spatial_br2,checkpoint_validation_step_19992,htzhulab,59497132,htzhulab,htzhulab__assign_htzhulab__job_59497132__task_44__pid_1349926,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/43d51cf9fef688070c5d3f449aaedae5574eb8bbeabd32ff1a45603a79784208_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d1_spatial_br2/checkpoint_validation_step_19992,COMPLETED,0,full
d0_control,checkpoint_validation_step_4000,a100-gpu,59498192,htzhulab,htzhulab__assign_a100-gpu__job_59498192__task_22__pid_1380498,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/458cf492c51bcbd64ba43dda16873117873b0b97ac157f3bb7e4e59ab6885df2_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d0_control/checkpoint_validation_step_4000,COMPLETED,0,full
no_context_control,checkpoint_validation_step_4000,htzhulab,59497159,htzhulab,htzhulab__assign_htzhulab__job_59497159__task_46__pid_1350557,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/458f452f0d61593a751f3e542410ba07fd15fbbbb7a0c4431646a2ba13ccf4f4_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/no_context_control/checkpoint_validation_step_4000,COMPLETED,0,full
d2_hierarchical_psip,checkpoint_validation_step_8330,a100-gpu,59498203,htzhulab,htzhulab__assign_a100-gpu__job_59498203__task_23__pid_1380922,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/485e71f662be8489f027755983ada130199ec8cef0651e71e1c87f13c8186c29_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d2_hierarchical_psip/checkpoint_validation_step_8330,COMPLETED,0,full
alignment_control,checkpoint_validation_step_9000,htzhulab,59497199,htzhulab,htzhulab__assign_htzhulab__job_59497199__task_48__pid_1351171,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/4bbde0afe6a97134cf1bae85bec1ffc6a412bb303052eb5f57e3605d4c1400dc_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/alignment_control/checkpoint_validation_step_9000,COMPLETED,0,full
no_context_control,checkpoint_validation_step_6000,a100-gpu,59498213,htzhulab,htzhulab__assign_a100-gpu__job_59498213__task_24__pid_1381254,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/4d7c89e2f15ecec76726f5b138fe1ce28a1300cf301e408d16dd501642cfa971_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/no_context_control/checkpoint_validation_step_6000,COMPLETED,0,full
d3_full_propref,checkpoint_validation_step_36810,htzhulab,59497210,htzhulab,htzhulab__assign_htzhulab__job_59497210__task_50__pid_1352844,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/4f3e5d67cf472f36e11e86803e8b9e6a76f5854a2455ded47001fa1a62ffd518_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d3_full_propref/checkpoint_validation_step_36810,COMPLETED,0,full
d1_spatial_br2,checkpoint_validation_step_9996,a100-gpu,59498221,htzhulab,htzhulab__assign_a100-gpu__job_59498221__task_25__pid_1381614,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/4ffb427f9c52be7bf6a41c1f7812d5a03755c1f4be00d65b07a04a2c60ae096f_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d1_spatial_br2/checkpoint_validation_step_9996,COMPLETED,0,full
d1_spatial_br2,checkpoint_best,htzhulab,59497233,htzhulab,htzhulab__assign_htzhulab__job_59497233__task_52__pid_1353474,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/534ffdfbe50956c0c039fbf71a48a7ae31fe6e00ac4ec4106bfbf1c93ab74872_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d1_spatial_br2/checkpoint_best,COMPLETED,0,full
d3_full_propref,checkpoint_validation_step_24540,a100-gpu,59498222,htzhulab,htzhulab__assign_a100-gpu__job_59498222__task_26__pid_1381856,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/5f086da6016bae21f0e144e4eed7a494e9e8256f31d162cb77350f3aff190ba7_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d3_full_propref/checkpoint_validation_step_24540,COMPLETED,0,full
